»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 14:15:25
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 02:15:03 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0034	-14.044925	0.000718	7.184461	1.217081	0.014368
   2	5.0000e-04	0.0039	-13.973083	0.000718	7.184461	1.217081	0.014368
   3	1.0000e-03	0.0186	-13.947854	0.000252	2.523114	0.427427	0.005046
   4	1.5000e-03	0.0263	-13.929893	0.000180	1.796115	0.304270	0.003592
   5	2.0000e-03	0.0379	-13.880716	0.000492	4.917935	0.833121	0.009835
   6	2.5000e-03	0.0455	-13.849927	0.000308	3.079055	0.521606	0.006158
   7	3.0000e-03	0.0540	-13.819994	0.000299	2.993525	0.507117	0.005987
   8	3.5000e-03	0.0678	-13.766540	0.000535	5.345581	0.905566	0.010691
   9	4.0000e-03	0.0765	-13.719502	0.000470	4.704111	0.796898	0.009408
  10	4.5000e-03	0.0857	-13.703252	0.000163	1.625057	0.275292	0.003250
  11	5.0000e-03	0.0954	-13.654075	0.000492	4.917935	0.833121	0.009835
  12	5.5000e-03	0.1049	-13.634832	0.000192	1.924409	0.326004	0.003849
  13	6.0000e-03	0.1157	-13.580096	0.000547	5.473875	0.927300	0.010947
  14	6.5000e-03	0.1295	-13.566839	0.000133	1.325704	0.224580	0.002651
  15	7.0000e-03	0.1348	-13.533912	0.000329	3.292878	0.557829	0.006585
  16	7.5000e-03	0.1441	-13.489439	0.000445	4.447523	0.753431	0.008895
  17	8.0000e-03	0.1551	-13.444966	0.000445	4.447523	0.753431	0.008895
  18	8.5000e-03	0.1675	-13.410329	0.000346	3.463937	0.586807	0.006928
  19	9.0000e-03	0.1751	-13.377401	0.000329	3.292878	0.557829	0.006585
  20	9.5000e-03	0.1855	-13.357303	0.000201	2.009938	0.340493	0.004020
  21	1.0000e-02	0.1952	-13.298291	0.000590	5.901521	0.999745	0.011802
  22	1.0500e-02	0.2085	-13.257666	0.000406	4.062642	0.688230	0.008125
  23	1.1000e-02	0.2151	-13.236713	0.000210	2.095468	0.354982	0.004191
  24	1.1500e-02	0.2268	-13.229443	0.000073	0.726999	0.123157	0.001454
