»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 14:5:12
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 02:04:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0051	-16.579860	0.000397	3.971812	0.672843	0.000040
   2	9.9500e-02	0.0044	-16.540348	0.000397	3.971812	0.672843	0.000040
   3	1.9900e-01	0.0139	-16.504909	0.000356	3.562347	0.603478	0.000036
   4	2.9850e-01	0.0256	-16.464990	0.000401	4.012759	0.679780	0.000040
   5	3.9800e-01	0.0354	-16.424663	0.000405	4.053705	0.686716	0.000041
   6	4.9750e-01	0.0457	-16.385558	0.000393	3.930866	0.665907	0.000039
   7	5.9700e-01	0.0539	-16.345231	0.000405	4.053705	0.686716	0.000041
   8	6.9650e-01	0.0650	-16.302460	0.000430	4.299384	0.728335	0.000043
   9	7.9600e-01	0.0742	-16.265392	0.000373	3.726133	0.631224	0.000037
  10	8.9550e-01	0.0845	-16.221399	0.000442	4.422224	0.749145	0.000044
  11	9.9500e-01	0.0944	-16.178220	0.000434	4.340331	0.735272	0.000043
  12	1.0945e+00	0.1041	-16.141152	0.000373	3.726133	0.631224	0.000037
  13	1.1940e+00	0.1151	-16.100418	0.000409	4.094652	0.693653	0.000041
  14	1.2935e+00	0.1245	-16.063757	0.000369	3.685187	0.624288	0.000037
  15	1.3930e+00	0.1330	-16.024652	0.000393	3.930866	0.665907	0.000039
  16	1.4925e+00	0.1474	-15.985140	0.000397	3.971812	0.672843	0.000040
  17	1.5920e+00	0.1540	-15.939925	0.000455	4.545063	0.769955	0.000045
  18	1.6915e+00	0.1646	-15.898376	0.000418	4.176545	0.707526	0.000042
  19	1.7910e+00	0.1737	-15.860901	0.000377	3.767080	0.638161	0.000038
  20	1.8905e+00	0.1832	-15.817315	0.000438	4.381277	0.742208	0.000044
  21	1.9900e+00	0.1980	-15.774951	0.000426	4.258438	0.721399	0.000043
  22	2.0895e+00	0.2027	-15.732588	0.000426	4.258438	0.721399	0.000043
  23	2.1890e+00	0.2154	-15.690224	0.000426	4.258438	0.721399	0.000043
  24	2.2885e+00	0.2218	-15.649490	0.000409	4.094652	0.693653	0.000041
