»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 14:50:26
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 02:49:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0043	-14.672886	0.000328	3.275359	0.554861	0.000033
   2	9.9500e-02	0.0052	-14.640299	0.000328	3.275359	0.554861	0.000033
   3	1.9900e-01	0.0171	-14.607304	0.000332	3.316301	0.561797	0.000033
   4	2.9850e-01	0.0239	-14.570236	0.000373	3.725721	0.631154	0.000037
   5	3.9800e-01	0.0372	-14.534390	0.000360	3.602895	0.610347	0.000036
   6	4.9750e-01	0.0430	-14.497321	0.000373	3.725721	0.631154	0.000037
   7	5.9700e-01	0.0558	-14.465141	0.000323	3.234417	0.547925	0.000032
   8	6.9650e-01	0.0654	-14.424814	0.000405	4.053257	0.686640	0.000041
   9	7.9600e-01	0.0797	-14.390190	0.000348	3.480069	0.589540	0.000035
  10	8.9550e-01	0.0838	-14.353122	0.000373	3.725721	0.631154	0.000037
  11	9.9500e-01	0.0983	-14.315239	0.000381	3.807605	0.645026	0.000038
  12	1.0945e+00	0.1037	-14.281430	0.000340	3.398185	0.575668	0.000034
  13	1.1940e+00	0.1162	-14.242325	0.000393	3.930431	0.665833	0.000039
  14	1.2935e+00	0.1267	-14.204442	0.000381	3.807605	0.645026	0.000038
  15	1.3930e+00	0.1357	-14.167781	0.000368	3.684779	0.624218	0.000037
  16	1.4925e+00	0.1456	-14.130306	0.000377	3.766663	0.638090	0.000038
  17	1.5920e+00	0.1550	-14.096089	0.000344	3.439127	0.582604	0.000034
  18	1.6915e+00	0.1633	-14.054947	0.000414	4.135141	0.700512	0.000041
  19	1.7910e+00	0.1748	-14.021138	0.000340	3.398185	0.575668	0.000034
  20	1.8905e+00	0.1851	-13.982440	0.000389	3.889489	0.658897	0.000039
  21	1.9900e+00	0.1934	-13.945372	0.000373	3.725721	0.631154	0.000037
  22	2.0895e+00	0.2039	-13.910748	0.000348	3.480069	0.589540	0.000035
  23	2.1890e+00	0.2148	-13.869199	0.000418	4.176083	0.707448	0.000042
  24	2.2885e+00	0.2225	-13.832946	0.000364	3.643837	0.617283	0.000036
  25	2.3880e+00	0.2351	-13.795470	0.000377	3.766663	0.638090	0.000038
  26	2.4875e+00	0.2436	-13.756365	0.000393	3.930431	0.665833	0.000039
  27	2.5870e+00	0.2567	-13.719297	0.000373	3.725721	0.631154	0.000037
  28	2.6865e+00	0.2655	-13.682636	0.000368	3.684779	0.624218	0.000037
  29	2.7860e+00	0.2744	-13.641495	0.000414	4.135141	0.700512	0.000041
  30	2.8855e+00	0.2840	-13.608907	0.000328	3.275359	0.554861	0.000033
  31	2.9850e+00	0.2943	-13.567766	0.000414	4.135141	0.700512	0.000041
  32	3.0845e+00	0.3038	-13.532327	0.000356	3.561953	0.603411	0.000036
  33	3.1840e+00	0.3139	-13.492815	0.000397	3.971373	0.672769	0.000040
  34	3.2835e+00	0.3210	-13.455747	0.000373	3.725721	0.631154	0.000037
  35	3.3830e+00	0.3366	-13.417456	0.000385	3.848547	0.651961	0.000038
  36	3.4825e+00	0.3457	-13.381610	0.000360	3.602895	0.610347	0.000036
  37	3.5820e+00	0.3539	-13.343320	0.000385	3.848547	0.651961	0.000038
  38	3.6815e+00	0.3664	-13.302586	0.000409	4.094199	0.693576	0.000041
  39	3.7810e+00	0.3731	-13.265518	0.000373	3.725721	0.631154	0.000037
  40	3.8805e+00	0.3800	-13.227635	0.000381	3.807605	0.645026	0.000038
  41	3.9800e+00	0.3933	-13.186900	0.000409	4.094199	0.693576	0.000041
  42	4.0795e+00	0.4025	-13.148203	0.000389	3.889489	0.658897	0.000039
  43	4.1790e+00	0.4150	-13.110727	0.000377	3.766663	0.638090	0.000038
  44	4.2785e+00	0.4199	-13.074067	0.000368	3.684779	0.624218	0.000037
  45	4.3780e+00	0.4342	-13.033740	0.000405	4.053257	0.686640	0.000041
  46	4.4775e+00	0.4435	-12.992598	0.000414	4.135141	0.700512	0.000041
  47	4.5770e+00	0.4533	-12.959603	0.000332	3.316301	0.561797	0.000033
  48	4.6765e+00	0.4601	-12.919684	0.000401	4.012315	0.679705	0.000040
  49	4.7760e+00	0.4736	-12.883430	0.000364	3.643837	0.617283	0.000036
  50	4.8755e+00	0.4836	-12.849621	0.000340	3.398185	0.575668	0.000034
  51	4.9750e+00	0.4932	-12.810923	0.000389	3.889489	0.658897	0.000039
  52	5.0745e+00	0.5011	-12.771004	0.000401	4.012315	0.679705	0.000040
  53	5.1740e+00	0.5132	-12.731899	0.000393	3.930431	0.665833	0.000039
  54	5.2735e+00	0.5206	-12.694423	0.000377	3.766663	0.638090	0.000038
  55	5.3730e+00	0.5318	-12.651652	0.000430	4.298909	0.728255	0.000043
  56	5.4725e+00	0.5419	-12.615399	0.000364	3.643837	0.617283	0.000036
  57	5.5720e+00	0.5518	-12.573850	0.000418	4.176083	0.707448	0.000042
  58	5.6715e+00	0.5636	-12.536374	0.000377	3.766663	0.638090	0.000038
  59	5.7710e+00	0.5730	-12.495640	0.000409	4.094199	0.693576	0.000041
  60	5.8705e+00	0.5820	-12.452869	0.000430	4.298909	0.728255	0.000043
  61	5.9700e+00	0.5918	-12.416616	0.000364	3.643837	0.617283	0.000036
  62	6.0695e+00	0.6031	-12.377918	0.000389	3.889489	0.658897	0.000039
  63	6.1690e+00	0.6136	-12.336777	0.000414	4.135141	0.700512	0.000041
  64	6.2685e+00	0.6230	-12.302152	0.000348	3.480069	0.589540	0.000035
  65	6.3680e+00	0.6319	-12.256123	0.000463	4.626445	0.783741	0.000046
  66	6.4675e+00	0.6422	-12.220277	0.000360	3.602895	0.610347	0.000036
  67	6.5670e+00	0.6517	-12.183616	0.000368	3.684779	0.624218	0.000037
  68	6.6665e+00	0.6596	-12.137179	0.000467	4.667387	0.790677	0.000047
  69	6.7660e+00	0.6686	-12.097259	0.000401	4.012315	0.679705	0.000040
  70	6.8655e+00	0.6824	-12.056117	0.000414	4.135141	0.700512	0.000041
  71	6.9650e+00	0.6929	-12.015791	0.000405	4.053257	0.686640	0.000041
  72	7.0645e+00	0.7006	-11.975871	0.000401	4.012315	0.679705	0.000040
  73	7.1640e+00	0.7107	-11.933100	0.000430	4.298909	0.728255	0.000043
  74	7.2635e+00	0.7219	-11.894810	0.000385	3.848547	0.651961	0.000038
  75	7.3630e+00	0.7301	-11.856927	0.000381	3.807605	0.645026	0.000038
  76	7.4625e+00	0.7418	-11.817007	0.000401	4.012315	0.679705	0.000040
  77	7.5620e+00	0.7498	-11.776273	0.000409	4.094199	0.693576	0.000041
  78	7.6615e+00	0.7592	-11.737983	0.000385	3.848547	0.651961	0.000038
  79	7.7610e+00	0.7726	-11.701322	0.000368	3.684779	0.624218	0.000037
  80	7.8605e+00	0.7820	-11.658144	0.000434	4.339851	0.735191	0.000043
  81	7.9600e+00	0.7896	-11.619446	0.000389	3.889489	0.658897	0.000039
  82	8.0595e+00	0.8038	-11.583193	0.000364	3.643837	0.617283	0.000036
  83	8.1590e+00	0.8127	-11.546532	0.000368	3.684779	0.624218	0.000037
  84	8.2585e+00	0.8189	-11.504983	0.000418	4.176083	0.707448	0.000042
  85	8.3580e+00	0.8331	-11.465471	0.000397	3.971373	0.672769	0.000040
  86	8.4575e+00	0.8415	-11.427995	0.000377	3.766663	0.638090	0.000038
  87	8.5570e+00	0.8527	-11.391742	0.000364	3.643837	0.617283	0.000036
  88	8.6565e+00	0.8617	-11.353859	0.000381	3.807605	0.645026	0.000038
  89	8.7560e+00	0.8727	-11.317605	0.000364	3.643837	0.617283	0.000036
  90	8.8555e+00	0.8800	-11.280945	0.000368	3.684779	0.624218	0.000037
  91	8.9550e+00	0.8917	-11.244691	0.000364	3.643837	0.617283	0.000036
  92	9.0545e+00	0.9038	-11.208030	0.000368	3.684779	0.624218	0.000037
  93	9.1540e+00	0.9136	-11.172999	0.000352	3.521011	0.596475	0.000035
  94	9.2535e+00	0.9235	-11.139597	0.000336	3.357243	0.568732	0.000034
  95	9.3530e+00	0.9338	-11.101714	0.000381	3.807605	0.645026	0.000038
  96	9.4525e+00	0.9400	-11.066275	0.000356	3.561953	0.603411	0.000036
  97	9.5520e+00	0.9509	-11.031651	0.000348	3.480069	0.589540	0.000035
  98	9.6515e+00	0.9634	-10.999878	0.000319	3.193475	0.540989	0.000032
  99	9.7510e+00	0.9725	-10.960773	0.000393	3.930431	0.665833	0.000039
 100	9.8505e+00	0.9813	-10.928186	0.000328	3.275359	0.554861	0.000033
 101	9.9500e+00	0.9900	-10.890303	0.000381	3.807605	0.645026	0.000038
 102	1.0050e+01	1.0004	-10.856901	0.000336	3.357243	0.568732	0.000034
 103	1.0149e+01	1.0134	-10.823499	0.000336	3.357243	0.568732	0.000034
 104	1.0248e+01	1.0184	-10.785209	0.000385	3.848547	0.651961	0.000038
 105	1.0348e+01	1.0321	-10.750992	0.000344	3.439127	0.582604	0.000034
 106	1.0447e+01	1.0433	-10.717997	0.000332	3.316301	0.561797	0.000033
 107	1.0547e+01	1.0499	-10.683373	0.000348	3.480069	0.589540	0.000035
 108	1.0646e+01	1.0592	-10.649156	0.000344	3.439127	0.582604	0.000034
 109	1.0746e+01	1.0708	-10.614125	0.000352	3.521011	0.596475	0.000035
 110	1.0845e+01	1.0809	-10.581537	0.000328	3.275359	0.554861	0.000033
 111	1.0945e+01	1.0909	-10.545284	0.000364	3.643837	0.617283	0.000036
 112	1.1044e+01	1.1003	-10.515548	0.000299	2.988765	0.506311	0.000030
 113	1.1144e+01	1.1117	-10.478480	0.000373	3.725721	0.631154	0.000037
 114	1.1243e+01	1.1195	-10.445078	0.000336	3.357243	0.568732	0.000034
 115	1.1343e+01	1.1303	-10.410861	0.000344	3.439127	0.582604	0.000034
 116	1.1443e+01	1.1404	-10.376237	0.000348	3.480069	0.589540	0.000035
 117	1.1542e+01	1.1476	-10.342427	0.000340	3.398185	0.575668	0.000034
 118	1.1642e+01	1.1607	-10.311469	0.000311	3.111591	0.527118	0.000031
 119	1.1741e+01	1.1681	-10.277660	0.000340	3.398185	0.575668	0.000034
 120	1.1841e+01	1.1803	-10.241406	0.000364	3.643837	0.617283	0.000036
 121	1.1940e+01	1.1908	-10.209634	0.000319	3.193475	0.540989	0.000032
 122	1.2040e+01	1.1987	-10.177046	0.000328	3.275359	0.554861	0.000033
 123	1.2139e+01	1.2101	-10.141200	0.000360	3.602895	0.610347	0.000036
 124	1.2239e+01	1.2209	-10.108205	0.000332	3.316301	0.561797	0.000033
 125	1.2338e+01	1.2286	-10.076433	0.000319	3.193475	0.540989	0.000032
 126	1.2438e+01	1.2399	-10.043845	0.000328	3.275359	0.554861	0.000033
 127	1.2537e+01	1.2468	-10.009629	0.000344	3.439127	0.582604	0.000034
 128	1.2636e+01	1.2594	-9.982744	0.000270	2.702171	0.457760	0.000027
 129	1.2736e+01	1.2662	-9.947712	0.000352	3.521011	0.596475	0.000035
 130	1.2835e+01	1.2775	-9.913496	0.000344	3.439127	0.582604	0.000034
 131	1.2935e+01	1.2880	-9.882945	0.000307	3.070649	0.520182	0.000031
 132	1.3034e+01	1.3013	-9.845469	0.000377	3.766663	0.638090	0.000038
 133	1.3134e+01	1.3088	-9.813697	0.000319	3.193475	0.540989	0.000032
 134	1.3233e+01	1.3175	-9.781109	0.000328	3.275359	0.554861	0.000033
 135	1.3333e+01	1.3288	-9.745263	0.000360	3.602895	0.610347	0.000036
 136	1.3432e+01	1.3395	-9.712268	0.000332	3.316301	0.561797	0.000033
 137	1.3532e+01	1.3497	-9.678866	0.000336	3.357243	0.568732	0.000034
 138	1.3632e+01	1.3558	-9.646686	0.000323	3.234417	0.547925	0.000032
