»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 11:6:49
Configured:	06/27/25 10:20:27 AM
Executed:	06/27/25 11:05:27 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1242
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	-14.829189	0.000586	5.857707	0.992322	0.011717
   2	5.0000e-04	0.0044	-14.770605	0.000586	5.857707	0.992322	0.011717
   3	1.0000e-03	0.0146	-14.717579	0.000530	5.301866	0.898160	0.010605
   4	1.5000e-03	0.0256	-14.679948	0.000376	3.762614	0.637404	0.007526
   5	2.0000e-03	0.0347	-14.650442	0.000295	2.950232	0.499783	0.005901
   6	2.5000e-03	0.0462	-14.627350	0.000231	2.308877	0.391134	0.004618
   7	3.0000e-03	0.0576	-14.554226	0.000731	7.311444	1.238592	0.014625
   8	3.5000e-03	0.0649	-14.509326	0.000449	4.489483	0.760539	0.008980
   9	4.0000e-03	0.0765	-14.503766	0.000056	0.555841	0.094162	0.001112
  10	4.5000e-03	0.0856	-14.452024	0.000517	5.173595	0.876431	0.010349
  11	5.0000e-03	0.0945	-14.404985	0.000470	4.703268	0.796755	0.009408
  12	5.5000e-03	0.1037	-14.393439	0.000115	1.154439	0.195567	0.002309
  13	6.0000e-03	0.1145	-14.321598	0.000718	7.183173	1.216862	0.014368
  14	6.5000e-03	0.1266	-14.286533	0.000351	3.506073	0.593945	0.007013
  15	7.0000e-03	0.1340	-14.247191	0.000393	3.933642	0.666377	0.007868
  16	7.5000e-03	0.1494	-14.219823	0.000274	2.736447	0.463567	0.005474
  17	8.0000e-03	0.1575	-14.188179	0.000316	3.164017	0.535999	0.006329
  18	8.5000e-03	0.1643	-14.147127	0.000410	4.104670	0.695350	0.008210
  19	9.0000e-03	0.1762	-14.104364	0.000428	4.275698	0.724323	0.008553
  20	9.5000e-03	0.1863	-14.065451	0.000389	3.890885	0.659134	0.007783
  21	1.0000e-02	0.1954	-14.013708	0.000517	5.173595	0.876431	0.010349
  22	1.0500e-02	0.2055	-13.988906	0.000248	2.479905	0.420107	0.004960
  23	1.1000e-02	0.2158	-13.945715	0.000432	4.318455	0.731566	0.008638
  24	1.1500e-02	0.2261	-13.918347	0.000274	2.736447	0.463567	0.005474
