»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 12:2:51
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 12:02:30 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0037	-10.896533	0.000180	1.795670	0.304195	0.003592
   2	5.0000e-04	0.0071	-10.878573	0.000180	1.795670	0.304195	0.003592
   3	1.0000e-03	0.0153	-10.847357	0.000312	3.121045	0.528719	0.006243
   4	1.5000e-03	0.0248	-10.797324	0.000500	5.002223	0.847400	0.010006
   5	2.0000e-03	0.0368	-10.791338	0.000060	0.598557	0.101398	0.001197
   6	2.5000e-03	0.0452	-10.766108	0.000252	2.522489	0.427321	0.005046
   7	3.0000e-03	0.0595	-10.743016	0.000231	2.308719	0.391108	0.004618
   8	3.5000e-03	0.0647	-10.706240	0.000368	3.676848	0.622875	0.007355
   9	4.0000e-03	0.0755	-10.699398	0.000068	0.684065	0.115884	0.001368
  10	4.5000e-03	0.0871	-10.669037	0.000304	3.035537	0.514234	0.006072
  11	5.0000e-03	0.0968	-10.617294	0.000517	5.173240	0.876371	0.010349
  12	5.5000e-03	0.1064	-10.604038	0.000133	1.325375	0.224525	0.002651
  13	6.0000e-03	0.1197	-10.580091	0.000239	2.394227	0.405593	0.004789
  14	6.5000e-03	0.1268	-10.559565	0.000205	2.052194	0.347651	0.004105
  15	7.0000e-03	0.1353	-10.542887	0.000167	1.667408	0.282467	0.003335
  16	7.5000e-03	0.1465	-10.502691	0.000402	4.018880	0.680817	0.008039
  17	8.0000e-03	0.1581	-10.494566	0.000081	0.812327	0.137612	0.001625
  18	8.5000e-03	0.1656	-10.455652	0.000389	3.890618	0.659089	0.007783
  19	9.0000e-03	0.1767	-10.411179	0.000445	4.446421	0.753244	0.008895
  20	9.5000e-03	0.1862	-10.403054	0.000081	0.812327	0.137612	0.001625
  21	1.0000e-02	0.1950	-10.352166	0.000509	5.087732	0.861885	0.010177
  22	1.0500e-02	0.2052	-10.340193	0.000120	1.197113	0.202796	0.002395
  23	1.1000e-02	0.2176	-10.323088	0.000171	1.710162	0.289709	0.003421
  24	1.1500e-02	0.2264	-10.301279	0.000218	2.180456	0.369379	0.004362
  25	1.2000e-02	0.2357	-10.250819	0.000504	5.044977	0.854642	0.010092
  26	1.2500e-02	0.2469	-10.237135	0.000137	1.368129	0.231767	0.002737
  27	1.3000e-02	0.2550	-10.227300	0.000098	0.983343	0.166583	0.001967
  28	1.3500e-02	0.2668	-10.177695	0.000496	4.959469	0.840157	0.009921
  29	1.4000e-02	0.2764	-10.150327	0.000274	2.736259	0.463535	0.005474
  30	1.4500e-02	0.2850	-10.136216	0.000141	1.410884	0.239010	0.002822
  31	1.5000e-02	0.2972	-10.098157	0.000381	3.805110	0.644603	0.007612
  32	1.5500e-02	0.3073	-10.075065	0.000231	2.308719	0.391108	0.004618
  33	1.6000e-02	0.3154	-10.055395	0.000197	1.966686	0.333166	0.003934
  34	1.6500e-02	0.3262	-10.015625	0.000398	3.976126	0.673574	0.007954
  35	1.7000e-02	0.3329	-9.985692	0.000299	2.992783	0.506991	0.005987
  36	1.7500e-02	0.3463	-10.004935	-0.000192	-1.923932	-0.325923	-0.003849
  37	1.8000e-02	0.3555	-9.942929	0.000620	6.199337	1.050196	0.012401
  38	1.8500e-02	0.3681	-9.915989	0.000269	2.693505	0.456292	0.005388
  39	1.9000e-02	0.3768	-9.913851	0.000021	0.213770	0.036214	0.000428
  40	1.9500e-02	0.3867	-9.870233	0.000436	4.360913	0.738759	0.008724
  41	2.0000e-02	0.3966	-9.838161	0.000321	3.206553	0.543205	0.006414
  42	2.0500e-02	0.4073	-9.803951	0.000342	3.420324	0.579419	0.006842
  43	2.1000e-02	0.4166	-9.800102	0.000038	0.384786	0.065185	0.000770
  44	2.1500e-02	0.4259	-9.777438	0.000227	2.265964	0.383865	0.004533
  45	2.2000e-02	0.4352	-9.731682	0.000457	4.574683	0.774972	0.009151
  46	2.2500e-02	0.4465	-9.706025	0.000257	2.565243	0.434564	0.005132
  47	2.3000e-02	0.4561	-9.673953	0.000321	3.206553	0.543205	0.006414
  48	2.3500e-02	0.4658	-9.641453	0.000325	3.249308	0.550448	0.006500
  49	2.4000e-02	0.4768	-9.617506	0.000239	2.394227	0.405593	0.004789
  50	2.4500e-02	0.4858	-9.595697	0.000218	2.180456	0.369379	0.004362
  51	2.5000e-02	0.4972	-9.585434	0.000103	1.026097	0.173826	0.002053
  52	2.5500e-02	0.5052	-9.545238	0.000402	4.018880	0.680817	0.008039
  53	2.6000e-02	0.5153	-9.533264	0.000120	1.197113	0.202796	0.002395
  54	2.6500e-02	0.5252	-9.501192	0.000321	3.206553	0.543205	0.006414
  55	2.7000e-02	0.5370	-9.477673	0.000235	2.351473	0.398350	0.004704
  56	2.7500e-02	0.5445	-9.447311	0.000304	3.035537	0.514234	0.006072
  57	2.8000e-02	0.5557	-9.410536	0.000368	3.676848	0.622875	0.007355
  58	2.8500e-02	0.5690	-9.397279	0.000133	1.325375	0.224525	0.002651
  59	2.9000e-02	0.5786	-9.351951	0.000453	4.531929	0.767730	0.009066
  60	2.9500e-02	0.5855	-9.340405	0.000115	1.154359	0.195554	0.002309
  61	3.0000e-02	0.5976	-9.308761	0.000316	3.163799	0.535962	0.006329
  62	3.0500e-02	0.6081	-9.301491	0.000073	0.726819	0.123126	0.001454
  63	3.1000e-02	0.6168	-9.251887	0.000496	4.959469	0.840157	0.009921
  64	3.1500e-02	0.6277	-9.241196	0.000107	1.068851	0.181068	0.002138
  65	3.2000e-02	0.6377	-9.220670	0.000205	2.052194	0.347651	0.004105
  66	3.2500e-02	0.6428	-9.187315	0.000333	3.334816	0.564933	0.006671
  67	3.3000e-02	0.6528	-9.138138	0.000492	4.916715	0.832914	0.009835
  68	3.3500e-02	0.6663	-9.118040	0.000201	2.009440	0.340408	0.004020
  69	3.4000e-02	0.6743	-9.087251	0.000308	3.078291	0.521477	0.006158
  70	3.4500e-02	0.6845	-9.082547	0.000047	0.470295	0.079670	0.000941
  71	3.5000e-02	0.6979	-9.052613	0.000299	2.992783	0.506991	0.005987
  72	3.5500e-02	0.7072	-9.022252	0.000304	3.035537	0.514234	0.006072
  73	3.6000e-02	0.7167	-9.007713	0.000145	1.453638	0.246253	0.002908
  74	3.6500e-02	0.7279	-8.960246	0.000475	4.745699	0.803943	0.009493
  75	3.7000e-02	0.7362	-8.949556	0.000107	1.068851	0.181068	0.002138
  76	3.7500e-02	0.7471	-8.916628	0.000329	3.292062	0.557690	0.006585
  77	3.8000e-02	0.7552	-8.886695	0.000299	2.992783	0.506991	0.005987
  78	3.8500e-02	0.7664	-8.878142	0.000086	0.855081	0.144855	0.001711
  79	3.9000e-02	0.7747	-8.858044	0.000201	2.009440	0.340408	0.004020
  80	3.9500e-02	0.7876	-8.827255	0.000308	3.078291	0.521477	0.006158
  81	4.0000e-02	0.7977	-8.816564	0.000107	1.068851	0.181068	0.002138
  82	4.0500e-02	0.8060	-8.778078	0.000385	3.847864	0.651846	0.007697
  83	4.1000e-02	0.8170	-8.741730	0.000363	3.634094	0.615632	0.007270
  84	4.1500e-02	0.8260	-8.723769	0.000180	1.795670	0.304195	0.003592
  85	4.2000e-02	0.8382	-8.680152	0.000436	4.360913	0.738759	0.008724
  86	4.2500e-02	0.8472	-8.670744	0.000094	0.940589	0.159340	0.001882
  87	4.3000e-02	0.8564	-8.644659	0.000261	2.607997	0.441807	0.005217
  88	4.3500e-02	0.8694	-8.609166	0.000355	3.548586	0.601147	0.007099
  89	4.4000e-02	0.8783	-8.583081	0.000261	2.607997	0.441807	0.005217
  90	4.4500e-02	0.8870	-8.576239	0.000068	0.684065	0.115884	0.001368
  91	4.5000e-02	0.8965	-8.541601	0.000346	3.463078	0.586661	0.006928
  92	4.5500e-02	0.9048	-8.505253	0.000363	3.634094	0.615632	0.007270
  93	4.6000e-02	0.9164	-8.486865	0.000184	1.838424	0.311437	0.003678
  94	4.6500e-02	0.9251	-8.447951	0.000389	3.890618	0.659089	0.007783
  95	4.7000e-02	0.9364	-8.431701	0.000162	1.624654	0.275224	0.003250
  96	4.7500e-02	0.9458	-8.421866	0.000098	0.983343	0.166583	0.001967
  97	4.8000e-02	0.9567	-8.385945	0.000359	3.591340	0.608389	0.007184
  98	4.8500e-02	0.9663	-8.348742	0.000372	3.719602	0.630118	0.007441
  99	4.9000e-02	0.9766	-8.345321	0.000034	0.342032	0.057942	0.000684
 100	4.9500e-02	0.9884	-8.300848	0.000445	4.446421	0.753244	0.008895
 101	5.0000e-02	0.9944	-8.273908	0.000269	2.693505	0.456292	0.005388
 102	5.0500e-02	1.0062	-8.242263	0.000316	3.163799	0.535962	0.006329
 103	5.1000e-02	1.0159	-8.220027	0.000222	2.223210	0.376622	0.004447
 104	5.1500e-02	1.0236	-8.199928	0.000201	2.009440	0.340408	0.004020
 105	5.2000e-02	1.0371	-8.166146	0.000338	3.377570	0.572176	0.006756
 106	5.2500e-02	1.0455	-8.152890	0.000133	1.325375	0.224525	0.002651
 107	5.3000e-02	1.0571	-8.115686	0.000372	3.719602	0.630118	0.007441
 108	5.3500e-02	1.0649	-8.113121	0.000026	0.256524	0.043456	0.000513
 109	5.4000e-02	1.0756	-8.075062	0.000381	3.805110	0.644603	0.007612
 110	5.4500e-02	1.0872	-8.057102	0.000180	1.795670	0.304195	0.003592
 111	5.5000e-02	1.0960	-8.028451	0.000286	2.864521	0.485263	0.005730
 112	5.5500e-02	1.1066	-7.991247	0.000372	3.719602	0.630118	0.007441
 113	5.6000e-02	1.1192	-7.974570	0.000167	1.667408	0.282467	0.003335
 114	5.6500e-02	1.1282	-7.948485	0.000261	2.607997	0.441807	0.005217
 115	5.7000e-02	1.1377	-7.934373	0.000141	1.410884	0.239010	0.002822
 116	5.7500e-02	1.1466	-7.905295	0.000291	2.907275	0.492506	0.005816
 117	5.8000e-02	1.1561	-7.863815	0.000415	4.147143	0.702545	0.008296
 118	5.8500e-02	1.1673	-7.860822	0.000030	0.299278	0.050699	0.000599
 119	5.9000e-02	1.1780	-7.826612	0.000342	3.420324	0.579419	0.006842
 120	5.9500e-02	1.1862	-7.799671	0.000269	2.693505	0.456292	0.005388
 121	6.0000e-02	1.1976	-7.779573	0.000201	2.009440	0.340408	0.004020
 122	6.0500e-02	1.2060	-7.758192	0.000214	2.137702	0.362137	0.004276
 123	6.1000e-02	1.2137	-7.713719	0.000445	4.446421	0.753244	0.008895
 124	6.1500e-02	1.2265	-7.702173	0.000115	1.154359	0.195554	0.002309
 125	6.2000e-02	1.2360	-7.664114	0.000381	3.805110	0.644603	0.007612
 126	6.2500e-02	1.2470	-7.648292	0.000158	1.581900	0.267981	0.003164
 127	6.3000e-02	1.2556	-7.615365	0.000329	3.292062	0.557690	0.006585
 128	6.3500e-02	1.2682	-7.620924	-0.000056	-0.555803	-0.094156	-0.001112
 129	6.4000e-02	1.2759	-7.576451	0.000445	4.446421	0.753244	0.008895
 130	6.4500e-02	1.2863	-7.554214	0.000222	2.223210	0.376622	0.004447
 131	6.5000e-02	1.2976	-7.509741	0.000445	4.446421	0.753244	0.008895
 132	6.5500e-02	1.3101	-7.507176	0.000026	0.256524	0.043456	0.000513
 133	6.6000e-02	1.3148	-7.500761	0.000064	0.641311	0.108641	0.001283
 134	6.6500e-02	1.3263	-7.453295	0.000475	4.745699	0.803943	0.009493
 135	6.7000e-02	1.3354	-7.395993	0.000573	5.729042	0.970526	0.011460
 136	6.7500e-02	1.3448	-7.404118	-0.000081	-0.812327	-0.137612	-0.001625
 137	6.8000e-02	1.3557	-7.368197	0.000359	3.591340	0.608389	0.007184
 138	6.8500e-02	1.3655	-7.339119	0.000291	2.907275	0.492506	0.005816
 139	6.9000e-02	1.3768	-7.317310	0.000218	2.180456	0.369379	0.004362
 140	6.9500e-02	1.3866	-7.301915	0.000154	1.539146	0.260738	0.003079
 141	7.0000e-02	1.3938	-7.267705	0.000342	3.420324	0.579419	0.006842
 142	7.0500e-02	1.4038	-7.266850	0.000009	0.085508	0.014485	0.000171
 143	7.1000e-02	1.4194	-7.229219	0.000376	3.762356	0.637360	0.007526
 144	7.1500e-02	1.4246	-7.189878	0.000393	3.933372	0.666331	0.007868
 145	7.2000e-02	1.4342	-7.165503	0.000244	2.436981	0.412836	0.004875
 146	7.2500e-02	1.4440	-7.146687	0.000188	1.881178	0.318680	0.003763
 147	7.3000e-02	1.4575	-7.125306	0.000214	2.137702	0.362137	0.004276
 148	7.3500e-02	1.4658	-7.083399	0.000419	4.189897	0.709788	0.008381
 149	7.4000e-02	1.4764	-7.062018	0.000214	2.137702	0.362137	0.004276
 150	7.4500e-02	1.4842	-7.045768	0.000162	1.624654	0.275224	0.003250
 151	7.5000e-02	1.4983	-7.016262	0.000295	2.950029	0.499748	0.005901
 152	7.5500e-02	1.5062	-7.000012	0.000162	1.624654	0.275224	0.003250
 153	7.6000e-02	1.5148	-6.943565	0.000564	5.643534	0.956041	0.011289
 154	7.6500e-02	1.5251	-6.943993	-0.000004	-0.042754	-0.007243	-0.000086
 155	7.7000e-02	1.5347	-6.948269	-0.000043	-0.427540	-0.072427	-0.000855
 156	7.7500e-02	1.5454	-6.890540	0.000577	5.771796	0.977769	0.011546
 157	7.8000e-02	1.5573	-6.865310	0.000252	2.522489	0.427321	0.005046
 158	7.8500e-02	1.5681	-6.846067	0.000192	1.923932	0.325923	0.003849
 159	7.9000e-02	1.5759	-6.822120	0.000239	2.394227	0.405593	0.004789
 160	7.9500e-02	1.5848	-6.792186	0.000299	2.992783	0.506991	0.005987
 161	8.0000e-02	1.5955	-6.769094	0.000231	2.308719	0.391108	0.004618
 162	8.0500e-02	1.6044	-6.760969	0.000081	0.812327	0.137612	0.001625
 163	8.1000e-02	1.6161	-6.712648	0.000483	4.831207	0.818429	0.009664
 164	8.1500e-02	1.6258	-6.707516	0.000051	0.513049	0.086913	0.001026
 165	8.2000e-02	1.6351	-6.679721	0.000278	2.779013	0.470778	0.005559
 166	8.2500e-02	1.6490	-6.649787	0.000299	2.992783	0.506991	0.005987
 167	8.3000e-02	1.6563	-6.632682	0.000171	1.710162	0.289709	0.003421
 168	8.3500e-02	1.6685	-6.587354	0.000453	4.531929	0.767730	0.009066
 169	8.4000e-02	1.6760	-6.577091	0.000103	1.026097	0.173826	0.002053
 170	8.4500e-02	1.6876	-6.565972	0.000111	1.111605	0.188311	0.002224
 171	8.5000e-02	1.6942	-6.536894	0.000291	2.907275	0.492506	0.005816
 172	8.5500e-02	1.7046	-6.473178	0.000637	6.370353	1.079167	0.012743
 173	8.6000e-02	1.7164	-6.464197	0.000090	0.897835	0.152097	0.001796
 174	8.6500e-02	1.7281	-6.473178	-0.000090	-0.897835	-0.152097	-0.001796
 175	8.7000e-02	1.7384	-6.426994	0.000462	4.617437	0.782215	0.009237
 176	8.7500e-02	1.7462	-6.415876	0.000111	1.111605	0.188311	0.002224
 177	8.8000e-02	1.7560	-6.385514	0.000304	3.035537	0.514234	0.006072
 178	8.8500e-02	1.7705	-6.342752	0.000428	4.275405	0.724273	0.008553
 179	8.9000e-02	1.7801	-6.338476	0.000043	0.427540	0.072427	0.000855
 180	8.9500e-02	1.7844	-6.305548	0.000329	3.292062	0.557690	0.006585
 181	9.0000e-02	1.7952	-6.273477	0.000321	3.206553	0.543205	0.006414
 182	9.0500e-02	1.8048	-6.242260	0.000312	3.121045	0.528719	0.006243
 183	9.1000e-02	1.8159	-6.240549	0.000017	0.171016	0.028971	0.000342
 184	9.1500e-02	1.8272	-6.216602	0.000239	2.394227	0.405593	0.004789
 185	9.2000e-02	1.8364	-6.172129	0.000445	4.446421	0.753244	0.008895
 186	9.2500e-02	1.8445	-6.171274	0.000009	0.085508	0.014485	0.000171
 187	9.3000e-02	1.8568	-6.131933	0.000393	3.933372	0.666331	0.007868
 188	9.3500e-02	1.8681	-6.110551	0.000214	2.137702	0.362137	0.004276
 189	9.4000e-02	1.8777	-6.105420	0.000051	0.513049	0.086913	0.001026
 190	9.4500e-02	1.8879	-6.049829	0.000556	5.558026	0.941555	0.011118
 191	9.5000e-02	1.8955	-6.042131	0.000077	0.769573	0.130369	0.001539
 192	9.5500e-02	1.9070	-5.990389	0.000517	5.173240	0.876371	0.010349
 193	9.6000e-02	1.9162	-5.985257	0.000051	0.513049	0.086913	0.001026
 194	9.6500e-02	1.9243	-5.970290	0.000150	1.496392	0.253496	0.002993
 195	9.7000e-02	1.9382	-5.922396	0.000479	4.788453	0.811186	0.009579
 196	9.7500e-02	1.9459	-5.928811	-0.000064	-0.641311	-0.108641	-0.001283
 197	9.8000e-02	1.9604	-5.886476	0.000423	4.232651	0.717030	0.008467
 198	9.8500e-02	1.9650	-5.862956	0.000235	2.351473	0.398350	0.004704
 199	9.9000e-02	1.9765	-5.847562	0.000154	1.539146	0.260738	0.003079
 200	9.9500e-02	1.9852	-5.828746	0.000188	1.881178	0.318680	0.003763
 201	1.0000e-01	1.9974	-5.789405	0.000393	3.933372	0.666331	0.007868
 202	1.0050e-01	2.0053	-5.759471	0.000299	2.992783	0.506991	0.005987
 203	1.0100e-01	2.0160	-5.732958	0.000265	2.650751	0.449049	0.005303
 204	1.0150e-01	2.0268	-5.706873	0.000261	2.607997	0.441807	0.005217
 205	1.0200e-01	2.0378	-5.696610	0.000103	1.026097	0.173826	0.002053
 206	1.0250e-01	2.0477	-5.648716	0.000479	4.788453	0.811186	0.009579
 207	1.0300e-01	2.0557	-5.637170	0.000115	1.154359	0.195554	0.002309
 208	1.0350e-01	2.0669	-5.622631	0.000145	1.453638	0.246253	0.002908
 209	1.0400e-01	2.0761	-5.572599	0.000500	5.002223	0.847400	0.010006
 210	1.0450e-01	2.0859	-5.589276	-0.000167	-1.667408	-0.282467	-0.003335
 211	1.0500e-01	2.0953	-5.549935	0.000393	3.933372	0.666331	0.007868
 212	1.0550e-01	2.1070	-5.524705	0.000252	2.522489	0.427321	0.005046
 213	1.0600e-01	2.1201	-5.491350	0.000333	3.334816	0.564933	0.006671
 214	1.0650e-01	2.1261	-5.478094	0.000133	1.325375	0.224525	0.002651
 215	1.0700e-01	2.1370	-5.449870	0.000282	2.821767	0.478020	0.005645
 216	1.0750e-01	2.1455	-5.436186	0.000137	1.368129	0.231767	0.002737
 217	1.0800e-01	2.1561	-5.408818	0.000274	2.736259	0.463535	0.005474
 218	1.0850e-01	2.1696	-5.365201	0.000436	4.360913	0.738759	0.008724
 219	1.0900e-01	2.1777	-5.349378	0.000158	1.581900	0.267981	0.003164
 220	1.0950e-01	2.1860	-5.348095	0.000013	0.128262	0.021728	0.000257
 221	1.1000e-01	2.1964	-5.304478	0.000436	4.360913	0.738759	0.008724
 222	1.1050e-01	2.2074	-5.298063	0.000064	0.641311	0.108641	0.001283
 223	1.1100e-01	2.2150	-5.264709	0.000333	3.334816	0.564933	0.006671
 224	1.1150e-01	2.2265	-5.240334	0.000244	2.436981	0.412836	0.004875
 225	1.1200e-01	2.2368	-5.216387	0.000239	2.394227	0.405593	0.004789
 226	1.1250e-01	2.2462	-5.191157	0.000252	2.522489	0.427321	0.005046
 227	1.1300e-01	2.2575	-5.174052	0.000171	1.710162	0.289709	0.003421
 228	1.1350e-01	2.2641	-5.124447	0.000496	4.959469	0.840157	0.009921
 229	1.1400e-01	2.2787	-5.109053	0.000154	1.539146	0.260738	0.003079
 230	1.1450e-01	2.2852	-5.076126	0.000329	3.292062	0.557690	0.006585
 231	1.1500e-01	2.2968	-5.084251	-0.000081	-0.812327	-0.137612	-0.001625
 232	1.1550e-01	2.3060	-5.051324	0.000329	3.292062	0.557690	0.006585
 233	1.1600e-01	2.3169	-5.015831	0.000355	3.548586	0.601147	0.007099
 234	1.1650e-01	2.3285	-4.998726	0.000171	1.710162	0.289709	0.003421
 235	1.1700e-01	2.3376	-4.978627	0.000201	2.009440	0.340408	0.004020
 236	1.1750e-01	2.3441	-4.948266	0.000304	3.035537	0.514234	0.006072
 237	1.1800e-01	2.3584	-4.929450	0.000188	1.881178	0.318680	0.003763
 238	1.1850e-01	2.3661	-4.885833	0.000436	4.360913	0.738759	0.008724
 239	1.1900e-01	2.3755	-4.882412	0.000034	0.342032	0.057942	0.000684
 240	1.1950e-01	2.3862	-4.831952	0.000504	5.044977	0.854642	0.010092
 241	1.2000e-01	2.3939	-4.805867	0.000261	2.607997	0.441807	0.005217
 242	1.2050e-01	2.4091	-4.799452	0.000064	0.641311	0.108641	0.001283
 243	1.2100e-01	2.4173	-4.801590	-0.000021	-0.213770	-0.036214	-0.000428
 244	1.2150e-01	2.4274	-4.734026	0.000676	6.755139	1.144352	0.013513
 245	1.2200e-01	2.4335	-4.714355	0.000197	1.966686	0.333166	0.003934
 246	1.2250e-01	2.4477	-4.692546	0.000218	2.180456	0.369379	0.004362
 247	1.2300e-01	2.4584	-4.679290	0.000133	1.325375	0.224525	0.002651
 248	1.2350e-01	2.4678	-4.655343	0.000239	2.394227	0.405593	0.004789
 249	1.2400e-01	2.4797	-4.627975	0.000274	2.736259	0.463535	0.005474
 250	1.2450e-01	2.4897	-4.622843	0.000051	0.513049	0.086913	0.001026
 251	1.2500e-01	2.4973	-4.612152	0.000107	1.068851	0.181068	0.002138
 252	1.2550e-01	2.5062	-4.552285	0.000599	5.985567	1.013982	0.011974
 253	1.2600e-01	2.5163	-4.553140	-0.000009	-0.085508	-0.014485	-0.000171
 254	1.2650e-01	2.5259	-4.543732	0.000094	0.940589	0.159340	0.001882
 255	1.2700e-01	2.5338	-4.491562	0.000522	5.215994	0.883613	0.010434
 256	1.2750e-01	2.5479	-4.461201	0.000304	3.035537	0.514234	0.006072
 257	1.2800e-01	2.5583	-4.438109	0.000231	2.308719	0.391108	0.004618
 258	1.2850e-01	2.5641	-4.415445	0.000227	2.265964	0.383865	0.004533
 259	1.2900e-01	2.5748	-4.391070	0.000244	2.436981	0.412836	0.004875
 260	1.2950e-01	2.5870	-4.392353	-0.000013	-0.128262	-0.021728	-0.000257
 261	1.3000e-01	2.5980	-4.356005	0.000363	3.634094	0.615632	0.007270
 262	1.3050e-01	2.6051	-4.329064	0.000269	2.693505	0.456292	0.005388
 263	1.3100e-01	2.6154	-4.295710	0.000333	3.334816	0.564933	0.006671
 264	1.3150e-01	2.6270	-4.275184	0.000205	2.052194	0.347651	0.004105
 265	1.3200e-01	2.6358	-4.262355	0.000128	1.282621	0.217282	0.002566
 266	1.3250e-01	2.6469	-4.227717	0.000346	3.463078	0.586661	0.006928
 267	1.3300e-01	2.6569	-4.221731	0.000060	0.598557	0.101398	0.001197
 268	1.3350e-01	2.6663	-4.188803	0.000329	3.292062	0.557690	0.006585
 269	1.3400e-01	2.6764	-4.164001	0.000248	2.479735	0.420078	0.004960
 270	1.3450e-01	2.6865	-4.153738	0.000103	1.026097	0.173826	0.002053
 271	1.3500e-01	2.6971	-4.117390	0.000363	3.634094	0.615632	0.007270
 272	1.3550e-01	2.7063	-4.087029	0.000304	3.035537	0.514234	0.006072
 273	1.3600e-01	2.7151	-4.060088	0.000269	2.693505	0.456292	0.005388
 274	1.3650e-01	2.7278	-4.051536	0.000086	0.855081	0.144855	0.001711
 275	1.3700e-01	2.7374	-4.013049	0.000385	3.847864	0.651846	0.007697
 276	1.3750e-01	2.7460	-4.007918	0.000051	0.513049	0.086913	0.001026
 277	1.3800e-01	2.7594	-3.983543	0.000244	2.436981	0.412836	0.004875
 278	1.3850e-01	2.7673	-3.957458	0.000261	2.607997	0.441807	0.005217
 279	1.3900e-01	2.7744	-3.928807	0.000286	2.864521	0.485263	0.005730
 280	1.3950e-01	2.7899	-3.921110	0.000077	0.769573	0.130369	0.001539
 281	1.4000e-01	2.7975	-3.894170	0.000269	2.693505	0.456292	0.005388
 282	1.4050e-01	2.8076	-3.865091	0.000291	2.907275	0.492506	0.005816
 283	1.4100e-01	2.8162	-3.844565	0.000205	2.052194	0.347651	0.004105
 284	1.4150e-01	2.8281	-3.812493	0.000321	3.206553	0.543205	0.006414
