»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 11:48:21
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 11:47:51 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0036	-14.994483	0.000434	4.340629	0.735322	0.000043
   2	9.9500e-02	0.0065	-14.951305	0.000434	4.340629	0.735322	0.000043
   3	1.9900e-01	0.0172	-14.914644	0.000369	3.685440	0.624330	0.000037
   4	2.9850e-01	0.0258	-14.873910	0.000409	4.094933	0.693700	0.000041
   5	3.9800e-01	0.0343	-14.836027	0.000381	3.808288	0.645141	0.000038
   6	4.9750e-01	0.0464	-14.796515	0.000397	3.972085	0.672889	0.000040
   7	5.9700e-01	0.0568	-14.757817	0.000389	3.890186	0.659015	0.000039
   8	6.9650e-01	0.0629	-14.719934	0.000381	3.808288	0.645141	0.000038
   9	7.9600e-01	0.0751	-14.675941	0.000442	4.422528	0.749196	0.000044
  10	8.9550e-01	0.0864	-14.638466	0.000377	3.767338	0.638204	0.000038
  11	9.9500e-01	0.0961	-14.598546	0.000401	4.013034	0.679826	0.000040
  12	1.0945e+00	0.1058	-14.558626	0.000401	4.013034	0.679826	0.000040
  13	1.1940e+00	0.1145	-14.520336	0.000385	3.849237	0.652078	0.000038
  14	1.2935e+00	0.1266	-14.480009	0.000405	4.053984	0.686763	0.000041
  15	1.3930e+00	0.1353	-14.438460	0.000418	4.176832	0.707574	0.000042
  16	1.4925e+00	0.1445	-14.398948	0.000397	3.972085	0.672889	0.000040
  17	1.5920e+00	0.1537	-14.359843	0.000393	3.931136	0.665952	0.000039
  18	1.6915e+00	0.1651	-14.313814	0.000463	4.627274	0.783881	0.000046
  19	1.7910e+00	0.1755	-14.278782	0.000352	3.521642	0.596582	0.000035
  20	1.8905e+00	0.1845	-14.237233	0.000418	4.176832	0.707574	0.000042
  21	1.9900e+00	0.1978	-14.198536	0.000389	3.890186	0.659015	0.000039
  22	2.0895e+00	0.2044	-14.159023	0.000397	3.972085	0.672889	0.000040
  23	2.1890e+00	0.2136	-14.120733	0.000385	3.849237	0.652078	0.000038
  24	2.2885e+00	0.2258	-14.083665	0.000373	3.726389	0.631267	0.000037
  25	2.3880e+00	0.2343	-14.042931	0.000409	4.094933	0.693700	0.000041
  26	2.4875e+00	0.2471	-14.003419	0.000397	3.972085	0.672889	0.000040
  27	2.5870e+00	0.2541	-13.966350	0.000373	3.726389	0.631267	0.000037
  28	2.6865e+00	0.2650	-13.922765	0.000438	4.381578	0.742259	0.000044
  29	2.7860e+00	0.2747	-13.891807	0.000311	3.112149	0.527212	0.000031
  30	2.8855e+00	0.2854	-13.851887	0.000401	4.013034	0.679826	0.000040
  31	2.9850e+00	0.3023	-13.807894	0.000442	4.422528	0.749196	0.000044
  32	3.0845e+00	0.3024	-13.767975	0.000401	4.013034	0.679826	0.000040
  33	3.1840e+00	0.3138	-13.732536	0.000356	3.562592	0.603519	0.000036
  34	3.2835e+00	0.3249	-13.695060	0.000377	3.767338	0.638204	0.000038
  35	3.3830e+00	0.3356	-13.655955	0.000393	3.931136	0.665952	0.000039
  36	3.4825e+00	0.3439	-13.622146	0.000340	3.398794	0.575771	0.000034
  37	3.5820e+00	0.3570	-13.581819	0.000405	4.053984	0.686763	0.000041
  38	3.6815e+00	0.3667	-13.541899	0.000401	4.013034	0.679826	0.000040
  39	3.7810e+00	0.3748	-13.505646	0.000364	3.644490	0.617393	0.000036
  40	3.8805e+00	0.3834	-13.467763	0.000381	3.808288	0.645141	0.000038
  41	3.9800e+00	0.3918	-13.424992	0.000430	4.299680	0.728385	0.000043
  42	4.0795e+00	0.4037	-13.387924	0.000373	3.726389	0.631267	0.000037
  43	4.1790e+00	0.4143	-13.351670	0.000364	3.644490	0.617393	0.000036
  44	4.2785e+00	0.4227	-13.312973	0.000389	3.890186	0.659015	0.000039
  45	4.3780e+00	0.4342	-13.277941	0.000352	3.521642	0.596582	0.000035
  46	4.4775e+00	0.4459	-13.238837	0.000393	3.931136	0.665952	0.000039
  47	4.5770e+00	0.4541	-13.199324	0.000397	3.972085	0.672889	0.000040
  48	4.6765e+00	0.4649	-13.155739	0.000438	4.381578	0.742259	0.000044
  49	4.7760e+00	0.4731	-13.123966	0.000319	3.194048	0.541086	0.000032
  50	4.8755e+00	0.4840	-13.085268	0.000389	3.890186	0.659015	0.000039
  51	4.9750e+00	0.4958	-13.048608	0.000369	3.685440	0.624330	0.000037
  52	5.0745e+00	0.5042	-13.013169	0.000356	3.562592	0.603519	0.000036
  53	5.1740e+00	0.5149	-12.972027	0.000414	4.135882	0.700637	0.000041
  54	5.2735e+00	0.5199	-12.933330	0.000389	3.890186	0.659015	0.000039
  55	5.3730e+00	0.5347	-12.893410	0.000401	4.013034	0.679826	0.000040
  56	5.4725e+00	0.5418	-12.853491	0.000401	4.013034	0.679826	0.000040
  57	5.5720e+00	0.5515	-12.824162	0.000295	2.948352	0.499464	0.000029
  58	5.6715e+00	0.5654	-12.781391	0.000430	4.299680	0.728385	0.000043
  59	5.7710e+00	0.5765	-12.746359	0.000352	3.521642	0.596582	0.000035
  60	5.8705e+00	0.5849	-12.705625	0.000409	4.094933	0.693700	0.000041
  61	5.9700e+00	0.5924	-12.664891	0.000409	4.094933	0.693700	0.000041
  62	6.0695e+00	0.6045	-12.627008	0.000381	3.808288	0.645141	0.000038
  63	6.1690e+00	0.6123	-12.587089	0.000401	4.013034	0.679826	0.000040
  64	6.2685e+00	0.6214	-12.546762	0.000405	4.053984	0.686763	0.000041
  65	6.3680e+00	0.6322	-12.508064	0.000389	3.890186	0.659015	0.000039
  66	6.4675e+00	0.6426	-12.466922	0.000414	4.135882	0.700637	0.000041
  67	6.5670e+00	0.6516	-12.432706	0.000344	3.439744	0.582708	0.000034
  68	6.6665e+00	0.6651	-12.393601	0.000393	3.931136	0.665952	0.000039
  69	6.7660e+00	0.6722	-12.350422	0.000434	4.340629	0.735322	0.000043
  70	6.8655e+00	0.6843	-12.310503	0.000401	4.013034	0.679826	0.000040
  71	6.9650e+00	0.6954	-12.274249	0.000364	3.644490	0.617393	0.000036
  72	7.0645e+00	0.7018	-12.233923	0.000405	4.053984	0.686763	0.000041
