»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 14:7:47
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 02:07:24 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0034	-15.550379	0.000569	5.687373	0.963467	0.011375
   2	5.0000e-04	0.0047	-15.493505	0.000569	5.687373	0.963467	0.011375
   3	1.0000e-03	0.0166	-15.436631	0.000569	5.687373	0.963467	0.011375
   4	1.5000e-03	0.0268	-15.394724	0.000419	4.190696	0.709923	0.008381
   5	2.0000e-03	0.0354	-15.350678	0.000440	4.404507	0.746144	0.008809
   6	2.5000e-03	0.0439	-15.322883	0.000278	2.779543	0.470867	0.005559
   7	3.0000e-03	0.0526	-15.272850	0.000500	5.003178	0.847561	0.010006
   8	3.5000e-03	0.0643	-15.222818	0.000500	5.003178	0.847561	0.010006
   9	4.0000e-03	0.0730	-15.186470	0.000363	3.634787	0.615750	0.007270
  10	4.5000e-03	0.0845	-15.151405	0.000351	3.506500	0.594017	0.007013
  11	5.0000e-03	0.0974	-15.136010	0.000154	1.539439	0.260788	0.003079
  12	5.5000e-03	0.1086	-15.073149	0.000629	6.286044	1.064885	0.012572
  13	6.0000e-03	0.1163	-15.023973	0.000492	4.917653	0.833073	0.009835
  14	6.5000e-03	0.1271	-14.985486	0.000385	3.848598	0.651970	0.007697
  15	7.0000e-03	0.1372	-14.945290	0.000402	4.019647	0.680947	0.008039
  16	7.5000e-03	0.1475	-14.909369	0.000359	3.592025	0.608505	0.007184
  17	8.0000e-03	0.1572	-14.849074	0.000603	6.029470	1.021420	0.012059
  18	8.5000e-03	0.1675	-14.821706	0.000274	2.736781	0.463623	0.005474
  19	9.0000e-03	0.1759	-14.777660	0.000440	4.404507	0.746144	0.008809
  20	9.5000e-03	0.1872	-14.733187	0.000445	4.447269	0.753388	0.008895
  21	1.0000e-02	0.1980	-14.708385	0.000248	2.480208	0.420159	0.004960
  22	1.0500e-02	0.2036	-14.652366	0.000560	5.601848	0.948979	0.011204
  23	1.1000e-02	0.2145	-14.600624	0.000517	5.174226	0.876538	0.010349
  24	1.1500e-02	0.2252	-14.581380	0.000192	1.924299	0.325985	0.003849
  25	1.2000e-02	0.2360	-14.524079	0.000573	5.730135	0.970711	0.011460
  26	1.2500e-02	0.2453	-14.491579	0.000325	3.249927	0.550553	0.006500
  27	1.3000e-02	0.2555	-14.424442	0.000671	6.713666	1.137326	0.013427
  28	1.3500e-02	0.2633	-14.397929	0.000265	2.651256	0.449135	0.005303
  29	1.4000e-02	0.2758	-14.373127	0.000248	2.480208	0.420159	0.004960
  30	1.4500e-02	0.2861	-14.311549	0.000616	6.157757	1.043152	0.012316
  31	1.5000e-02	0.2957	-14.279049	0.000325	3.249927	0.550553	0.006500
  32	1.5500e-02	0.3076	-14.253819	0.000252	2.522970	0.427403	0.005046
  33	1.6000e-02	0.3165	-14.187965	0.000659	6.585379	1.115593	0.013171
  34	1.6500e-02	0.3304	-14.154183	0.000338	3.378214	0.572285	0.006756
  35	1.7000e-02	0.3352	-14.124677	0.000295	2.950592	0.499844	0.005901
  36	1.7500e-02	0.3442	-14.067375	0.000573	5.730135	0.970711	0.011460
  37	1.8000e-02	0.3583	-14.010928	0.000564	5.644611	0.956223	0.011289
  38	1.8500e-02	0.3682	-13.971587	0.000393	3.934123	0.666458	0.007868
  39	1.9000e-02	0.3760	-13.924120	0.000475	4.746604	0.804097	0.009493
  40	1.9500e-02	0.3848	-13.907015	0.000171	1.710488	0.289765	0.003421
  41	2.0000e-02	0.3960	-13.860404	0.000466	4.661080	0.789608	0.009322
  42	2.0500e-02	0.4087	-13.820207	0.000402	4.019647	0.680947	0.008039
  43	2.1000e-02	0.4176	-13.776590	0.000436	4.361745	0.738900	0.008724
  44	2.1500e-02	0.4246	-13.715012	0.000616	6.157757	1.043152	0.012316
  45	2.2000e-02	0.4360	-13.685933	0.000291	2.907830	0.492600	0.005816
  46	2.2500e-02	0.4448	-13.652151	0.000338	3.378214	0.572285	0.006756
  47	2.3000e-02	0.4531	-13.617085	0.000351	3.506500	0.594017	0.007013
  48	2.3500e-02	0.4652	-13.575178	0.000419	4.190696	0.709923	0.008381
  49	2.4000e-02	0.4760	-13.542679	0.000325	3.249927	0.550553	0.006500
  50	2.4500e-02	0.4853	-13.480245	0.000624	6.243281	1.057640	0.012487
  51	2.5000e-02	0.4980	-13.453733	0.000265	2.651256	0.449135	0.005303
  52	2.5500e-02	0.5080	-13.386168	0.000676	6.756428	1.144570	0.013513
  53	2.6000e-02	0.5132	-13.349820	0.000363	3.634787	0.615750	0.007270
  54	2.6500e-02	0.5269	-13.321169	0.000287	2.865067	0.485356	0.005730
  55	2.7000e-02	0.5344	-13.303636	0.000175	1.753250	0.297009	0.003507
  56	2.7500e-02	0.5453	-13.239492	0.000641	6.414330	1.086617	0.012829
  57	2.8000e-02	0.5556	-13.210841	0.000287	2.865067	0.485356	0.005730
  58	2.8500e-02	0.5658	-13.147125	0.000637	6.371568	1.079373	0.012743
  59	2.9000e-02	0.5782	-13.099231	0.000479	4.789367	0.811341	0.009579
  60	2.9500e-02	0.5860	-13.072718	0.000265	2.651256	0.449135	0.005303
  61	3.0000e-02	0.5931	-13.035515	0.000372	3.720312	0.630238	0.007441
  62	3.0500e-02	0.6053	-12.977358	0.000582	5.815659	0.985199	0.011631
  63	3.1000e-02	0.6131	-12.954266	0.000231	2.309159	0.391182	0.004618
  64	3.1500e-02	0.6271	-12.909793	0.000445	4.447269	0.753388	0.008895
  65	3.2000e-02	0.6364	-12.855485	0.000543	5.430800	0.920002	0.010862
  66	3.2500e-02	0.6448	-12.833248	0.000222	2.223634	0.376694	0.004447
  67	3.3000e-02	0.6554	-12.784927	0.000483	4.832129	0.818585	0.009664
  68	3.3500e-02	0.6663	-12.741736	0.000432	4.318982	0.731655	0.008638
  69	3.4000e-02	0.6784	-12.733184	0.000086	0.855244	0.144882	0.001711
  70	3.4500e-02	0.6888	-12.652790	0.000804	8.039294	1.361893	0.016079
  71	3.5000e-02	0.6951	-12.627561	0.000252	2.522970	0.427403	0.005046
  72	3.5500e-02	0.7036	-12.599765	0.000278	2.779543	0.470867	0.005559
  73	3.6000e-02	0.7175	-12.552726	0.000470	4.703842	0.796852	0.009408
