»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 17:17:11
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 05:16:50 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0053	-15.059893	0.000714	7.142568	1.209984	0.014283
   2	5.0000e-04	0.0066	-14.988480	0.000714	7.142568	1.209984	0.014283
   3	1.0000e-03	0.0124	-14.949993	0.000385	3.849288	0.652087	0.007697
   4	1.5000e-03	0.0252	-14.918349	0.000316	3.164970	0.536160	0.006329
   5	2.0000e-03	0.0346	-14.883284	0.000351	3.507129	0.594124	0.007013
   6	2.5000e-03	0.0454	-14.871310	0.000120	1.197556	0.202872	0.002395
   7	3.0000e-03	0.0550	-14.815719	0.000556	5.560083	0.941904	0.011118
   8	3.5000e-03	0.0629	-14.779799	0.000359	3.592669	0.608615	0.007184
   9	4.0000e-03	0.0755	-14.743878	0.000359	3.592669	0.608615	0.007184
  10	4.5000e-03	0.0863	-14.696412	0.000475	4.747456	0.804241	0.009493
  11	5.0000e-03	0.0954	-14.677168	0.000192	1.924644	0.326044	0.003849
  12	5.5000e-03	0.1065	-14.626709	0.000505	5.046845	0.854959	0.010092
  13	6.0000e-03	0.1152	-14.595492	0.000312	3.122200	0.528915	0.006243
  14	6.5000e-03	0.1254	-14.564703	0.000308	3.079431	0.521670	0.006158
  15	7.0000e-03	0.1353	-14.535197	0.000295	2.951121	0.499933	0.005901
  16	7.5000e-03	0.1516	-14.466349	0.000689	6.885949	1.166511	0.013770
  17	8.0000e-03	0.1559	-14.437698	0.000287	2.865581	0.485443	0.005730
  18	8.5000e-03	0.1646	-14.421449	0.000163	1.625255	0.275326	0.003250
  19	9.0000e-03	0.1760	-14.363292	0.000582	5.816702	0.985376	0.011631
  20	9.5000e-03	0.1854	-14.347042	0.000163	1.625255	0.275326	0.003250
  21	1.0000e-02	0.1939	-14.296582	0.000505	5.046845	0.854959	0.010092
  22	1.0500e-02	0.2043	-14.269642	0.000269	2.694502	0.456461	0.005388
  23	1.1000e-02	0.2163	-14.214906	0.000547	5.474543	0.927413	0.010947
  24	1.1500e-02	0.2262	-14.191814	0.000231	2.309573	0.391252	0.004618
