»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 10:46:29
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 10:46:06 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	-13.745159	0.000479	4.787084	0.810954	0.009579
   2	5.0000e-04	0.0042	-13.697265	0.000479	4.787084	0.810954	0.009579
   3	1.0000e-03	0.0181	-13.642102	0.000551	5.513695	0.934045	0.011033
   4	1.5000e-03	0.0262	-13.622431	0.000197	1.966124	0.333070	0.003934
   5	2.0000e-03	0.0363	-13.582234	0.000402	4.017731	0.680622	0.008039
   6	2.5000e-03	0.0471	-13.542037	0.000402	4.017731	0.680622	0.008039
   7	3.0000e-03	0.0565	-13.526215	0.000158	1.581447	0.267904	0.003164
   8	3.5000e-03	0.0676	-13.471479	0.000547	5.470953	0.926805	0.010947
   9	4.0000e-03	0.0767	-13.454802	0.000167	1.666931	0.282386	0.003335
  10	4.5000e-03	0.0859	-13.428289	0.000265	2.649993	0.448921	0.005303
  11	5.0000e-03	0.0966	-13.387664	0.000406	4.060473	0.687863	0.008125
  12	5.5000e-03	0.1056	-13.358158	0.000295	2.949186	0.499606	0.005901
  13	6.0000e-03	0.1192	-13.323948	0.000342	3.419346	0.579253	0.006842
  14	6.5000e-03	0.1276	-13.288028	0.000359	3.590313	0.608215	0.007184
  15	7.0000e-03	0.1348	-13.250397	0.000376	3.761280	0.637178	0.007526
  16	7.5000e-03	0.1456	-13.210628	0.000397	3.974989	0.673381	0.007954
  17	8.0000e-03	0.1563	-13.188391	0.000222	2.222575	0.376514	0.004447
  18	8.5000e-03	0.1663	-13.155464	0.000329	3.291120	0.557531	0.006585
  19	9.0000e-03	0.1790	-13.125530	0.000299	2.991927	0.506846	0.005987
  20	9.5000e-03	0.1865	-13.077209	0.000483	4.829826	0.818195	0.009664
  21	1.0000e-02	0.1972	-13.064380	0.000128	1.282255	0.217220	0.002566
  22	1.0500e-02	0.2067	-13.021190	0.000432	4.316924	0.731307	0.008638
  23	1.1000e-02	0.2169	-12.993822	0.000274	2.735477	0.463402	0.005474
  24	1.1500e-02	0.2289	-12.950631	0.000432	4.316924	0.731307	0.008638
  25	1.2000e-02	0.2395	-12.911290	0.000393	3.932247	0.666141	0.007868
  26	1.2500e-02	0.2498	-12.906586	0.000047	0.470160	0.079647	0.000941
  27	1.3000e-02	0.2595	-12.861685	0.000449	4.487891	0.760269	0.008980
  28	1.3500e-02	0.2638	-12.816785	0.000449	4.487891	0.760269	0.008980
