»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 10:39:39
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 10:39:09 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0037	-16.412646	0.000393	3.928992	0.665589	0.000039
   2	9.9500e-02	0.0076	-16.373541	0.000393	3.928992	0.665589	0.000039
   3	1.9900e-01	0.0137	-16.331178	0.000426	4.256408	0.721055	0.000043
   4	2.9850e-01	0.0213	-16.294517	0.000368	3.683430	0.623990	0.000037
   5	3.9800e-01	0.0362	-16.251338	0.000434	4.338262	0.734921	0.000043
   6	4.9750e-01	0.0459	-16.217122	0.000344	3.437868	0.582391	0.000034
   7	5.9700e-01	0.0573	-16.175980	0.000413	4.133627	0.700255	0.000041
   8	6.9650e-01	0.0656	-16.136060	0.000401	4.010846	0.679456	0.000040
   9	7.9600e-01	0.0778	-16.095734	0.000405	4.051773	0.686389	0.000041
  10	8.9550e-01	0.0880	-16.054999	0.000409	4.092700	0.693322	0.000041
  11	9.9500e-01	0.0957	-16.013450	0.000417	4.174554	0.707189	0.000042
  12	1.0945e+00	0.1056	-15.976790	0.000368	3.683430	0.623990	0.000037
  13	1.1940e+00	0.1162	-15.932389	0.000446	4.461043	0.755721	0.000045
  14	1.2935e+00	0.1266	-15.891655	0.000409	4.092700	0.693322	0.000041
  15	1.3930e+00	0.1353	-15.847255	0.000446	4.461043	0.755721	0.000045
  16	1.4925e+00	0.1467	-15.804484	0.000430	4.297335	0.727988	0.000043
  17	1.5920e+00	0.1548	-15.762120	0.000426	4.256408	0.721055	0.000043
  18	1.6915e+00	0.1669	-15.720978	0.000413	4.133627	0.700255	0.000041
  19	1.7910e+00	0.1744	-15.676578	0.000446	4.461043	0.755721	0.000045
  20	1.8905e+00	0.1869	-15.630956	0.000458	4.583824	0.776521	0.000046
  21	1.9900e+00	0.1952	-15.586963	0.000442	4.420116	0.748788	0.000044
  22	2.0895e+00	0.2038	-15.547858	0.000393	3.928992	0.665589	0.000039
  23	2.1890e+00	0.2169	-15.506309	0.000417	4.174554	0.707189	0.000042
  24	2.2885e+00	0.2249	-15.459465	0.000471	4.706605	0.797320	0.000047
