»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 10:55:50
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 10:55:24 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0027	-16.964750	0.000389	3.889684	0.658930	0.007783
   2	5.0000e-04	0.0060	-16.925836	0.000389	3.889684	0.658930	0.007783
   3	1.0000e-03	0.0152	-16.871528	0.000543	5.428460	0.919606	0.010862
   4	1.5000e-03	0.0269	-16.829620	0.000419	4.188890	0.709617	0.008381
   5	2.0000e-03	0.0397	-16.776167	0.000534	5.342972	0.905124	0.010691
   6	2.5000e-03	0.0479	-16.736398	0.000398	3.975171	0.673412	0.007954
   7	3.0000e-03	0.0566	-16.700050	0.000363	3.633221	0.615484	0.007270
   8	3.5000e-03	0.0689	-16.660708	0.000393	3.932427	0.666171	0.007868
   9	4.0000e-03	0.0769	-16.595282	0.000654	6.539798	1.107872	0.013085
  10	4.5000e-03	0.0865	-16.564920	0.000303	3.034808	0.514110	0.006072
  11	5.0000e-03	0.0979	-16.521730	0.000432	4.317121	0.731340	0.008638
  12	5.5000e-03	0.1059	-16.491369	0.000303	3.034808	0.514110	0.006072
  13	6.0000e-03	0.1177	-16.450317	0.000410	4.103403	0.695135	0.008210
  14	6.5000e-03	0.1279	-16.414396	0.000359	3.590477	0.608243	0.007184
  15	7.0000e-03	0.1369	-16.363509	0.000509	5.086509	0.861678	0.010177
  16	7.5000e-03	0.1491	-16.328016	0.000355	3.547733	0.601002	0.007099
  17	8.0000e-03	0.1569	-16.263017	0.000650	6.497054	1.100631	0.013000
  18	8.5000e-03	0.1664	-16.238642	0.000244	2.436395	0.412737	0.004875
  19	9.0000e-03	0.1755	-16.196307	0.000423	4.231634	0.716858	0.008467
  20	9.5000e-03	0.1871	-16.177919	0.000184	1.837982	0.311363	0.003678
  21	1.0000e-02	0.1958	-16.114203	0.000637	6.368823	1.078908	0.012743
  22	1.0500e-02	0.2082	-16.063316	0.000509	5.086509	0.861678	0.010177
  23	1.1000e-02	0.2162	-16.017132	0.000462	4.616328	0.782027	0.009237
  24	1.1500e-02	0.2274	-15.984205	0.000329	3.291271	0.557556	0.006585
