»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 15:7:34
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 03:07:12 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0037	-21.123833	0.000654	6.541544	1.108168	0.013085
   2	5.0000e-04	0.0072	-21.058407	0.000654	6.541544	1.108168	0.013085
   3	1.0000e-03	0.0137	-20.997256	0.000611	6.113992	1.035738	0.012230
   4	1.5000e-03	0.0266	-20.945086	0.000522	5.216133	0.883637	0.010434
   5	2.0000e-03	0.0351	-20.880087	0.000650	6.498789	1.100925	0.013000
   6	2.5000e-03	0.0481	-20.829200	0.000509	5.087867	0.861908	0.010177
   7	3.0000e-03	0.0555	-20.788147	0.000410	4.104498	0.695321	0.008210
   8	3.5000e-03	0.0666	-20.721010	0.000671	6.712565	1.137139	0.013427
   9	4.0000e-03	0.0754	-20.665847	0.000552	5.515419	0.934337	0.011033
  10	4.5000e-03	0.0858	-20.617097	0.000487	4.874091	0.825693	0.009750
  11	5.0000e-03	0.0973	-20.574335	0.000428	4.275519	0.724292	0.008553
  12	5.5000e-03	0.1072	-20.517033	0.000573	5.729195	0.970552	0.011460
  13	6.0000e-03	0.1153	-20.461442	0.000556	5.558174	0.941580	0.011118
  14	6.5000e-03	0.1244	-20.408844	0.000526	5.258888	0.890880	0.010520
  15	7.0000e-03	0.1379	-20.344272	0.000646	6.456033	1.093682	0.012914
  16	7.5000e-03	0.1430	-20.293813	0.000505	5.045112	0.854665	0.010092
  17	8.0000e-03	0.1586	-20.232662	0.000611	6.113992	1.035738	0.012230
  18	8.5000e-03	0.1688	-20.180492	0.000522	5.216133	0.883637	0.010434
  19	9.0000e-03	0.1771	-20.136447	0.000440	4.403784	0.746021	0.008809
  20	9.5000e-03	0.1851	-20.077007	0.000594	5.942971	1.006767	0.011888
  21	1.0000e-02	0.1952	-20.021415	0.000556	5.558174	0.941580	0.011118
  22	1.0500e-02	0.2050	-19.958127	0.000633	6.327768	1.071953	0.012658
  23	1.1000e-02	0.2144	-19.911088	0.000470	4.703071	0.796722	0.009408
  24	1.1500e-02	0.2277	-19.855924	0.000552	5.515419	0.934337	0.011033
  25	1.2000e-02	0.2374	-19.817866	0.000381	3.805212	0.644620	0.007612
  26	1.2500e-02	0.2480	-19.736189	0.000817	8.166241	1.383399	0.016335
  27	1.3000e-02	0.2558	-19.684447	0.000517	5.173378	0.876394	0.010349
  28	1.3500e-02	0.2650	-19.633987	0.000505	5.045112	0.854665	0.010092
  29	1.4000e-02	0.2759	-19.575830	0.000581	5.814706	0.985038	0.011631
  30	1.4500e-02	0.2835	-19.514679	0.000611	6.113992	1.035738	0.012230
  31	1.5000e-02	0.2957	-19.463792	0.000509	5.087867	0.861908	0.010177
  32	1.5500e-02	0.3056	-19.407773	0.000560	5.600930	0.948823	0.011204
  33	1.6000e-02	0.3165	-19.359024	0.000487	4.874091	0.825693	0.009750
  34	1.6500e-02	0.3235	-19.311985	0.000470	4.703071	0.796722	0.009408
  35	1.7000e-02	0.3345	-19.267940	0.000440	4.403784	0.746021	0.008809
  36	1.7500e-02	0.3467	-19.187546	0.000804	8.037975	1.361670	0.016079
  37	1.8000e-02	0.3571	-19.138797	0.000487	4.874091	0.825693	0.009750
  38	1.8500e-02	0.3671	-19.093041	0.000457	4.574805	0.774993	0.009151
  39	1.9000e-02	0.3751	-19.040443	0.000526	5.258888	0.890880	0.010520
  40	1.9500e-02	0.3854	-18.973306	0.000671	6.712565	1.137139	0.013427
  41	2.0000e-02	0.3969	-18.924984	0.000483	4.831336	0.818451	0.009664
  42	2.0500e-02	0.4070	-18.865117	0.000599	5.985726	1.014009	0.011974
  43	2.1000e-02	0.4146	-18.804821	0.000603	6.028482	1.021252	0.012059
  44	2.1500e-02	0.4240	-18.762487	0.000423	4.232764	0.717050	0.008467
  45	2.2000e-02	0.4350	-18.702619	0.000599	5.985726	1.014009	0.011974
  46	2.2500e-02	0.4458	-18.632916	0.000697	6.969096	1.180597	0.013941
  47	2.3000e-02	0.4541	-18.596996	0.000359	3.591436	0.608406	0.007184
  48	2.3500e-02	0.4670	-18.535845	0.000611	6.113992	1.035738	0.012230
  49	2.4000e-02	0.4766	-18.488379	0.000475	4.745826	0.803965	0.009493
  50	2.4500e-02	0.4848	-18.436636	0.000517	5.173378	0.876394	0.010349
  51	2.5000e-02	0.4968	-18.392163	0.000445	4.446540	0.753264	0.008895
  52	2.5500e-02	0.5062	-18.320322	0.000718	7.182872	1.216811	0.014368
  53	2.6000e-02	0.5150	-18.270290	0.000500	5.002357	0.847422	0.010006
  54	2.6500e-02	0.5258	-18.233086	0.000372	3.719701	0.630134	0.007441
  55	2.7000e-02	0.5362	-18.153976	0.000791	7.909710	1.339941	0.015822
  56	2.7500e-02	0.5437	-18.098384	0.000556	5.558174	0.941580	0.011118
  57	2.8000e-02	0.5579	-18.051773	0.000466	4.660315	0.789479	0.009322
  58	2.8500e-02	0.5648	-17.998748	0.000530	5.301643	0.898123	0.010605
  59	2.9000e-02	0.5755	-17.930328	0.000684	6.840830	1.158868	0.013684
  60	2.9500e-02	0.5866	-17.875592	0.000547	5.472664	0.927094	0.010947
  61	3.0000e-02	0.5950	-17.840954	0.000346	3.463170	0.586677	0.006928
  62	3.0500e-02	0.6071	-17.790922	0.000500	5.002357	0.847422	0.010006
  63	3.1000e-02	0.6161	-17.738324	0.000526	5.258888	0.890880	0.010520
  64	3.1500e-02	0.6257	-17.664345	0.000740	7.396648	1.253026	0.014796
  65	3.2000e-02	0.6368	-17.621155	0.000432	4.318274	0.731535	0.008638
  66	3.2500e-02	0.6431	-17.564281	0.000569	5.686440	0.963309	0.011375
  67	3.3000e-02	0.6569	-17.507406	0.000569	5.686440	0.963309	0.011375
  68	3.3500e-02	0.6672	-17.470203	0.000372	3.719701	0.630134	0.007441
  69	3.4000e-02	0.6744	-17.409480	0.000607	6.071237	1.028495	0.012145
  70	3.4500e-02	0.6853	-17.356027	0.000534	5.344399	0.905366	0.010691
  71	3.5000e-02	0.6969	-17.285469	0.000705	7.054606	1.195083	0.014112
  72	3.5500e-02	0.7073	-17.235437	0.000500	5.002357	0.847422	0.010006
  73	3.6000e-02	0.7140	-17.196523	0.000389	3.890722	0.659106	0.007783
  74	3.6500e-02	0.7269	-17.134090	0.000624	6.242257	1.057467	0.012487
  75	3.7000e-02	0.7355	-17.075505	0.000586	5.857461	0.992281	0.011717
  76	3.7500e-02	0.7480	-17.025045	0.000505	5.045112	0.854665	0.010092
  77	3.8000e-02	0.7552	-16.961329	0.000637	6.370523	1.079196	0.012743
  78	3.8500e-02	0.7646	-16.923698	0.000376	3.762457	0.637377	0.007526
  79	3.9000e-02	0.7763	-16.848436	0.000752	7.524913	1.274755	0.015052
  80	3.9500e-02	0.7873	-16.806529	0.000419	4.190008	0.709807	0.008381
  81	4.0000e-02	0.7932	-16.758635	0.000479	4.788581	0.811208	0.009579
  82	4.0500e-02	0.8041	-16.682945	0.000757	7.567668	1.281998	0.015138
  83	4.1000e-02	0.8154	-16.662846	0.000201	2.009494	0.340417	0.004020
  84	4.1500e-02	0.8273	-16.609821	0.000530	5.301643	0.898123	0.010605
  85	4.2000e-02	0.8363	-16.540973	0.000688	6.883585	1.166111	0.013770
