»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 18:8:52
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 06:07:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1517	-20.379701	0.000478	4.781949	0.810084	0.942982
   2	1.0000e-04	0.3442	-19.436719	0.000478	4.781949	0.810084	0.942982
   3	2.0000e-04	0.5168	-17.659980	0.000901	9.010004	1.526336	1.776739
   4	3.0000e-04	0.7498	-16.363835	0.000657	6.572872	1.113475	1.296145
   5	4.0000e-04	0.9518	-15.781298	0.000295	2.954100	0.500438	0.582537
   6	5.0000e-04	1.1472	-15.093176	0.000349	3.489530	0.591142	0.688122
   7	6.0000e-04	1.3412	-14.091940	0.000508	5.077359	0.860128	1.001236
   8	7.0000e-04	1.5305	-12.806717	0.000652	6.517483	1.104091	1.285223
   9	8.0000e-04	1.7456	-11.772713	0.000524	5.243527	0.888278	1.034004
  10	9.0000e-04	1.9449	-11.004492	0.000390	3.895719	0.659953	0.768221
  11	1.0000e-03	2.1409	-10.086996	0.000465	4.652707	0.788190	0.917496
  12	1.1000e-03	2.3374	-9.107606	0.000497	4.966580	0.841361	0.979391
  13	1.2000e-03	2.5497	-8.124574	0.000499	4.985043	0.844489	0.983032
  14	1.3000e-03	2.7435	-7.177951	0.000480	4.800412	0.813212	0.946623
  15	1.4000e-03	2.9503	-6.420653	0.000384	3.840330	0.650569	0.757298
  16	1.5000e-03	3.1409	-5.444903	0.000495	4.948117	0.838234	0.975750
  17	1.6000e-03	3.3383	-4.538329	0.000460	4.597318	0.778807	0.906574
  18	1.7000e-03	3.5440	-3.668164	0.000441	4.412686	0.747529	0.870165
  19	1.8000e-03	3.7491	-2.801640	0.000439	4.394223	0.744402	0.866524
  20	1.9000e-03	3.9410	-2.033419	0.000390	3.895719	0.659953	0.768221
  21	2.0000e-03	4.1476	-1.119564	0.000463	4.634244	0.785062	0.913855
  22	2.1000e-03	4.3393	-0.358624	0.000386	3.858793	0.653697	0.760939
  23	2.2000e-03	4.5438	0.464209	0.000417	4.172666	0.706869	0.822834
  24	2.3000e-03	4.7430	1.246994	0.000397	3.969571	0.672464	0.782784
  25	2.4000e-03	4.9466	2.000651	0.000382	3.821867	0.647442	0.753658
  26	2.5000e-03	5.1514	2.896302	0.000454	4.541928	0.769423	0.895651
  27	2.6000e-03	5.3423	3.668164	0.000391	3.914182	0.663080	0.771862
  28	2.7000e-03	5.5472	4.367209	0.000354	3.544920	0.600526	0.699045
  29	2.8000e-03	5.7480	5.091739	0.000367	3.674162	0.622420	0.724531
  30	2.9000e-03	5.9433	5.830834	0.000375	3.748014	0.634931	0.739094
  31	3.0000e-03	6.1502	6.639104	0.000410	4.098813	0.694358	0.808270
  32	3.1000e-03	6.3519	7.334508	0.000353	3.526457	0.597398	0.695404
  33	3.2000e-03	6.5414	8.022630	0.000349	3.489530	0.591142	0.688122
  34	3.3000e-03	6.7529	8.674343	0.000330	3.304899	0.559865	0.651714
  35	3.4000e-03	6.9444	9.398874	0.000367	3.674162	0.622420	0.724531
  36	3.5000e-03	7.1445	10.199863	0.000406	4.061887	0.688102	0.800989
  37	3.6000e-03	7.3466	10.778759	0.000294	2.935637	0.497310	0.578896
  38	3.7000e-03	7.5522	11.401346	0.000316	3.157194	0.534843	0.622587
  39	3.8000e-03	7.7408	12.176849	0.000393	3.932645	0.666208	0.775503
  40	3.9000e-03	7.9523	12.730259	0.000281	2.806395	0.475416	0.553410
  41	4.0000e-03	8.1436	13.549452	0.000415	4.154203	0.703741	0.819193
  42	4.1000e-03	8.3426	14.186602	0.000323	3.231047	0.547354	0.637150
  43	4.2000e-03	8.5483	14.769139	0.000295	2.954100	0.500438	0.582537
  44	4.3000e-03	8.7436	15.406289	0.000323	3.231047	0.547354	0.637150
  45	4.4000e-03	8.9493	16.072566	0.000338	3.378752	0.572376	0.666277
  46	4.5000e-03	9.1360	16.950013	0.000445	4.449613	0.753785	0.877447
  47	4.6000e-03	9.3442	17.437888	0.000247	2.474059	0.419117	0.487875
  48	4.7000e-03	9.5465	18.115087	0.000343	3.434141	0.581759	0.677200
  49	4.8000e-03	9.7385	18.846900	0.000371	3.711088	0.628675	0.731812
  50	4.9000e-03	9.9387	19.447641	0.000305	3.046415	0.516077	0.600742
  51	5.0000e-03	9.8386	20.379701	-0.000473	-4.726560	-0.800701	0.932060
  52	5.1000e-03	9.6439	19.422155	0.000486	4.855801	0.822595	-0.957546
  53	5.2000e-03	9.4455	18.257081	0.000591	5.908199	1.000876	-1.165074
  54	5.3000e-03	9.2252	18.271644	-0.000007	-0.073852	-0.012511	0.014563
  55	5.4000e-03	9.0445	17.998580	0.000138	1.384734	0.234580	-0.273064
  56	5.5000e-03	8.8480	17.401479	0.000303	3.027952	0.512949	-0.597101
  57	5.6000e-03	8.6368	16.596850	0.000408	4.080350	0.691230	-0.804630
  58	5.7000e-03	8.4409	16.331067	0.000135	1.347808	0.228325	-0.265783
  59	5.8000e-03	8.2529	15.686635	0.000327	3.267973	0.553610	-0.644432
  60	5.9000e-03	8.0472	14.849238	0.000425	4.246518	0.719380	-0.837397
  61	6.0000e-03	7.8397	14.754576	0.000048	0.480041	0.081321	-0.094662
  62	6.1000e-03	7.6468	14.099221	0.000332	3.323362	0.562993	-0.655354
  63	6.2000e-03	7.4405	13.356486	0.000377	3.766477	0.638059	-0.742735
  64	6.3000e-03	7.2485	12.584625	0.000391	3.914182	0.663080	-0.771862
  65	6.4000e-03	7.0419	12.020292	0.000286	2.861784	0.484799	-0.564333
  66	6.5000e-03	6.8442	11.816404	0.000103	1.033935	0.175153	-0.203888
  67	6.6000e-03	6.6489	10.917112	0.000456	4.560391	0.772551	-0.899292
  68	6.7000e-03	6.4459	10.207145	0.000360	3.600309	0.609909	-0.709967
  69	6.8000e-03	6.2387	9.522663	0.000347	3.471067	0.588015	-0.684481
  70	6.9000e-03	6.0507	8.849105	0.000342	3.415678	0.578631	-0.673559
  71	7.0000e-03	5.8414	8.572399	0.000140	1.403197	0.237708	-0.276705
  72	7.1000e-03	5.6458	7.643981	0.000471	4.708096	0.797573	-0.928419
  73	7.2000e-03	5.4483	6.828429	0.000414	4.135740	0.700613	-0.815552
  74	7.3000e-03	5.2451	6.173074	0.000332	3.323362	0.562993	-0.655354
  75	7.4000e-03	5.0443	5.361163	0.000412	4.117276	0.697486	-0.811911
  76	7.5000e-03	4.8508	4.989795	0.000188	1.883239	0.319029	-0.371367
  77	7.6000e-03	4.6420	4.090504	0.000456	4.560391	0.772551	-0.899292
  78	7.7000e-03	4.4473	3.264029	0.000419	4.191129	0.709996	-0.826475
  79	7.8000e-03	4.2496	2.372019	0.000452	4.523465	0.766296	-0.892010
  80	7.9000e-03	4.0497	1.585594	0.000399	3.988035	0.675591	-0.786425
  81	8.0000e-03	3.8492	1.199663	0.000196	1.957091	0.331540	-0.385931
  82	8.1000e-03	3.6429	0.194786	0.000510	5.095822	0.863256	-1.004877
  83	8.2000e-03	3.4518	-0.733633	0.000471	4.708096	0.797573	-0.928419
  84	8.3000e-03	3.2468	-1.611080	0.000445	4.449613	0.753785	-0.877447
  85	8.4000e-03	3.0479	-2.495808	0.000449	4.486539	0.760040	-0.884728
  86	8.5000e-03	2.8513	-2.950915	0.000231	2.307890	0.390967	-0.455107
  87	8.6000e-03	2.6500	-4.086863	0.000576	5.760494	0.975854	-1.135948
  88	8.7000e-03	2.4442	-5.015281	0.000471	4.708096	0.797573	-0.928419
  89	8.8000e-03	2.2501	-6.020158	0.000510	5.095822	0.863256	-1.004877
  90	8.9000e-03	2.0511	-6.952218	0.000473	4.726560	0.800701	-0.932060
  91	9.0000e-03	1.8486	-7.480142	0.000268	2.677153	0.453522	-0.527924
  92	9.1000e-03	1.6544	-8.667062	0.000602	6.018978	1.019643	-1.186920
  93	9.2000e-03	1.4485	-9.766601	0.000558	5.575863	0.944577	-1.099539
  94	9.3000e-03	1.2461	-10.742351	0.000495	4.948117	0.838234	-0.975750
  95	9.4000e-03	1.0556	-11.823685	0.000548	5.483548	0.928938	-1.081335
  96	9.5000e-03	0.8504	-12.438990	0.000312	3.120268	0.528588	-0.615305
  97	9.6000e-03	0.6494	-13.618628	0.000598	5.982052	1.013387	-1.179638
  98	9.7000e-03	0.4530	-14.761858	0.000580	5.797421	0.982110	-1.143229
  99	9.8000e-03	0.2507	-15.821347	0.000537	5.372769	0.910172	-1.059490
 100	9.9000e-03	0.0564	-16.917245	0.000556	5.557400	0.941449	-1.095898
 101	1.0000e-02	0.0060	-17.587163	0.000556	5.557400	0.941449	-0.669918

PMax (uC/cm2):	3.98e+01
Pr (uC/cm2):	2.81e+00
-Pr (uC/cm2):	0.00e+00
PLoss (uC/cm2):	0.00e+00
C (Max-Eff) (nF):	4.01e-01
K (Eff):	6.79e+02
Vert. (+/-Pr) Shift (uC/cm2):	1.41e+00
Offset (uC/cm2):	2.04e+01

A (Loop Area - uC/cm2·Volts):	-3.69e-01



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

