»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 17:41:31
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 05:41:05 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0030	-18.508050	0.000565	5.645429	0.956362	0.011289
   2	5.0000e-04	0.0040	-18.451603	0.000565	5.645429	0.956362	0.011289
   3	1.0000e-03	0.0161	-18.391308	0.000603	6.030345	1.021568	0.012059
   4	1.5000e-03	0.0283	-18.368644	0.000227	2.266725	0.383994	0.004533
   5	2.0000e-03	0.0362	-18.337427	0.000312	3.122093	0.528897	0.006243
   6	2.5000e-03	0.0465	-18.290388	0.000470	4.704524	0.796968	0.009408
   7	3.0000e-03	0.0567	-18.231804	0.000586	5.859271	0.992587	0.011717
   8	3.5000e-03	0.0679	-18.201870	0.000299	2.993788	0.507161	0.005987
   9	4.0000e-03	0.0764	-18.159963	0.000419	4.191303	0.710026	0.008381
  10	4.5000e-03	0.0846	-18.118483	0.000415	4.148535	0.702781	0.008296
  11	5.0000e-03	0.0936	-18.094963	0.000235	2.352262	0.398484	0.004704
  12	5.5000e-03	0.1062	-18.033385	0.000616	6.158650	1.043304	0.012316
  13	6.0000e-03	0.1136	-17.994899	0.000385	3.849156	0.652065	0.007697
  14	6.5000e-03	0.1270	-17.960262	0.000346	3.464240	0.586858	0.006928
  15	7.0000e-03	0.1385	-17.916644	0.000436	4.362377	0.739007	0.008724
  16	7.5000e-03	0.1433	-17.882006	0.000346	3.464240	0.586858	0.006928
  17	8.0000e-03	0.1574	-17.828125	0.000539	5.388819	0.912891	0.010776
  18	8.5000e-03	0.1653	-17.813586	0.000145	1.454126	0.246336	0.002908
  19	9.0000e-03	0.1781	-17.753719	0.000599	5.987576	1.014323	0.011974
  20	9.5000e-03	0.1884	-17.703259	0.000505	5.046671	0.854929	0.010092
  21	1.0000e-02	0.1928	-17.657930	0.000453	4.533450	0.767987	0.009066
  22	1.0500e-02	0.2064	-17.660069	-0.000021	-0.213842	-0.036226	-0.000428
  23	1.1000e-02	0.2155	-17.579247	0.000808	8.083228	1.369336	0.016164
  24	1.1500e-02	0.2272	-17.542472	0.000368	3.678082	0.623084	0.007355
