»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 11:30:7
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 11:29:39 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0033	-17.305541	0.000409	4.094824	0.693682	0.000041
   2	9.9500e-02	0.0028	-17.264807	0.000409	4.094824	0.693682	0.000041
   3	1.9900e-01	0.0165	-17.222850	0.000422	4.217668	0.714492	0.000042
   4	2.9850e-01	0.0253	-17.180894	0.000422	4.217668	0.714492	0.000042
   5	3.9800e-01	0.0320	-17.145455	0.000356	3.562497	0.603503	0.000036
   6	4.9750e-01	0.0455	-17.102684	0.000430	4.299565	0.728366	0.000043
   7	5.9700e-01	0.0552	-17.060321	0.000426	4.258617	0.721429	0.000043
   8	6.9650e-01	0.0647	-17.020401	0.000401	4.012927	0.679808	0.000040
   9	7.9600e-01	0.0773	-16.977223	0.000434	4.340513	0.735303	0.000043
  10	8.9550e-01	0.0852	-16.936489	0.000409	4.094824	0.693682	0.000041
  11	9.9500e-01	0.0975	-16.899420	0.000373	3.726289	0.631251	0.000037
  12	1.0945e+00	0.1035	-16.855835	0.000438	4.381461	0.742240	0.000044
  13	1.1940e+00	0.1148	-16.813064	0.000430	4.299565	0.728366	0.000043
  14	1.2935e+00	0.1245	-16.768663	0.000446	4.463358	0.756113	0.000045
  15	1.3930e+00	0.1346	-16.728744	0.000401	4.012927	0.679808	0.000040
  16	1.4925e+00	0.1428	-16.683529	0.000455	4.545254	0.769987	0.000045
  17	1.5920e+00	0.1551	-16.641165	0.000426	4.258617	0.721429	0.000043
  18	1.6915e+00	0.1656	-16.594321	0.000471	4.709047	0.797734	0.000047
  19	1.7910e+00	0.1759	-16.552772	0.000418	4.176720	0.707556	0.000042
  20	1.8905e+00	0.1858	-16.510816	0.000422	4.217668	0.714492	0.000042
  21	1.9900e+00	0.1943	-16.468045	0.000430	4.299565	0.728366	0.000043
  22	2.0895e+00	0.2051	-16.424866	0.000434	4.340513	0.735303	0.000043
  23	2.1890e+00	0.2124	-16.384132	0.000409	4.094824	0.693682	0.000041
  24	2.2885e+00	0.2259	-16.334436	0.000500	4.995685	0.846292	0.000050
