»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 12:10:13
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 12:09:49 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0041	-18.812091	0.000522	5.216332	0.883671	0.010434
   2	5.0000e-04	0.0045	-18.759921	0.000522	5.216332	0.883671	0.010434
   3	1.0000e-03	0.0195	-18.720152	0.000398	3.976384	0.673618	0.007954
   4	1.5000e-03	0.0266	-18.666698	0.000534	5.344602	0.905400	0.010691
   5	2.0000e-03	0.0388	-18.618804	0.000479	4.788764	0.811239	0.009579
   6	2.5000e-03	0.0432	-18.589726	0.000291	2.907464	0.492538	0.005816
   7	3.0000e-03	0.0580	-18.523016	0.000667	6.670064	1.129939	0.013342
   8	3.5000e-03	0.0668	-18.506767	0.000162	1.624759	0.275242	0.003250
   9	4.0000e-03	0.0764	-18.449465	0.000573	5.729414	0.970589	0.011460
  10	4.5000e-03	0.0864	-18.401998	0.000475	4.746007	0.803995	0.009493
  11	5.0000e-03	0.0958	-18.374203	0.000278	2.779193	0.470808	0.005559
  12	5.5000e-03	0.1051	-18.340420	0.000338	3.377789	0.572213	0.006756
  13	6.0000e-03	0.1147	-18.266441	0.000740	7.396930	1.253074	0.014796
  14	6.5000e-03	0.1265	-18.232231	0.000342	3.420546	0.579456	0.006842
  15	7.0000e-03	0.1374	-18.186475	0.000457	4.574980	0.775023	0.009151
  16	7.5000e-03	0.1460	-18.153976	0.000325	3.249518	0.550483	0.006500
  17	8.0000e-03	0.1561	-18.097957	0.000560	5.601143	0.948859	0.011204
  18	8.5000e-03	0.1655	-18.065457	0.000325	3.249518	0.550483	0.006500
  19	9.0000e-03	0.1756	-18.012432	0.000530	5.301846	0.898157	0.010605
  20	9.5000e-03	0.1863	-17.978222	0.000342	3.420546	0.579456	0.006842
  21	1.0000e-02	0.1972	-17.920492	0.000577	5.772171	0.977832	0.011546
  22	1.0500e-02	0.2070	-17.883289	0.000372	3.719843	0.630159	0.007441
  23	1.1000e-02	0.2163	-17.831546	0.000517	5.173575	0.876427	0.010349
  24	1.1500e-02	0.2275	-17.792205	0.000393	3.933627	0.666375	0.007868
  25	1.2000e-02	0.2370	-17.774245	0.000180	1.795786	0.304214	0.003592
  26	1.2500e-02	0.2482	-17.697700	0.000765	7.653471	1.296533	0.015309
  27	1.3000e-02	0.2579	-17.680595	0.000171	1.710273	0.289728	0.003421
  28	1.3500e-02	0.2692	-17.630990	0.000496	4.959791	0.840211	0.009921
  29	1.4000e-02	0.2755	-17.589510	0.000415	4.147411	0.702591	0.008296
  30	1.4500e-02	0.2846	-17.527505	0.000620	6.199739	1.050264	0.012401
  31	1.5000e-02	0.2966	-17.482604	0.000449	4.489466	0.760536	0.008980
  32	1.5500e-02	0.3069	-17.447111	0.000355	3.548816	0.601186	0.007099
  33	1.6000e-02	0.3194	-17.396224	0.000509	5.088061	0.861941	0.010177
  34	1.6500e-02	0.3272	-17.349613	0.000466	4.660493	0.789509	0.009322
  35	1.7000e-02	0.3368	-17.327804	0.000218	2.180598	0.369403	0.004362
  36	1.7500e-02	0.3466	-17.274351	0.000534	5.344602	0.905400	0.010691
  37	1.8000e-02	0.3580	-17.226457	0.000479	4.788764	0.811239	0.009579
  38	1.8500e-02	0.3668	-17.176852	0.000496	4.959791	0.840211	0.009921
  39	1.9000e-02	0.3761	-17.151622	0.000252	2.522652	0.427349	0.005046
  40	1.9500e-02	0.3836	-17.125965	0.000257	2.565409	0.434592	0.005132
  41	2.0000e-02	0.3990	-17.052413	0.000735	7.354173	1.245831	0.014710
  42	2.0500e-02	0.4047	-17.022479	0.000299	2.992977	0.507024	0.005987
  43	2.1000e-02	0.4184	-16.974158	0.000483	4.831521	0.818482	0.009664
  44	2.1500e-02	0.4243	-16.924125	0.000500	5.002548	0.847455	0.010006
  45	2.2000e-02	0.4377	-16.874093	0.000500	5.002548	0.847455	0.010006
  46	2.2500e-02	0.4437	-16.824916	0.000492	4.917034	0.832968	0.009835
  47	2.3000e-02	0.4562	-16.795838	0.000291	2.907464	0.492538	0.005816
  48	2.3500e-02	0.4681	-16.772746	0.000231	2.308868	0.391133	0.004618
  49	2.4000e-02	0.4771	-16.698767	0.000740	7.396930	1.253074	0.014796
  50	2.4500e-02	0.4871	-16.655149	0.000436	4.361196	0.738807	0.008724
  51	2.5000e-02	0.4955	-16.623933	0.000312	3.121248	0.528754	0.006243
  52	2.5500e-02	0.5058	-16.607683	0.000162	1.624759	0.275242	0.003250
  53	2.6000e-02	0.5164	-16.542684	0.000650	6.499036	1.100967	0.013000
  54	2.6500e-02	0.5245	-16.514033	0.000286	2.864707	0.485294	0.005730
  55	2.7000e-02	0.5392	-16.462718	0.000513	5.130818	0.869184	0.010263
  56	2.7500e-02	0.5476	-16.411403	0.000513	5.130818	0.869184	0.010263
  57	2.8000e-02	0.5585	-16.358377	0.000530	5.301846	0.898157	0.010605
  58	2.8500e-02	0.5666	-16.314332	0.000440	4.403952	0.746050	0.008809
  59	2.9000e-02	0.5750	-16.264727	0.000496	4.959791	0.840211	0.009921
  60	2.9500e-02	0.5858	-16.236932	0.000278	2.779193	0.470808	0.005559
  61	3.0000e-02	0.5973	-16.201011	0.000359	3.591573	0.608429	0.007184
  62	3.0500e-02	0.6056	-16.134302	0.000667	6.670064	1.129939	0.013342
  63	3.1000e-02	0.6178	-16.101374	0.000329	3.292275	0.557726	0.006585
  64	3.1500e-02	0.6245	-16.068020	0.000334	3.335032	0.564970	0.006671
  65	3.2000e-02	0.6362	-16.032099	0.000359	3.591573	0.608429	0.007184
  66	3.2500e-02	0.6488	-15.983350	0.000487	4.874277	0.825725	0.009750
  67	3.3000e-02	0.6538	-15.928614	0.000547	5.472873	0.927130	0.010947
