»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 12:22:8
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 12:21:45 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0056	-17.835609	0.000680	6.799423	1.151854	0.013598
   2	5.0000e-04	0.0055	-17.767616	0.000680	6.799423	1.151854	0.013598
   3	1.0000e-03	0.0160	-17.700052	0.000676	6.756660	1.144609	0.013513
   4	1.5000e-03	0.0253	-17.652585	0.000475	4.746767	0.804124	0.009493
   5	2.0000e-03	0.0381	-17.619658	0.000329	3.292803	0.557816	0.006585
   6	2.5000e-03	0.0466	-17.592290	0.000274	2.736875	0.463639	0.005474
   7	3.0000e-03	0.0574	-17.512324	0.000800	7.996806	1.354696	0.015993
   8	3.5000e-03	0.0643	-17.516600	-0.000043	-0.427637	-0.072444	-0.000855
   9	4.0000e-03	0.0757	-17.431931	0.000847	8.467207	1.434384	0.016934
  10	4.5000e-03	0.0850	-17.401141	0.000308	3.078984	0.521594	0.006158
  11	5.0000e-03	0.0946	-17.351965	0.000492	4.917822	0.833102	0.009835
  12	5.5000e-03	0.1064	-17.297229	0.000547	5.473750	0.927278	0.010947
  13	6.0000e-03	0.1160	-17.239927	0.000573	5.730332	0.970744	0.011460
  14	6.5000e-03	0.1256	-17.193743	0.000462	4.618476	0.782391	0.009237
  15	7.0000e-03	0.1360	-17.161671	0.000321	3.207275	0.543327	0.006414
  16	7.5000e-03	0.1440	-17.090258	0.000714	7.141533	1.209808	0.014283
  17	8.0000e-03	0.1537	-17.063318	0.000269	2.694111	0.456395	0.005388
  18	8.5000e-03	0.1649	-17.013285	0.000500	5.003349	0.847590	0.010006
  19	9.0000e-03	0.1769	-16.977365	0.000359	3.592148	0.608526	0.007184
  20	9.5000e-03	0.1878	-16.925195	0.000522	5.217168	0.883812	0.010434
  21	1.0000e-02	0.1987	-16.883715	0.000415	4.148076	0.702703	0.008296
  22	1.0500e-02	0.2074	-16.831545	0.000522	5.217168	0.883812	0.010434
  23	1.1000e-02	0.2155	-16.781940	0.000496	4.960586	0.840346	0.009921
  24	1.1500e-02	0.2253	-16.754572	0.000274	2.736875	0.463639	0.005474
  25	1.2000e-02	0.2384	-16.700691	0.000539	5.388222	0.912790	0.010776
  26	1.2500e-02	0.2453	-16.639969	0.000607	6.072441	1.028699	0.012145
  27	1.3000e-02	0.2578	-16.594213	0.000458	4.575713	0.775147	0.009151
  28	1.3500e-02	0.2657	-16.555726	0.000385	3.848730	0.651993	0.007697
  29	1.4000e-02	0.2753	-16.510826	0.000449	4.490185	0.760658	0.008980
  30	1.4500e-02	0.2851	-16.457800	0.000530	5.302695	0.898301	0.010605
  31	1.5000e-02	0.2958	-16.373986	0.000838	8.381679	1.419895	0.016763
  32	1.5500e-02	0.3060	-16.360302	0.000137	1.368437	0.231820	0.002737
  33	1.6000e-02	0.3160	-16.327802	0.000325	3.250039	0.550571	0.006500
  34	1.6500e-02	0.3264	-16.251257	0.000765	7.654697	1.296741	0.015309
  35	1.7000e-02	0.3373	-16.232442	0.000188	1.881601	0.318752	0.003763
  36	1.7500e-02	0.3443	-16.181982	0.000505	5.046113	0.854835	0.010092
  37	1.8000e-02	0.3559	-16.122970	0.000590	5.901386	0.999722	0.011802
  38	1.8500e-02	0.3645	-16.086621	0.000363	3.634912	0.615771	0.007270
  39	1.9000e-02	0.3774	-16.041293	0.000453	4.532949	0.767902	0.009066
  40	1.9500e-02	0.3860	-16.003234	0.000381	3.805967	0.644748	0.007612
  41	2.0000e-02	0.3963	-15.960900	0.000423	4.233603	0.717192	0.008467
  42	2.0500e-02	0.4064	-15.879223	0.000817	8.167861	1.383673	0.016335
  43	2.1000e-02	0.4153	-15.852283	0.000269	2.694111	0.456395	0.005388
  44	2.1500e-02	0.4262	-15.811231	0.000411	4.105312	0.695459	0.008210
  45	2.2000e-02	0.4355	-15.780014	0.000312	3.121748	0.528838	0.006243
  46	2.2500e-02	0.4440	-15.706035	0.000740	7.398115	1.253275	0.014796
  47	2.3000e-02	0.4552	-15.657713	0.000483	4.832295	0.818613	0.009664
  48	2.3500e-02	0.4635	-15.623503	0.000342	3.421094	0.579549	0.006842
  49	2.4000e-02	0.4753	-15.586727	0.000368	3.677676	0.623015	0.007355
  50	2.4500e-02	0.4864	-15.523011	0.000637	6.371787	1.079410	0.012743
  51	2.5000e-02	0.4986	-15.499492	0.000235	2.352002	0.398440	0.004704
  52	2.5500e-02	0.5084	-15.419098	0.000804	8.039570	1.361940	0.016079
  53	2.6000e-02	0.5152	-15.385316	0.000338	3.378330	0.572305	0.006756
  54	2.6500e-02	0.5253	-15.349395	0.000359	3.592148	0.608526	0.007184
  55	2.7000e-02	0.5356	-15.284396	0.000650	6.500078	1.101143	0.013000
  56	2.7500e-02	0.5516	-15.270285	0.000141	1.411201	0.239064	0.002822
  57	2.8000e-02	0.5583	-15.210845	0.000594	5.944150	1.006966	0.011888
  58	2.8500e-02	0.5624	-15.143708	0.000671	6.713896	1.137365	0.013427
  59	2.9000e-02	0.5819	-15.120188	0.000235	2.352002	0.398440	0.004704
  60	2.9500e-02	0.5899	-15.074432	0.000458	4.575713	0.775147	0.009151
  61	3.0000e-02	0.5972	-15.014137	0.000603	6.029677	1.021455	0.012059
  62	3.0500e-02	0.6058	-14.972230	0.000419	4.190840	0.709947	0.008381
  63	3.1000e-02	0.6189	-14.929895	0.000423	4.233603	0.717192	0.008467
  64	3.1500e-02	0.6258	-14.896113	0.000338	3.378330	0.572305	0.006756
