»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 14:49:15
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 02:48:49 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0042	-19.245489	0.000800	7.996928	1.354716	0.015993
   2	5.0000e-04	0.0046	-19.165523	0.000800	7.996928	1.354716	0.015993
   3	1.0000e-03	0.0180	-19.146280	0.000192	1.924394	0.326001	0.003849
   4	1.5000e-03	0.0259	-19.066314	0.000800	7.996928	1.354716	0.015993
   5	2.0000e-03	0.0356	-19.013716	0.000526	5.260012	0.891070	0.010520
   6	2.5000e-03	0.0439	-18.955559	0.000582	5.815948	0.985248	0.011631
   7	3.0000e-03	0.0545	-18.944013	0.000115	1.154637	0.195601	0.002309
   8	3.5000e-03	0.0640	-18.913224	0.000308	3.079031	0.521602	0.006158
   9	4.0000e-03	0.0777	-18.837962	0.000753	7.526521	1.275027	0.015052
  10	4.5000e-03	0.0862	-18.793489	0.000445	4.447489	0.753425	0.008895
  11	5.0000e-03	0.0951	-18.745168	0.000483	4.832368	0.818625	0.009664
  12	5.5000e-03	0.1045	-18.702833	0.000423	4.233668	0.717203	0.008467
  13	6.0000e-03	0.1133	-18.638261	0.000646	6.457413	1.093915	0.012914
  14	6.5000e-03	0.1265	-18.587374	0.000509	5.088954	0.862092	0.010177
  15	7.0000e-03	0.1360	-18.554019	0.000334	3.335617	0.565069	0.006671
  16	7.5000e-03	0.1438	-18.488165	0.000659	6.585706	1.115649	0.013171
  17	8.0000e-03	0.1560	-18.456093	0.000321	3.207324	0.543335	0.006414
  18	8.5000e-03	0.1655	-18.373134	0.000830	8.296278	1.405428	0.016592
  19	9.0000e-03	0.1749	-18.332937	0.000402	4.019846	0.680980	0.008039
  20	9.5000e-03	0.1903	-18.289319	0.000436	4.361961	0.738936	0.008724
  21	1.0000e-02	0.1949	-18.239715	0.000496	4.960661	0.840359	0.009921
  22	1.0500e-02	0.2029	-18.185834	0.000539	5.388305	0.912804	0.010776
  23	1.1000e-02	0.2164	-18.135802	0.000500	5.003426	0.847603	0.010006
  24	1.1500e-02	0.2243	-18.093467	0.000423	4.233668	0.717203	0.008467
  25	1.2000e-02	0.2345	-18.050277	0.000432	4.319197	0.731692	0.008638
  26	1.2500e-02	0.2473	-18.006659	0.000436	4.361961	0.738936	0.008724
  27	1.3000e-02	0.2561	-17.957910	0.000488	4.875133	0.825870	0.009750
  28	1.3500e-02	0.2654	-17.893338	0.000646	6.457413	1.093915	0.012914
  29	1.4000e-02	0.2760	-17.835181	0.000582	5.815948	0.985248	0.011631
  30	1.4500e-02	0.2859	-17.809951	0.000252	2.523095	0.427424	0.005046
  31	1.5000e-02	0.2951	-17.738538	0.000714	7.141642	1.209827	0.014283
  32	1.5500e-02	0.3068	-17.694065	0.000445	4.447489	0.753425	0.008895
  33	1.6000e-02	0.3164	-17.644460	0.000496	4.960661	0.840359	0.009921
  34	1.6500e-02	0.3249	-17.582027	0.000624	6.243591	1.057693	0.012487
  35	1.7000e-02	0.3368	-17.549527	0.000325	3.250088	0.550580	0.006500
  36	1.7500e-02	0.3455	-17.493509	0.000560	5.602126	0.949026	0.011204
  37	1.8000e-02	0.3561	-17.450746	0.000428	4.276432	0.724447	0.008553
  38	1.8500e-02	0.3660	-17.416108	0.000346	3.463910	0.586802	0.006928
  39	1.9000e-02	0.3754	-17.348544	0.000676	6.756763	1.144627	0.013513
  40	1.9500e-02	0.3860	-17.286110	0.000624	6.243591	1.057693	0.012487
  41	2.0000e-02	0.3961	-17.230947	0.000552	5.516598	0.934537	0.011033
  42	2.0500e-02	0.4061	-17.182197	0.000488	4.875133	0.825870	0.009750
  43	2.1000e-02	0.4160	-17.127461	0.000547	5.473833	0.927292	0.010947
  44	2.1500e-02	0.4314	-17.112494	0.000150	1.496751	0.253557	0.002993
  45	2.2000e-02	0.4354	-17.035950	0.000765	7.654814	1.296761	0.015309
  46	2.2500e-02	0.4455	-17.001739	0.000342	3.421146	0.579558	0.006842
  47	2.3000e-02	0.4547	-16.950424	0.000513	5.131719	0.869337	0.010263
  48	2.3500e-02	0.4688	-16.891412	0.000590	5.901476	0.999737	0.011802
  49	2.4000e-02	0.4765	-16.843091	0.000483	4.832368	0.818625	0.009664
  50	2.4500e-02	0.4873	-16.796052	0.000470	4.704075	0.796892	0.009408
  51	2.5000e-02	0.4960	-16.757565	0.000385	3.848789	0.652003	0.007697
