»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/9/2025 - 17:26:56
Configured:	07/09/25 02:06:30 PM
Executed:	07/09/25 05:26:18 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-900
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0001	-5.898407	0.000464	4.644450	0.786791	0.018552
   2	5.0000e-04	0.0110	-5.805645	0.000464	4.644450	0.786791	0.018552
   3	1.0000e-03	0.0293	-5.733050	0.000363	3.634787	0.615750	0.014519
   4	1.5000e-03	0.0481	-5.628189	0.000525	5.250248	0.889416	0.020972
   5	2.0000e-03	0.0681	-5.462832	0.000828	8.279238	1.402541	0.033071
   6	2.5000e-03	0.0874	-5.374104	0.000444	4.442518	0.752583	0.017746
   7	3.0000e-03	0.1071	-5.285376	0.000444	4.442518	0.752583	0.017746
   8	3.5000e-03	0.1273	-5.168416	0.000586	5.856046	0.992041	0.023392
   9	4.0000e-03	0.1477	-5.035324	0.000666	6.663777	1.128874	0.026618
  10	4.5000e-03	0.1665	-4.938529	0.000485	4.846383	0.821000	0.019359
  11	5.0000e-03	0.1872	-4.813503	0.000626	6.259911	1.060458	0.025005
  12	5.5000e-03	0.2074	-4.644113	0.000848	8.481170	1.436749	0.033878
  13	6.0000e-03	0.2272	-4.539252	0.000525	5.250248	0.889416	0.020972
  14	6.5000e-03	0.2471	-4.462624	0.000384	3.836720	0.649958	0.015326
  15	7.0000e-03	0.2675	-4.341631	0.000606	6.057979	1.026249	0.024199
  16	7.5000e-03	0.2876	-4.232737	0.000545	5.452181	0.923624	0.021779
  17	8.0000e-03	0.3070	-4.131910	0.000505	5.048316	0.855208	0.020165
  18	8.5000e-03	0.3278	-4.023016	0.000545	5.452181	0.923624	0.021779
  19	9.0000e-03	0.3468	-3.906056	0.000586	5.856046	0.992041	0.023392
  20	9.5000e-03	0.3671	-3.776997	0.000646	6.461844	1.094666	0.025812
  21	1.0000e-02	0.3877	-3.647938	0.000646	6.461844	1.094666	0.025812
  22	1.0500e-02	0.4070	-3.567276	0.000404	4.038653	0.684166	0.016132
  23	1.1000e-02	0.4279	-3.434183	0.000666	6.663777	1.128874	0.026618
  24	1.1500e-02	0.4471	-3.317224	0.000586	5.856046	0.992041	0.023392
  25	1.2000e-02	0.4681	-3.200264	0.000586	5.856046	0.992041	0.023392
  26	1.2500e-02	0.4874	-3.063138	0.000687	6.865709	1.163083	0.027425
  27	1.3000e-02	0.5077	-2.962311	0.000505	5.048316	0.855208	0.020165
  28	1.3500e-02	0.5271	-2.853417	0.000545	5.452181	0.923624	0.021779
  29	1.4000e-02	0.5473	-2.748557	0.000525	5.250248	0.889416	0.020972
  30	1.4500e-02	0.5667	-2.627564	0.000606	6.057979	1.026249	0.024199
  31	1.5000e-02	0.5878	-2.530769	0.000485	4.846383	0.821000	0.019359
  32	1.5500e-02	0.6081	-2.417843	0.000565	5.654114	0.957833	0.022585
  33	1.6000e-02	0.6271	-2.264585	0.000767	7.673440	1.299916	0.030652
  34	1.6500e-02	0.6477	-2.183923	0.000404	4.038653	0.684166	0.016132
  35	1.7000e-02	0.6676	-2.075029	0.000545	5.452181	0.923624	0.021779
  36	1.7500e-02	0.6866	-1.929838	0.000727	7.269575	1.231499	0.029038
  37	1.8000e-02	0.7065	-1.784646	0.000727	7.269575	1.231499	0.029038
  38	1.8500e-02	0.7277	-1.716083	0.000343	3.432855	0.581541	0.013713
  39	1.9000e-02	0.7471	-1.591057	0.000626	6.259911	1.060458	0.025005
  40	1.9500e-02	0.7681	-1.466031	0.000626	6.259911	1.060458	0.025005
  41	2.0000e-02	0.7872	-1.357138	0.000545	5.452181	0.923624	0.021779
  42	2.0500e-02	0.8080	-1.187748	0.000848	8.481170	1.436749	0.033878
  43	2.1000e-02	0.8281	-1.115152	0.000363	3.634787	0.615750	0.014519
  44	2.1500e-02	0.8475	-0.969960	0.000727	7.269575	1.231499	0.029038
  45	2.2000e-02	0.8673	-0.893331	0.000384	3.836720	0.649958	0.015326
  46	2.2500e-02	0.8882	-0.715875	0.000889	8.885036	1.505166	0.035491
  47	2.3000e-02	0.9076	-0.651345	0.000323	3.230922	0.547333	0.012906
  48	2.3500e-02	0.9288	-0.538419	0.000565	5.654114	0.957833	0.022585
  49	2.4000e-02	0.9480	-0.409360	0.000646	6.461844	1.094666	0.025812
  50	2.4500e-02	0.9681	-0.332731	0.000384	3.836720	0.649958	0.015326
  51	2.5000e-02	0.9871	-0.288367	0.000222	2.221259	0.376291	0.008873
  52	2.5500e-02	1.0080	-0.018149	0.001353	13.529486	2.291957	0.054044
  53	2.6000e-02	1.0274	0.002017	0.000101	1.009663	0.171042	0.004033
  54	2.6500e-02	1.0474	0.171407	0.000848	8.481170	1.436749	0.033878
  55	2.7000e-02	1.0675	0.364995	0.000969	9.692766	1.641999	0.038718
  56	2.7500e-02	1.0880	0.417426	0.000263	2.625124	0.444708	0.010486
  57	2.8000e-02	1.1087	0.526319	0.000545	5.452181	0.923624	0.021779
  58	2.8500e-02	1.1284	0.627147	0.000505	5.048316	0.855208	0.020165
  59	2.9000e-02	1.1481	0.732007	0.000525	5.250248	0.889416	0.020972
  60	2.9500e-02	1.1680	0.881232	0.000747	7.471507	1.265708	0.029845
  61	3.0000e-02	1.1871	1.002225	0.000606	6.057979	1.026249	0.024199
  62	3.0500e-02	1.2081	1.123218	0.000606	6.057979	1.026249	0.024199
  63	3.1000e-02	1.2276	1.232112	0.000545	5.452181	0.923624	0.021779
  64	3.1500e-02	1.2477	1.353105	0.000606	6.057979	1.026249	0.024199
  65	3.2000e-02	1.2684	1.445866	0.000464	4.644450	0.786791	0.018552
  66	3.2500e-02	1.2872	1.566859	0.000606	6.057979	1.026249	0.024199
  67	3.3000e-02	1.3073	1.744315	0.000889	8.885036	1.505166	0.035491
  68	3.3500e-02	1.3278	1.788679	0.000222	2.221259	0.376291	0.008873
  69	3.4000e-02	1.3472	1.905639	0.000586	5.856046	0.992041	0.023392
  70	3.4500e-02	1.3676	2.050831	0.000727	7.269575	1.231499	0.029038
  71	3.5000e-02	1.3873	2.167790	0.000586	5.856046	0.992041	0.023392
  72	3.5500e-02	1.4080	2.272651	0.000525	5.250248	0.889416	0.020972
  73	3.6000e-02	1.4273	2.433975	0.000808	8.077305	1.368333	0.032265
  74	3.6500e-02	1.4473	2.526736	0.000464	4.644450	0.786791	0.018552
  75	3.7000e-02	1.4673	2.635630	0.000545	5.452181	0.923624	0.021779
  76	3.7500e-02	1.4864	2.744524	0.000545	5.452181	0.923624	0.021779
  77	3.8000e-02	1.5080	2.934079	0.000949	9.490833	1.607791	0.037911
  78	3.8500e-02	1.5274	3.022807	0.000444	4.442518	0.752583	0.017746
  79	3.9000e-02	1.5474	3.131701	0.000545	5.452181	0.923624	0.021779
  80	3.9500e-02	1.5675	3.260760	0.000646	6.461844	1.094666	0.025812
  81	4.0000e-02	1.5871	3.349488	0.000444	4.442518	0.752583	0.017746
  82	4.0500e-02	1.6071	3.522912	0.000868	8.683103	1.470957	0.034685
  83	4.1000e-02	1.6277	3.579375	0.000283	2.827057	0.478916	0.011293
  84	4.1500e-02	1.6469	3.708434	0.000646	6.461844	1.094666	0.025812
  85	4.2000e-02	1.6682	3.865725	0.000788	7.875372	1.334124	0.031458
  86	4.2500e-02	1.6876	3.982685	0.000586	5.856046	0.992041	0.023392
  87	4.3000e-02	1.7075	4.063347	0.000404	4.038653	0.684166	0.016132
  88	4.3500e-02	1.7280	4.184340	0.000606	6.057979	1.026249	0.024199
  89	4.4000e-02	1.7479	4.373895	0.000949	9.490833	1.607791	0.037911
  90	4.4500e-02	1.7678	4.454557	0.000404	4.038653	0.684166	0.016132
  91	4.5000e-02	1.7880	4.547319	0.000464	4.644450	0.786791	0.018552
  92	4.5500e-02	1.8073	4.696543	0.000747	7.471507	1.265708	0.029845
  93	4.6000e-02	1.8281	4.753007	0.000283	2.827057	0.478916	0.011293
  94	4.6500e-02	1.8475	4.861900	0.000545	5.452181	0.923624	0.021779
  95	4.7000e-02	1.8673	5.043390	0.000909	9.086968	1.539374	0.036298
  96	4.7500e-02	1.8878	5.160350	0.000586	5.856046	0.992041	0.023392
  97	4.8000e-02	1.9080	5.281343	0.000606	6.057979	1.026249	0.024199
  98	4.8500e-02	1.9276	5.390236	0.000545	5.452181	0.923624	0.021779
  99	4.9000e-02	1.9476	5.567693	0.000889	8.885036	1.505166	0.035491
 100	4.9500e-02	1.9670	5.700785	0.000666	6.663777	1.128874	0.026618
 101	5.0000e-02	1.9876	5.781447	0.000404	4.038653	0.684166	0.016132
 102	5.0500e-02	2.0071	5.850010	0.000343	3.432855	0.581541	0.013713
 103	5.1000e-02	2.0275	5.966969	0.000586	5.856046	0.992041	0.023392
 104	5.1500e-02	2.0483	6.120227	0.000767	7.673440	1.299916	0.030652
 105	5.2000e-02	2.0676	6.188790	0.000343	3.432855	0.581541	0.013713
 106	5.2500e-02	2.0878	6.350114	0.000808	8.077305	1.368333	0.032265
 107	5.3000e-02	2.1069	6.463041	0.000565	5.654114	0.957833	0.022585
 108	5.3500e-02	2.1273	6.584033	0.000606	6.057979	1.026249	0.024199
 109	5.4000e-02	2.1469	6.709060	0.000626	6.259911	1.060458	0.025005
 110	5.4500e-02	2.1675	6.830052	0.000606	6.057979	1.026249	0.024199
 111	5.5000e-02	2.1875	6.971211	0.000707	7.067642	1.197291	0.028232
 112	5.5500e-02	2.2073	7.132535	0.000808	8.077305	1.368333	0.032265
 113	5.6000e-02	2.2278	7.225296	0.000464	4.644450	0.786791	0.018552
 114	5.6500e-02	2.2470	7.338223	0.000565	5.654114	0.957833	0.022585
 115	5.7000e-02	2.2681	7.499547	0.000808	8.077305	1.368333	0.032265
 116	5.7500e-02	2.2879	7.600374	0.000505	5.048316	0.855208	0.020165
 117	5.8000e-02	2.3087	7.713301	0.000565	5.654114	0.957833	0.022585
 118	5.8500e-02	2.3277	7.862526	0.000747	7.471507	1.265708	0.029845
 119	5.9000e-02	2.3471	7.955287	0.000464	4.644450	0.786791	0.018552
 120	5.9500e-02	2.3669	8.080313	0.000626	6.259911	1.060458	0.025005
 121	6.0000e-02	2.3871	8.177107	0.000485	4.846383	0.821000	0.019359
 122	6.0500e-02	2.4068	8.302133	0.000626	6.259911	1.060458	0.025005
 123	6.1000e-02	2.4272	8.423126	0.000606	6.057979	1.026249	0.024199
 124	6.1500e-02	2.4481	8.560252	0.000687	6.865709	1.163083	0.027425
 125	6.2000e-02	2.4670	8.665112	0.000525	5.250248	0.889416	0.020972
 126	6.2500e-02	2.4869	8.749807	0.000424	4.240585	0.718375	0.016939
