»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/10/2025 - 13:32:34
Configured:	07/10/25 01:31:25 PM
Executed:	07/10/25 01:32:15 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3361
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0020	2.224254	0.000727	7.266993	1.231062	0.029038
   2	5.0000e-04	0.0134	2.369445	0.000727	7.266993	1.231062	0.029038
   3	1.0000e-03	0.0306	2.421876	0.000262	2.624192	0.444550	0.010486
   4	1.5000e-03	0.0502	2.514637	0.000464	4.642801	0.786512	0.018552
   5	2.0000e-03	0.0708	2.639663	0.000626	6.257688	1.060081	0.025005
   6	2.5000e-03	0.0902	2.885682	0.001231	12.313516	2.085966	0.049204
   7	3.0000e-03	0.1110	2.994576	0.000545	5.450245	0.923296	0.021779
   8	3.5000e-03	0.1306	3.075238	0.000404	4.037218	0.683923	0.016132
   9	4.0000e-03	0.1505	3.224462	0.000747	7.468854	1.265258	0.029845
  10	4.5000e-03	0.1694	3.329323	0.000525	5.248384	0.889100	0.020972
  11	5.0000e-03	0.1899	3.514845	0.000929	9.285602	1.573024	0.037105
  12	5.5000e-03	0.2100	3.587441	0.000363	3.633496	0.615531	0.014519
  13	6.0000e-03	0.2296	3.708434	0.000606	6.055827	1.025885	0.024199
  14	6.5000e-03	0.2493	3.869758	0.000807	8.074437	1.367847	0.032265
  15	7.0000e-03	0.2703	4.006883	0.000686	6.863271	1.162670	0.027425
  16	7.5000e-03	0.2905	4.083512	0.000384	3.835357	0.649727	0.015326
  17	8.0000e-03	0.3097	4.269035	0.000929	9.285602	1.573024	0.037105
  18	8.5000e-03	0.3296	4.406160	0.000686	6.863271	1.162670	0.027425
  19	9.0000e-03	0.3503	4.615881	0.001050	10.496768	1.778201	0.041944
  20	9.5000e-03	0.3711	4.656212	0.000202	2.018609	0.341962	0.008066
  21	1.0000e-02	0.3903	4.817536	0.000807	8.074437	1.367847	0.032265
  22	1.0500e-02	0.4109	4.910298	0.000464	4.642801	0.786512	0.018552
  23	1.1000e-02	0.4301	5.091787	0.000908	9.083741	1.538827	0.036298
  24	1.1500e-02	0.4510	5.184548	0.000464	4.642801	0.786512	0.018552
  25	1.2000e-02	0.4701	5.321674	0.000686	6.863271	1.162670	0.027425
  26	1.2500e-02	0.4903	5.507196	0.000929	9.285602	1.573024	0.037105
  27	1.3000e-02	0.5094	5.616090	0.000545	5.450245	0.923296	0.021779
  28	1.3500e-02	0.5312	5.757248	0.000707	7.065132	1.196866	0.028232
  29	1.4000e-02	0.5505	5.930671	0.000868	8.680019	1.470435	0.034685
  30	1.4500e-02	0.5712	5.983102	0.000262	2.624192	0.444550	0.010486
  31	1.5000e-02	0.5912	6.156525	0.000868	8.680019	1.470435	0.034685
  32	1.5500e-02	0.6104	6.293650	0.000686	6.863271	1.162670	0.027425
  33	1.6000e-02	0.6304	6.418676	0.000626	6.257688	1.060081	0.025005
  34	1.6500e-02	0.6500	6.559835	0.000707	7.065132	1.196866	0.028232
  35	1.7000e-02	0.6706	6.656629	0.000484	4.844662	0.820708	0.019359
  36	1.7500e-02	0.6909	6.842152	0.000929	9.285602	1.573024	0.037105
  37	1.8000e-02	0.7104	6.955079	0.000565	5.652106	0.957493	0.022585
  38	1.8500e-02	0.7301	7.019608	0.000323	3.229775	0.547139	0.012906
  39	1.9000e-02	0.7510	7.193031	0.000868	8.680019	1.470435	0.034685
  40	1.9500e-02	0.7699	7.370488	0.000888	8.881880	1.504631	0.035491
  41	2.0000e-02	0.7896	7.475348	0.000525	5.248384	0.889100	0.020972
  42	2.0500e-02	0.8101	7.612474	0.000686	6.863271	1.162670	0.027425
  43	2.1000e-02	0.8313	7.761698	0.000747	7.468854	1.265258	0.029845
  44	2.1500e-02	0.8505	7.910923	0.000747	7.468854	1.265258	0.029845
  45	2.2000e-02	0.8710	8.003684	0.000464	4.642801	0.786512	0.018552
  46	2.2500e-02	0.8908	8.169041	0.000828	8.276298	1.402043	0.033071
  47	2.3000e-02	0.9111	8.281968	0.000565	5.652106	0.957493	0.022585
  48	2.3500e-02	0.9314	8.415060	0.000666	6.661410	1.128473	0.026618
  49	2.4000e-02	0.9490	8.576384	0.000807	8.074437	1.367847	0.032265
  50	2.4500e-02	0.9698	8.628814	0.000262	2.624192	0.444550	0.010486
  51	2.5000e-02	0.9897	8.790138	0.000807	8.074437	1.367847	0.032265
  52	2.5500e-02	1.0109	8.987760	0.000989	9.891185	1.675612	0.039524
  53	2.6000e-02	1.0310	9.080522	0.000464	4.642801	0.786512	0.018552
  54	2.6500e-02	1.0503	9.262011	0.000908	9.083741	1.538827	0.036298
  55	2.7000e-02	1.0709	9.419302	0.000787	7.872576	1.333650	0.031458
  56	2.7500e-02	1.0906	9.512063	0.000464	4.642801	0.786512	0.018552
  57	2.8000e-02	1.1111	9.685486	0.000868	8.680019	1.470435	0.034685
  58	2.8500e-02	1.1317	9.810512	0.000626	6.257688	1.060081	0.025005
  59	2.9000e-02	1.1501	9.935538	0.000626	6.257688	1.060081	0.025005
  60	2.9500e-02	1.1720	10.104929	0.000848	8.478158	1.436239	0.033878
  61	3.0000e-02	1.1903	10.197690	0.000464	4.642801	0.786512	0.018552
  62	3.0500e-02	1.2106	10.363047	0.000828	8.276298	1.402043	0.033071
  63	3.1000e-02	1.2309	10.516305	0.000767	7.670715	1.299454	0.030652
  64	3.1500e-02	1.2503	10.629231	0.000565	5.652106	0.957493	0.022585
  65	3.2000e-02	1.2711	10.834919	0.001029	10.294907	1.744004	0.041138
  66	3.2500e-02	1.2911	10.903482	0.000343	3.431636	0.581335	0.013713
  67	3.3000e-02	1.3105	11.036574	0.000666	6.661410	1.128473	0.026618
  68	3.3500e-02	1.3302	11.218064	0.000908	9.083741	1.538827	0.036298
  69	3.4000e-02	1.3513	11.314858	0.000484	4.844662	0.820708	0.019359
  70	3.4500e-02	1.3699	11.472149	0.000787	7.872576	1.333650	0.031458
  71	3.5000e-02	1.3899	11.568943	0.000484	4.844662	0.820708	0.019359
