»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/10/2025 - 14:24:25
Configured:	07/10/25 01:31:25 PM
Executed:	07/10/25 02:24:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3361
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0003	-0.030248	0.000707	7.066738	1.197138	0.028232
   2	5.0000e-04	0.0118	0.110910	0.000707	7.066738	1.197138	0.028232
   3	1.0000e-03	0.0288	0.159307	0.000242	2.422881	0.410447	0.009679
   4	1.5000e-03	0.0486	0.268201	0.000545	5.451483	0.923506	0.021779
   5	2.0000e-03	0.0677	0.393227	0.000626	6.259110	1.060322	0.025005
   6	2.5000e-03	0.0882	0.558584	0.000828	8.278178	1.402361	0.033071
   7	3.0000e-03	0.1093	0.635213	0.000384	3.836229	0.649875	0.015326
   8	3.5000e-03	0.1278	0.776371	0.000707	7.066738	1.197138	0.028232
   9	4.0000e-03	0.1483	0.901398	0.000626	6.259110	1.060322	0.025005
  10	4.5000e-03	0.1680	0.965927	0.000323	3.230509	0.547263	0.012906
  11	5.0000e-03	0.1886	1.147417	0.000909	9.085806	1.539177	0.036298
  12	5.5000e-03	0.2079	1.252277	0.000525	5.249577	0.889302	0.020972
  13	6.0000e-03	0.2278	1.381336	0.000646	6.461017	1.094526	0.025812
  14	6.5000e-03	0.2478	1.510395	0.000646	6.461017	1.094526	0.025812
  15	7.0000e-03	0.2683	1.643488	0.000666	6.662924	1.128730	0.026618
  16	7.5000e-03	0.2879	1.772547	0.000646	6.461017	1.094526	0.025812
  17	8.0000e-03	0.3093	1.921771	0.000747	7.470551	1.265546	0.029845
  18	8.5000e-03	0.3278	2.042764	0.000606	6.057204	1.026118	0.024199
  19	9.0000e-03	0.3475	2.183923	0.000707	7.066738	1.197138	0.028232
  20	9.5000e-03	0.3677	2.284750	0.000505	5.047670	0.855098	0.020165
  21	1.0000e-02	0.3883	2.413810	0.000646	6.461017	1.094526	0.025812
  22	1.0500e-02	0.4083	2.522703	0.000545	5.451483	0.923506	0.021779
  23	1.1000e-02	0.4285	2.647729	0.000626	6.259110	1.060322	0.025005
  24	1.1500e-02	0.4482	2.788888	0.000707	7.066738	1.197138	0.028232
  25	1.2000e-02	0.4684	2.946179	0.000787	7.874365	1.333954	0.031458
