»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/10/2025 - 14:58:38
Configured:	07/10/25 01:31:25 PM
Executed:	07/10/25 02:58:03 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3361
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0040	-1.969214	0.000126	1.261377	0.213683	0.005046
   2	5.0000e-04	0.0162	-1.943984	0.000126	1.261377	0.213683	0.005046
   3	1.0000e-03	0.0386	-1.876847	0.000336	3.356545	0.568614	0.013427
   4	1.5000e-03	0.0546	-1.795171	0.000408	4.083440	0.691753	0.016335
   5	2.0000e-03	0.0747	-1.723757	0.000357	3.570337	0.604832	0.014283
   6	2.5000e-03	0.0947	-1.643364	0.000402	4.019302	0.680888	0.016079
   7	3.0000e-03	0.1162	-1.568957	0.000372	3.719992	0.630184	0.014881
   8	3.5000e-03	0.1354	-1.497116	0.000359	3.591717	0.608453	0.014368
   9	4.0000e-03	0.1572	-1.420999	0.000381	3.805509	0.644671	0.015223
  10	4.5000e-03	0.1744	-1.345309	0.000378	3.784130	0.641049	0.015138
  11	5.0000e-03	0.1958	-1.261495	0.000419	4.190336	0.709862	0.016763
  12	5.5000e-03	0.2175	-1.192647	0.000344	3.442062	0.583101	0.013770
  13	6.0000e-03	0.2361	-1.115674	0.000385	3.848268	0.651914	0.015395
  14	6.5000e-03	0.2554	-1.033998	0.000408	4.083440	0.691753	0.016335
  15	7.0000e-03	0.2749	-0.962157	0.000359	3.591717	0.608453	0.014368
  16	7.5000e-03	0.2948	-0.892026	0.000351	3.506200	0.593966	0.014026
  17	8.0000e-03	0.3188	-0.803936	0.000440	4.404129	0.746080	0.017618
  18	8.5000e-03	0.3375	-0.727818	0.000381	3.805509	0.644671	0.015223
  19	9.0000e-03	0.3573	-0.649135	0.000393	3.933785	0.666401	0.015737
  20	9.5000e-03	0.3754	-0.577294	0.000359	3.591717	0.608453	0.014368
  21	1.0000e-02	0.3960	-0.498611	0.000393	3.933785	0.666401	0.015737
  22	1.0500e-02	0.4150	-0.418218	0.000402	4.019302	0.680888	0.016079
  23	1.1000e-02	0.4361	-0.345094	0.000366	3.655854	0.619319	0.014625
  24	1.1500e-02	0.4568	-0.267266	0.000389	3.891026	0.659158	0.015566
  25	1.2000e-02	0.4774	-0.191148	0.000381	3.805509	0.644671	0.015223
  26	1.2500e-02	0.4965	-0.108189	0.000415	4.147578	0.702619	0.016592
  27	1.3000e-02	0.5146	-0.028223	0.000400	3.997923	0.677266	0.015993
  28	1.3500e-02	0.5352	0.052170	0.000402	4.019302	0.680888	0.016079
  29	1.4000e-02	0.5560	0.127860	0.000378	3.784130	0.641049	0.015138
  30	1.4500e-02	0.5771	0.201412	0.000368	3.677234	0.622940	0.014710
  31	1.5000e-02	0.5936	0.284371	0.000415	4.147578	0.702619	0.016592
  32	1.5500e-02	0.6200	0.359633	0.000376	3.762751	0.637427	0.015052
  33	1.6000e-02	0.6380	0.441309	0.000408	4.083440	0.691753	0.016335
  34	1.6500e-02	0.6544	0.518282	0.000385	3.848268	0.651914	0.015395
  35	1.7000e-02	0.6775	0.593972	0.000378	3.784130	0.641049	0.015138
  36	1.7500e-02	0.6947	0.678641	0.000423	4.233095	0.717106	0.016934
  37	1.8000e-02	0.7175	0.756897	0.000391	3.912406	0.662779	0.015651
  38	1.8500e-02	0.7358	0.836435	0.000398	3.976543	0.673645	0.015908
  39	1.9000e-02	0.7537	0.919394	0.000415	4.147578	0.702619	0.016592
  40	1.9500e-02	0.7748	0.992091	0.000363	3.634475	0.615697	0.014539
  41	2.0000e-02	0.7970	1.080181	0.000440	4.404129	0.746080	0.017618
  42	2.0500e-02	0.8166	1.160575	0.000402	4.019302	0.680888	0.016079
  43	2.1000e-02	0.8365	1.234554	0.000370	3.698613	0.626562	0.014796
  44	2.1500e-02	0.8570	1.310671	0.000381	3.805509	0.644671	0.015223
  45	2.2000e-02	0.8771	1.399190	0.000443	4.425508	0.749701	0.017704
  46	2.2500e-02	0.8960	1.478301	0.000396	3.955164	0.670023	0.015822
  47	2.3000e-02	0.9160	1.558694	0.000402	4.019302	0.680888	0.016079
  48	2.3500e-02	0.9381	1.639515	0.000404	4.040681	0.684510	0.016164
  49	2.4000e-02	0.9549	1.725468	0.000430	4.297232	0.727971	0.017191
  50	2.4500e-02	0.9750	1.806289	0.000404	4.040681	0.684510	0.016164
  51	2.5000e-02	0.9957	1.863591	0.000286	2.864822	0.485314	0.011460
  52	2.5500e-02	1.0132	1.972635	0.000545	5.451713	0.923545	0.021809
  53	2.6000e-02	1.0388	2.048753	0.000381	3.805509	0.644671	0.015223
  54	2.6500e-02	1.0545	2.133422	0.000423	4.233095	0.717106	0.016934
  55	2.7000e-02	1.0755	2.214244	0.000404	4.040681	0.684510	0.016164
  56	2.7500e-02	1.0974	2.299341	0.000425	4.254474	0.720727	0.017019
  57	2.8000e-02	1.1168	2.381873	0.000413	4.126198	0.698997	0.016506
  58	2.8500e-02	1.1366	2.466115	0.000421	4.211715	0.713484	0.016848
  59	2.9000e-02	1.1560	2.545226	0.000396	3.955164	0.670023	0.015822
  60	2.9500e-02	1.1764	2.627757	0.000413	4.126198	0.698997	0.016506
  61	3.0000e-02	1.1960	2.711144	0.000417	4.168957	0.706240	0.016677
  62	3.0500e-02	1.2164	2.794531	0.000417	4.168957	0.706240	0.016677
  63	3.1000e-02	1.2338	2.876208	0.000408	4.083440	0.691753	0.016335
  64	3.1500e-02	1.2538	2.955318	0.000396	3.955164	0.670023	0.015822
  65	3.2000e-02	1.2769	3.038278	0.000415	4.147578	0.702619	0.016592
  66	3.2500e-02	1.2946	3.125086	0.000434	4.339991	0.735214	0.017362
  67	3.3000e-02	1.3173	3.205479	0.000402	4.019302	0.680888	0.016079
  68	3.3500e-02	1.3400	3.285873	0.000402	4.019302	0.680888	0.016079
  69	3.4000e-02	1.3557	3.376957	0.000455	4.553784	0.771432	0.018217
  70	3.4500e-02	1.3756	3.454785	0.000389	3.891026	0.659158	0.015566
  71	3.5000e-02	1.4007	3.541593	0.000434	4.339991	0.735214	0.017362
  72	3.5500e-02	1.4175	3.626690	0.000425	4.254474	0.720727	0.017019
  73	3.6000e-02	1.4348	3.708366	0.000408	4.083440	0.691753	0.016335
  74	3.6500e-02	1.4571	3.793036	0.000423	4.233095	0.717106	0.016934
  75	3.7000e-02	1.4764	3.881982	0.000445	4.446887	0.753323	0.017789
  76	3.7500e-02	1.4963	3.960665	0.000393	3.933785	0.666401	0.015737
  77	3.8000e-02	1.5153	4.041059	0.000402	4.019302	0.680888	0.016079
  78	3.8500e-02	1.5376	4.143261	0.000511	5.109644	0.865597	0.020440
  79	3.9000e-02	1.5536	4.224082	0.000404	4.040681	0.684510	0.016164
  80	3.9500e-02	1.5750	4.302338	0.000391	3.912406	0.662779	0.015651
  81	4.0000e-02	1.5958	4.382304	0.000400	3.997923	0.677266	0.015993
  82	4.0500e-02	1.6147	4.471250	0.000445	4.446887	0.753323	0.017789
  83	4.1000e-02	1.6345	4.555064	0.000419	4.190336	0.709862	0.016763
  84	4.1500e-02	1.6548	4.646576	0.000458	4.575163	0.775054	0.018302
  85	4.2000e-02	1.6769	4.731674	0.000425	4.254474	0.720727	0.017019
  86	4.2500e-02	1.6989	4.814633	0.000415	4.147578	0.702619	0.016592
  87	4.3000e-02	1.7131	4.897165	0.000413	4.126198	0.698997	0.016506
  88	4.3500e-02	1.7353	4.980124	0.000415	4.147578	0.702619	0.016592
  89	4.4000e-02	1.7551	5.067787	0.000438	4.382749	0.742458	0.017533
  90	4.4500e-02	1.7732	5.155023	0.000436	4.361370	0.738836	0.017447
  91	4.5000e-02	1.7950	5.238837	0.000419	4.190336	0.709862	0.016763
  92	4.5500e-02	1.8173	5.324362	0.000428	4.275853	0.724349	0.017105
  93	4.6000e-02	1.8340	5.410315	0.000430	4.297232	0.727971	0.017191
  94	4.6500e-02	1.8539	5.492419	0.000410	4.104819	0.695375	0.016421
  95	4.7000e-02	1.8750	5.578372	0.000430	4.297232	0.727971	0.017191
  96	4.7500e-02	1.8938	5.673305	0.000475	4.746197	0.804028	0.018987
  97	4.8000e-02	1.9144	5.755836	0.000413	4.126198	0.698997	0.016506
  98	4.8500e-02	1.9345	5.837513	0.000408	4.083440	0.691753	0.016335
  99	4.9000e-02	1.9565	5.921755	0.000421	4.211715	0.713484	0.016848
 100	4.9500e-02	1.9760	6.006425	0.000423	4.233095	0.717106	0.016934
 101	5.0000e-02	1.9939	6.095371	0.000445	4.446887	0.753323	0.017789
 102	5.0500e-02	2.0150	6.187310	0.000460	4.596542	0.778675	0.018388
 103	5.1000e-02	2.0370	6.266421	0.000396	3.955164	0.670023	0.015822
 104	5.1500e-02	2.0554	6.351091	0.000423	4.233095	0.717106	0.016934
 105	5.2000e-02	2.0752	6.436188	0.000425	4.254474	0.720727	0.017019
 106	5.2500e-02	2.0947	6.517009	0.000404	4.040681	0.684510	0.016164
 107	5.3000e-02	2.1152	6.605528	0.000443	4.425508	0.749701	0.017704
 108	5.3500e-02	2.1357	6.692763	0.000436	4.361370	0.738836	0.017447
 109	5.4000e-02	2.1548	6.774440	0.000408	4.083440	0.691753	0.016335
 110	5.4500e-02	2.1771	6.862958	0.000443	4.425508	0.749701	0.017704
 111	5.5000e-02	2.1962	6.951049	0.000440	4.404129	0.746080	0.017618
