»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 15:30:29
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 03:29:35 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0006	43.986612	0.000547	5.472372	0.927045	0.000110
   2	9.9500e-02	0.0196	44.095615	0.000547	5.472372	0.927045	0.000110
   3	1.9900e-01	0.0392	44.204618	0.000547	5.472372	0.927045	0.000110
   4	2.9850e-01	0.0597	44.358029	0.000770	7.701857	1.304730	0.000154
   5	3.9800e-01	0.0785	44.471069	0.000568	5.675053	0.961380	0.000114
   6	4.9750e-01	0.0995	44.616406	0.000730	7.296496	1.236060	0.000146
   7	5.9700e-01	0.1190	44.705223	0.000446	4.458970	0.755370	0.000089
   8	6.9650e-01	0.1383	44.858634	0.000770	7.701857	1.304730	0.000154
   9	7.9600e-01	0.1592	44.991859	0.000669	6.688455	1.133055	0.000134
  10	8.9550e-01	0.1788	45.121048	0.000649	6.485774	1.098720	0.000130
  11	9.9500e-01	0.1986	45.246199	0.000628	6.283094	1.064385	0.000126
  12	1.0945e+00	0.2188	45.383461	0.000689	6.891135	1.167390	0.000138
  13	1.1940e+00	0.2395	45.508613	0.000628	6.283094	1.064385	0.000126
  14	1.2935e+00	0.2592	45.613578	0.000527	5.269692	0.892710	0.000105
  15	1.3930e+00	0.2783	45.771026	0.000790	7.904538	1.339065	0.000158
  16	1.4925e+00	0.2994	45.912326	0.000709	7.093816	1.201725	0.000142
  17	1.5920e+00	0.3185	46.029403	0.000588	5.877733	0.995715	0.000118
  18	1.6915e+00	0.3391	46.207037	0.000892	8.917940	1.510740	0.000179
  19	1.7910e+00	0.3595	46.307965	0.000507	5.067011	0.858375	0.000101
  20	1.8905e+00	0.3786	46.441191	0.000669	6.688455	1.133055	0.000134
  21	1.9900e+00	0.3992	46.578454	0.000689	6.891135	1.167390	0.000138
  22	2.0895e+00	0.4175	46.687456	0.000547	5.472372	0.927045	0.000110
  23	2.1890e+00	0.4373	46.812607	0.000628	6.283094	1.064385	0.000126
  24	2.2885e+00	0.4573	46.974093	0.000811	8.107218	1.373400	0.000162
  25	2.3880e+00	0.4781	47.111355	0.000689	6.891135	1.167390	0.000138
  26	2.4875e+00	0.4980	47.236507	0.000628	6.283094	1.064385	0.000126
  27	2.5870e+00	0.5178	47.373769	0.000689	6.891135	1.167390	0.000138
  28	2.6865e+00	0.5376	47.506995	0.000669	6.688455	1.133055	0.000134
  29	2.7860e+00	0.5576	47.632146	0.000628	6.283094	1.064385	0.000126
  30	2.8855e+00	0.5769	47.773446	0.000709	7.093816	1.201725	0.000142
  31	2.9850e+00	0.5975	47.898597	0.000628	6.283094	1.064385	0.000126
  32	3.0845e+00	0.6177	48.056045	0.000790	7.904538	1.339065	0.000158
  33	3.1840e+00	0.6376	48.173122	0.000588	5.877733	0.995715	0.000118
  34	3.2835e+00	0.6567	48.314422	0.000709	7.093816	1.201725	0.000142
  35	3.3830e+00	0.6765	48.447647	0.000669	6.688455	1.133055	0.000134
  36	3.4825e+00	0.6976	48.580873	0.000669	6.688455	1.133055	0.000134
  37	3.5820e+00	0.7166	48.734284	0.000770	7.701857	1.304730	0.000154
  38	3.6815e+00	0.7374	48.851361	0.000588	5.877733	0.995715	0.000118
  39	3.7810e+00	0.7565	48.980549	0.000649	6.485774	1.098720	0.000130
  40	3.8805e+00	0.7773	49.109738	0.000649	6.485774	1.098720	0.000130
  41	3.9800e+00	0.7962	49.242963	0.000669	6.688455	1.133055	0.000134
  42	4.0795e+00	0.8163	49.400411	0.000790	7.904538	1.339065	0.000158
  43	4.1790e+00	0.8363	49.545748	0.000730	7.296496	1.236060	0.000146
  44	4.2785e+00	0.8566	49.674937	0.000649	6.485774	1.098720	0.000130
  45	4.3780e+00	0.8762	49.796051	0.000608	6.080414	1.030050	0.000122
