»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:1:29
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:00:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0006	25.888133	0.000649	6.486096	1.098774	0.000130
   2	9.9500e-02	0.0196	26.017321	0.000649	6.486096	1.098774	0.000130
   3	1.9900e-01	0.0392	26.134398	0.000588	5.878025	0.995764	0.000118
   4	2.9850e-01	0.0595	26.287809	0.000770	7.702239	1.304795	0.000154
   5	3.9800e-01	0.0793	26.457369	0.000851	8.513001	1.442141	0.000170
   6	4.9750e-01	0.0993	26.618854	0.000811	8.107620	1.373468	0.000162
   7	5.9700e-01	0.1181	26.707671	0.000446	4.459191	0.755407	0.000089
   8	6.9650e-01	0.1387	26.909528	0.001013	10.134525	1.716835	0.000203
   9	7.9600e-01	0.1599	27.018531	0.000547	5.472644	0.927091	0.000110
  10	8.9550e-01	0.1784	27.171942	0.000770	7.702239	1.304795	0.000154
  11	9.9500e-01	0.1985	27.325353	0.000770	7.702239	1.304795	0.000154
  12	1.0945e+00	0.2176	27.507024	0.000912	9.121073	1.545152	0.000183
  13	1.1940e+00	0.2393	27.599878	0.000466	4.661882	0.789744	0.000093
  14	1.2935e+00	0.2583	27.761364	0.000811	8.107620	1.373468	0.000162
  15	1.3930e+00	0.2776	27.930924	0.000851	8.513001	1.442141	0.000170
  16	1.4925e+00	0.2985	28.039926	0.000547	5.472644	0.927091	0.000110
  17	1.5920e+00	0.3191	28.189300	0.000750	7.499549	1.270458	0.000150
  18	1.6915e+00	0.3381	28.366934	0.000892	8.918382	1.510815	0.000179
  19	1.7910e+00	0.3571	28.475937	0.000547	5.472644	0.927091	0.000110
  20	1.8905e+00	0.3777	28.677794	0.001013	10.134525	1.716835	0.000203
  21	1.9900e+00	0.3976	28.827168	0.000750	7.499549	1.270458	0.000150
  22	2.0895e+00	0.4173	28.984616	0.000790	7.904930	1.339131	0.000158
  23	2.1890e+00	0.4385	29.121879	0.000689	6.891477	1.167448	0.000138
  24	2.2885e+00	0.4581	29.271253	0.000750	7.499549	1.270458	0.000150
  25	2.3880e+00	0.4782	29.408515	0.000689	6.891477	1.167448	0.000138
  26	2.4875e+00	0.4972	29.553852	0.000730	7.296858	1.236121	0.000146
  27	2.5870e+00	0.5168	29.739560	0.000932	9.323763	1.579488	0.000187
  28	2.6865e+00	0.5374	29.864712	0.000628	6.283406	1.064438	0.000126
  29	2.7860e+00	0.5573	30.014086	0.000750	7.499549	1.270458	0.000150
  30	2.8855e+00	0.5771	30.163460	0.000750	7.499549	1.270458	0.000150
  31	2.9850e+00	0.5969	30.312834	0.000750	7.499549	1.270458	0.000150
  32	3.0845e+00	0.6173	30.502579	0.000953	9.526454	1.613825	0.000191
  33	3.1840e+00	0.6381	30.660027	0.000790	7.904930	1.339131	0.000158
  34	3.2835e+00	0.6570	30.756919	0.000486	4.864572	0.824081	0.000097
  35	3.3830e+00	0.6766	30.938590	0.000912	9.121073	1.545152	0.000183
  36	3.4825e+00	0.6970	31.087964	0.000750	7.499549	1.270458	0.000150
  37	3.5820e+00	0.7169	31.245412	0.000790	7.904930	1.339131	0.000158
  38	3.6815e+00	0.7361	31.386712	0.000709	7.094168	1.201785	0.000142
  39	3.7810e+00	0.7571	31.564346	0.000892	8.918382	1.510815	0.000179
  40	3.8805e+00	0.7761	31.709683	0.000730	7.296858	1.236121	0.000146
  41	3.9800e+00	0.7958	31.859057	0.000750	7.499549	1.270458	0.000150
  42	4.0795e+00	0.8160	31.996319	0.000689	6.891477	1.167448	0.000138
  43	4.1790e+00	0.8369	32.153768	0.000790	7.904930	1.339131	0.000158
  44	4.2785e+00	0.8560	32.311216	0.000790	7.904930	1.339131	0.000158
  45	4.3780e+00	0.8763	32.472701	0.000811	8.107620	1.373468	0.000162
  46	4.4775e+00	0.8952	32.618038	0.000730	7.296858	1.236121	0.000146
  47	4.5770e+00	0.9158	32.755301	0.000689	6.891477	1.167448	0.000138
  48	4.6765e+00	0.9353	32.904675	0.000750	7.499549	1.270458	0.000150
  49	4.7760e+00	0.9566	33.114606	0.001054	10.539906	1.785508	0.000211
  50	4.8755e+00	0.9743	33.215534	0.000507	5.067263	0.858418	0.000101
  51	4.9750e+00	0.9962	33.360871	0.000730	7.296858	1.236121	0.000146
  52	5.0745e+00	1.0162	33.530431	0.000851	8.513001	1.442141	0.000170
  53	5.1740e+00	1.0361	33.679805	0.000750	7.499549	1.270458	0.000150
  54	5.2735e+00	1.0554	33.800919	0.000608	6.080715	1.030101	0.000122
  55	5.3730e+00	1.0751	34.010850	0.001054	10.539906	1.785508	0.000211
  56	5.4725e+00	1.0961	34.144076	0.000669	6.688787	1.133111	0.000134
  57	5.5720e+00	1.1163	34.285375	0.000709	7.094168	1.201785	0.000142
  58	5.6715e+00	1.1359	34.426675	0.000709	7.094168	1.201785	0.000142
  59	5.7710e+00	1.1559	34.580086	0.000770	7.702239	1.304795	0.000154
  60	5.8705e+00	1.1751	34.729460	0.000750	7.499549	1.270458	0.000150
  61	5.9700e+00	1.1945	34.907094	0.000892	8.918382	1.510815	0.000179
  62	6.0695e+00	1.2144	35.056468	0.000750	7.499549	1.270458	0.000150
  63	6.1690e+00	1.2355	35.201805	0.000730	7.296858	1.236121	0.000146
  64	6.2685e+00	1.2547	35.355216	0.000770	7.702239	1.304795	0.000154
  65	6.3680e+00	1.2745	35.500553	0.000730	7.296858	1.236121	0.000146
  66	6.4675e+00	1.2942	35.629741	0.000649	6.486096	1.098774	0.000130
  67	6.5670e+00	1.3132	35.815450	0.000932	9.323763	1.579488	0.000187
  68	6.6665e+00	1.3342	35.960787	0.000730	7.296858	1.236121	0.000146
  69	6.7660e+00	1.3533	36.138421	0.000892	8.918382	1.510815	0.000179
  70	6.8655e+00	1.3741	36.263572	0.000628	6.283406	1.064438	0.000126
  71	6.9650e+00	1.3943	36.421020	0.000790	7.904930	1.339131	0.000158
  72	7.0645e+00	1.4137	36.614803	0.000973	9.729144	1.648162	0.000195
  73	7.1640e+00	1.4339	36.703620	0.000446	4.459191	0.755407	0.000089
  74	7.2635e+00	1.4542	36.897402	0.000973	9.729144	1.648162	0.000195
  75	7.3630e+00	1.4735	37.066962	0.000851	8.513001	1.442141	0.000170
  76	7.4625e+00	1.4933	37.212299	0.000730	7.296858	1.236121	0.000146
  77	7.5620e+00	1.5133	37.341487	0.000649	6.486096	1.098774	0.000130
  78	7.6615e+00	1.5331	37.519121	0.000892	8.918382	1.510815	0.000179
  79	7.7610e+00	1.5534	37.656384	0.000689	6.891477	1.167448	0.000138
  80	7.8605e+00	1.5727	37.817869	0.000811	8.107620	1.373468	0.000162
  81	7.9600e+00	1.5933	38.015689	0.000993	9.931835	1.682498	0.000199
  82	8.0595e+00	1.6134	38.161026	0.000730	7.296858	1.236121	0.000146
  83	8.1590e+00	1.6332	38.318474	0.000790	7.904930	1.339131	0.000158
  84	8.2585e+00	1.6528	38.447662	0.000649	6.486096	1.098774	0.000130
  85	8.3580e+00	1.6732	38.633370	0.000932	9.323763	1.579488	0.000187
  86	8.4575e+00	1.6935	38.754485	0.000608	6.080715	1.030101	0.000122
  87	8.5570e+00	1.7122	38.887710	0.000669	6.688787	1.133111	0.000134
  88	8.6565e+00	1.7318	39.061307	0.000872	8.715692	1.476478	0.000174
  89	8.7560e+00	1.7530	39.247015	0.000932	9.323763	1.579488	0.000187
  90	8.8555e+00	1.7722	39.428686	0.000912	9.121073	1.545152	0.000183
  91	8.9550e+00	1.7923	39.549800	0.000608	6.080715	1.030101	0.000122
  92	9.0545e+00	1.8118	39.695137	0.000730	7.296858	1.236121	0.000146
  93	9.1540e+00	1.8325	39.860660	0.000831	8.310311	1.407805	0.000166
  94	9.2535e+00	1.8517	40.058479	0.000993	9.931835	1.682498	0.000199
  95	9.3530e+00	1.8726	40.219965	0.000811	8.107620	1.373468	0.000162
  96	9.4525e+00	1.8920	40.349153	0.000649	6.486096	1.098774	0.000130
  97	9.5520e+00	1.9118	40.534861	0.000932	9.323763	1.579488	0.000187
  98	9.6515e+00	1.9314	40.676161	0.000709	7.094168	1.201785	0.000142
  99	9.7510e+00	1.9521	40.857832	0.000912	9.121073	1.545152	0.000183
 100	9.8505e+00	1.9711	40.966835	0.000547	5.472644	0.927091	0.000110
 101	9.9500e+00	1.9930	41.128320	0.000811	8.107620	1.373468	0.000162
 102	1.0050e+01	2.0123	41.330177	0.001013	10.134525	1.716835	0.000203
 103	1.0149e+01	2.0308	41.471477	0.000709	7.094168	1.201785	0.000142
 104	1.0248e+01	2.0514	41.616814	0.000730	7.296858	1.236121	0.000146
 105	1.0348e+01	2.0707	41.758114	0.000709	7.094168	1.201785	0.000142
 106	1.0447e+01	2.0911	41.955933	0.000993	9.931835	1.682498	0.000199
 107	1.0547e+01	2.1107	42.085122	0.000649	6.486096	1.098774	0.000130
 108	1.0646e+01	2.1311	42.190087	0.000527	5.269953	0.892754	0.000105
 109	1.0746e+01	2.1509	42.383870	0.000973	9.729144	1.648162	0.000195
 110	1.0845e+01	2.1705	42.561504	0.000892	8.918382	1.510815	0.000179
 111	1.0945e+01	2.1911	42.670506	0.000547	5.472644	0.927091	0.000110
 112	1.1044e+01	2.2108	42.840066	0.000851	8.513001	1.442141	0.000170
 113	1.1144e+01	2.2301	43.021737	0.000912	9.121073	1.545152	0.000183
 114	1.1243e+01	2.2511	43.171111	0.000750	7.499549	1.270458	0.000150
 115	1.1343e+01	2.2706	43.332596	0.000811	8.107620	1.373468	0.000162
 116	1.1443e+01	2.2909	43.486008	0.000770	7.702239	1.304795	0.000154
 117	1.1542e+01	2.3104	43.631344	0.000730	7.296858	1.236121	0.000146
 118	1.1642e+01	2.3302	43.788793	0.000790	7.904930	1.339131	0.000158
 119	1.1741e+01	2.3514	43.934130	0.000730	7.296858	1.236121	0.000146
 120	1.1841e+01	2.3705	44.091578	0.000790	7.904930	1.339131	0.000158
 121	1.1940e+01	2.3901	44.273249	0.000912	9.121073	1.545152	0.000183
 122	1.2040e+01	2.4106	44.434735	0.000811	8.107620	1.373468	0.000162
 123	1.2139e+01	2.4303	44.567960	0.000669	6.688787	1.133111	0.000134
 124	1.2239e+01	2.4509	44.741557	0.000872	8.715692	1.476478	0.000174
 125	1.2338e+01	2.4702	44.862671	0.000608	6.080715	1.030101	0.000122
 126	1.2438e+01	2.4899	45.040305	0.000892	8.918382	1.510815	0.000179
 127	1.2537e+01	2.5096	45.217939	0.000892	8.918382	1.510815	0.000179
 128	1.2636e+01	2.5294	45.415758	0.000993	9.931835	1.682498	0.000199
 129	1.2736e+01	2.5497	45.532835	0.000588	5.878025	0.995764	0.000118
 130	1.2835e+01	2.5692	45.698358	0.000831	8.310311	1.407805	0.000166
 131	1.2935e+01	2.5890	45.859843	0.000811	8.107620	1.373468	0.000162
 132	1.3034e+01	2.6092	45.997106	0.000689	6.891477	1.167448	0.000138
 133	1.3134e+01	2.6299	46.186851	0.000953	9.526454	1.613825	0.000191
 134	1.3233e+01	2.6482	46.348337	0.000811	8.107620	1.373468	0.000162
 135	1.3333e+01	2.6688	46.513859	0.000831	8.310311	1.407805	0.000166
 136	1.3432e+01	2.6893	46.647085	0.000669	6.688787	1.133111	0.000134
 137	1.3532e+01	2.7090	46.796459	0.000750	7.499549	1.270458	0.000150
 138	1.3632e+01	2.7283	46.933722	0.000689	6.891477	1.167448	0.000138
 139	1.3731e+01	2.7483	47.119430	0.000932	9.323763	1.579488	0.000187
 140	1.3831e+01	2.7685	47.268804	0.000750	7.499549	1.270458	0.000150
 141	1.3930e+01	2.7879	47.402029	0.000669	6.688787	1.133111	0.000134
 142	1.4030e+01	2.8089	47.611960	0.001054	10.539906	1.785508	0.000211
