»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:34:43
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:34:14 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0004	-0.354913	0.000646	6.462054	1.094702	0.025812
   2	5.0000e-04	0.0101	-0.225854	0.000646	6.462054	1.094702	0.025812
   3	1.0000e-03	0.0279	-0.120993	0.000525	5.250419	0.889445	0.020972
   4	1.5000e-03	0.0472	0.048397	0.000848	8.481446	1.436796	0.033878
   5	2.0000e-03	0.0679	0.161324	0.000565	5.654297	0.957864	0.022585
   6	2.5000e-03	0.0879	0.274251	0.000565	5.654297	0.957864	0.022585
   7	3.0000e-03	0.1070	0.488005	0.001070	10.702777	1.813099	0.042751
   8	3.5000e-03	0.1270	0.576733	0.000444	4.442662	0.752607	0.017746
   9	4.0000e-03	0.1478	0.705792	0.000646	6.462054	1.094702	0.025812
  10	4.5000e-03	0.1674	0.959877	0.001272	12.722169	2.155194	0.050817
  11	5.0000e-03	0.1872	1.092970	0.000666	6.663993	1.128911	0.026618
  12	5.5000e-03	0.2070	1.185731	0.000464	4.644601	0.786817	0.018552
  13	6.0000e-03	0.2273	1.330923	0.000727	7.269811	1.231539	0.029038
  14	6.5000e-03	0.2472	1.552743	0.001111	11.106655	1.881518	0.044364
  15	7.0000e-03	0.2672	1.689868	0.000687	6.865932	1.163120	0.027425
  16	7.5000e-03	0.2869	1.826994	0.000687	6.865932	1.163120	0.027425
  17	8.0000e-03	0.3073	1.939920	0.000565	5.654297	0.957864	0.022585
  18	8.5000e-03	0.3284	2.081079	0.000707	7.067871	1.197330	0.028232
  19	9.0000e-03	0.3481	2.278701	0.000990	9.895020	1.676262	0.039524
  20	9.5000e-03	0.3676	2.456157	0.000889	8.885324	1.505215	0.035491
  21	1.0000e-02	0.3868	2.593282	0.000687	6.865932	1.163120	0.027425
  22	1.0500e-02	0.4073	2.770739	0.000889	8.885324	1.505215	0.035491
  23	1.1000e-02	0.4272	2.960294	0.000949	9.491142	1.607843	0.037911
  24	1.1500e-02	0.4473	3.040956	0.000404	4.038784	0.684188	0.016132
  25	1.2000e-02	0.4679	3.238578	0.000990	9.895020	1.676262	0.039524
