»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 17:43:59
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 05:43:24 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0010	-0.496071	0.000646	6.462054	1.094702	0.025812
   2	5.0000e-04	0.0101	-0.367012	0.000646	6.462054	1.094702	0.025812
   3	1.0000e-03	0.0285	-0.282317	0.000424	4.240723	0.718398	0.016939
   4	1.5000e-03	0.0475	-0.052430	0.001151	11.510534	1.949937	0.045977
   5	2.0000e-03	0.0675	0.120993	0.000868	8.683385	1.471005	0.034685
   6	2.5000e-03	0.0872	0.314582	0.000969	9.693081	1.642052	0.038718
   7	3.0000e-03	0.1073	0.520270	0.001030	10.298898	1.744681	0.041138
   8	3.5000e-03	0.1263	0.673527	0.000767	7.673689	1.299958	0.030652
   9	4.0000e-03	0.1475	0.863083	0.000949	9.491142	1.607843	0.037911
  10	4.5000e-03	0.1661	1.080870	0.001090	10.904716	1.847309	0.043557
  11	5.0000e-03	0.1871	1.242194	0.000808	8.077567	1.368377	0.032265
  12	5.5000e-03	0.2070	1.451915	0.001050	10.500838	1.778890	0.041944
  13	6.0000e-03	0.2269	1.617273	0.000828	8.279507	1.402586	0.033071
  14	6.5000e-03	0.2473	1.826994	0.001050	10.500838	1.778890	0.041944
  15	7.0000e-03	0.2678	1.996384	0.000848	8.481446	1.436796	0.033878
  16	7.5000e-03	0.2873	2.149642	0.000767	7.673689	1.299958	0.030652
  17	8.0000e-03	0.3078	2.367429	0.001090	10.904716	1.847309	0.043557
  18	8.5000e-03	0.3269	2.565051	0.000990	9.895020	1.676262	0.039524
  19	9.0000e-03	0.3471	2.746540	0.000909	9.087263	1.539424	0.036298
  20	9.5000e-03	0.3676	2.907864	0.000808	8.077567	1.368377	0.032265
  21	1.0000e-02	0.3873	3.077254	0.000848	8.481446	1.436796	0.033878
  22	1.0500e-02	0.4079	3.307141	0.001151	11.510534	1.949937	0.045977
  23	1.1000e-02	0.4269	3.537027	0.001151	11.510534	1.949937	0.045977
  24	1.1500e-02	0.4472	3.698351	0.000808	8.077567	1.368377	0.032265
  25	1.2000e-02	0.4671	3.908073	0.001050	10.500838	1.778890	0.041944
  26	1.2500e-02	0.4865	3.932271	0.000121	1.211635	0.205257	0.004840
  27	1.3000e-02	0.5076	4.363813	0.002161	21.607493	3.660408	0.086308
  28	1.3500e-02	0.5283	4.404144	0.000202	2.019392	0.342094	0.008066
  29	1.4000e-02	0.5475	4.678394	0.001373	13.731865	2.326241	0.054850
  30	1.4500e-02	0.5673	4.843751	0.000828	8.279507	1.402586	0.033071
  31	1.5000e-02	0.5878	5.013142	0.000848	8.481446	1.436796	0.033878
  32	1.5500e-02	0.6072	5.214796	0.001010	10.096959	1.710471	0.040331
  33	1.6000e-02	0.6280	5.412418	0.000990	9.895020	1.676262	0.039524
  34	1.6500e-02	0.6468	5.569709	0.000788	7.875628	1.334168	0.031458
  35	1.7000e-02	0.6686	5.819761	0.001252	12.520229	2.120984	0.050010
  36	1.7500e-02	0.6867	5.944787	0.000626	6.260115	1.060492	0.025005
  37	1.8000e-02	0.7077	6.081913	0.000687	6.865932	1.163120	0.027425
  38	1.8500e-02	0.7275	6.392461	0.001555	15.549317	2.634126	0.062110
  39	1.9000e-02	0.7475	6.541686	0.000747	7.471750	1.265749	0.029845
  40	1.9500e-02	0.7671	6.707043	0.000828	8.279507	1.402586	0.033071
  41	2.0000e-02	0.7877	6.936930	0.001151	11.510534	1.949937	0.045977
  42	2.0500e-02	0.8073	7.134551	0.000990	9.895020	1.676262	0.039524
  43	2.1000e-02	0.8270	7.303942	0.000848	8.481446	1.436796	0.033878
  44	2.1500e-02	0.8470	7.537861	0.001171	11.712473	1.984147	0.046784
  45	2.2000e-02	0.8675	7.658854	0.000606	6.058176	1.026283	0.024199
  46	2.2500e-02	0.8865	7.876642	0.001090	10.904716	1.847309	0.043557
  47	2.3000e-02	0.9076	8.058131	0.000909	9.087263	1.539424	0.036298
  48	2.3500e-02	0.9269	8.296084	0.001191	11.914412	2.018356	0.047591
  49	2.4000e-02	0.9474	8.425143	0.000646	6.462054	1.094702	0.025812
  50	2.4500e-02	0.9665	8.659063	0.001171	11.712473	1.984147	0.046784
  51	2.5000e-02	0.9866	8.852651	0.000969	9.693081	1.642052	0.038718
  52	2.5500e-02	1.0074	9.050273	0.000990	9.895020	1.676262	0.039524
  53	2.6000e-02	1.0279	9.255961	0.001030	10.298898	1.744681	0.041138
  54	2.6500e-02	1.0480	9.449550	0.000969	9.693081	1.642052	0.038718
  55	2.7000e-02	1.0674	9.510047	0.000303	3.029088	0.513141	0.012099
  56	2.7500e-02	1.0873	9.852860	0.001716	17.164831	2.907801	0.068563
  57	2.8000e-02	1.1078	10.058548	0.001030	10.298898	1.744681	0.041138
  58	2.8500e-02	1.1282	10.215839	0.000788	7.875628	1.334168	0.031458
  59	2.9000e-02	1.1477	10.413461	0.000990	9.895020	1.676262	0.039524
  60	2.9500e-02	1.1665	10.627215	0.001070	10.702777	1.813099	0.042751
  61	3.0000e-02	1.1877	10.784506	0.000788	7.875628	1.334168	0.031458
  62	3.0500e-02	1.2066	10.994227	0.001050	10.500838	1.778890	0.041944
  63	3.1000e-02	1.2280	11.167650	0.000868	8.683385	1.471005	0.034685
  64	3.1500e-02	1.2469	11.333007	0.000828	8.279507	1.402586	0.033071
  65	3.2000e-02	1.2677	11.562894	0.001151	11.510534	1.949937	0.045977
  66	3.2500e-02	1.2869	11.776648	0.001070	10.702777	1.813099	0.042751
  67	3.3000e-02	1.3066	11.966204	0.000949	9.491142	1.607843	0.037911
  68	3.3500e-02	1.3263	12.155759	0.000949	9.491142	1.607843	0.037911
  69	3.4000e-02	1.3479	12.357414	0.001010	10.096959	1.710471	0.040331
  70	3.4500e-02	1.3669	12.546970	0.000949	9.491142	1.607843	0.037911
  71	3.5000e-02	1.3869	12.744592	0.000990	9.895020	1.676262	0.039524
  72	3.5500e-02	1.4070	12.982544	0.001191	11.914412	2.018356	0.047591
  73	3.6000e-02	1.4267	13.115637	0.000666	6.663993	1.128911	0.026618
  74	3.6500e-02	1.4461	13.341490	0.001131	11.308594	1.915728	0.045171
  75	3.7000e-02	1.4667	13.539112	0.000990	9.895020	1.676262	0.039524
  76	3.7500e-02	1.4871	13.728668	0.000949	9.491142	1.607843	0.037911
  77	3.8000e-02	1.5073	13.914190	0.000929	9.289202	1.573633	0.037105
  78	3.8500e-02	1.5266	14.107779	0.000969	9.693081	1.642052	0.038718
  79	3.9000e-02	1.5469	14.349765	0.001212	12.116351	2.052565	0.048397
  80	3.9500e-02	1.5674	14.511089	0.000808	8.077567	1.368377	0.032265
  81	4.0000e-02	1.5871	14.732909	0.001111	11.106655	1.881518	0.044364
  82	4.0500e-02	1.6078	14.898266	0.000828	8.279507	1.402586	0.033071
  83	4.1000e-02	1.6271	15.120087	0.001111	11.106655	1.881518	0.044364
  84	4.1500e-02	1.6469	15.269311	0.000747	7.471750	1.265749	0.029845
  85	4.2000e-02	1.6668	15.491132	0.001111	11.106655	1.881518	0.044364
  86	4.2500e-02	1.6870	15.733118	0.001212	12.116351	2.052565	0.048397
  87	4.3000e-02	1.7068	15.890408	0.000788	7.875628	1.334168	0.031458
  88	4.3500e-02	1.7270	16.063832	0.000868	8.683385	1.471005	0.034685
  89	4.4000e-02	1.7459	16.277586	0.001070	10.702777	1.813099	0.042751
  90	4.4500e-02	1.7667	16.479241	0.001010	10.096959	1.710471	0.040331
  91	4.5000e-02	1.7879	16.684929	0.001030	10.298898	1.744681	0.041138
  92	4.5500e-02	1.8069	16.882551	0.000990	9.895020	1.676262	0.039524
  93	4.6000e-02	1.8270	17.088239	0.001030	10.298898	1.744681	0.041138
  94	4.6500e-02	1.8475	17.338291	0.001252	12.520229	2.120984	0.050010
  95	4.7000e-02	1.8675	17.439118	0.000505	5.048480	0.855236	0.020165
  96	4.7500e-02	1.8882	17.656906	0.001090	10.904716	1.847309	0.043557
  97	4.8000e-02	1.9071	17.898892	0.001212	12.116351	2.052565	0.048397
  98	4.8500e-02	1.9272	18.088447	0.000949	9.491142	1.607843	0.037911
  99	4.9000e-02	1.9478	18.273970	0.000929	9.289202	1.573633	0.037105
 100	4.9500e-02	1.9672	18.471592	0.000990	9.895020	1.676262	0.039524
 101	5.0000e-02	1.9880	18.693412	0.001111	11.106655	1.881518	0.044364
