»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/9/2025 - 14:19:12
Configured:	07/09/25 02:06:30 PM
Executed:	07/09/25 02:18:45 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-900
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0005	-12.770807	0.000808	8.076827	1.368252	0.032265
   2	5.0000e-04	0.0109	-12.609483	0.000808	8.076827	1.368252	0.032265
   3	1.0000e-03	0.0288	-12.500589	0.000545	5.451858	0.923570	0.021779
   4	1.5000e-03	0.0482	-12.327166	0.000868	8.682589	1.470870	0.034685
   5	2.0000e-03	0.0682	-12.101312	0.001131	11.307558	1.915552	0.045171
   6	2.5000e-03	0.0889	-11.899657	0.001010	10.096034	1.710314	0.040331
   7	3.0000e-03	0.1088	-11.710102	0.000949	9.490272	1.607696	0.037911
   8	3.5000e-03	0.1281	-11.536679	0.000868	8.682589	1.470870	0.034685
   9	4.0000e-03	0.1472	-11.330991	0.001030	10.297954	1.744521	0.041138
  10	4.5000e-03	0.1688	-11.242262	0.000444	4.442255	0.752538	0.017746
  11	5.0000e-03	0.1883	-10.988177	0.001272	12.721002	2.154996	0.050817
  12	5.5000e-03	0.2083	-10.794588	0.000969	9.692192	1.641902	0.038718
  13	6.0000e-03	0.2288	-10.580834	0.001070	10.701796	1.812933	0.042751
  14	6.5000e-03	0.2475	-10.391279	0.000949	9.490272	1.607696	0.037911
  15	7.0000e-03	0.2681	-10.185591	0.001030	10.297954	1.744521	0.041138
  16	7.5000e-03	0.2876	-10.016200	0.000848	8.480668	1.436664	0.033878
  17	8.0000e-03	0.3085	-9.794380	0.001111	11.105637	1.881346	0.044364
  18	8.5000e-03	0.3279	-9.604824	0.000949	9.490272	1.607696	0.037911
  19	9.0000e-03	0.3492	-9.451567	0.000767	7.672986	1.299839	0.030652
  20	9.5000e-03	0.3682	-9.197481	0.001272	12.721002	2.154996	0.050817
  21	1.0000e-02	0.3884	-9.036157	0.000808	8.076827	1.368252	0.032265
  22	1.0500e-02	0.4083	-8.826436	0.001050	10.499875	1.778727	0.041944
  23	1.1000e-02	0.4287	-8.640914	0.000929	9.288351	1.573489	0.037105
  24	1.1500e-02	0.4478	-8.382795	0.001292	12.922923	2.189202	0.051624
  25	1.2000e-02	0.4691	-8.205339	0.000888	8.884510	1.505077	0.035491
  26	1.2500e-02	0.4883	-8.076280	0.000646	6.461462	1.094601	0.025812
  27	1.3000e-02	0.5084	-7.806062	0.001353	13.528685	2.291821	0.054044
  28	1.3500e-02	0.5283	-7.648771	0.000787	7.874906	1.334045	0.031458
  29	1.4000e-02	0.5482	-7.439050	0.001050	10.499875	1.778727	0.041944
  30	1.4500e-02	0.5685	-7.233362	0.001030	10.297954	1.744521	0.041138
  31	1.5000e-02	0.5882	-7.063972	0.000848	8.480668	1.436664	0.033878
  32	1.5500e-02	0.6078	-6.886516	0.000888	8.884510	1.505077	0.035491
  33	1.6000e-02	0.6284	-6.624364	0.001312	13.124844	2.223409	0.052430
  34	1.6500e-02	0.6483	-6.450941	0.000868	8.682589	1.470870	0.034685
  35	1.7000e-02	0.6684	-6.309783	0.000707	7.067224	1.197220	0.028232
  36	1.7500e-02	0.6883	-6.087962	0.001111	11.105637	1.881346	0.044364
  37	1.8000e-02	0.7085	-5.882274	0.001030	10.297954	1.744521	0.041138
  38	1.8500e-02	0.7290	-5.583825	0.001494	14.942130	2.531265	0.059690
  39	1.9000e-02	0.7480	-5.499130	0.000424	4.240334	0.718332	0.016939
  40	1.9500e-02	0.7696	-5.305541	0.000969	9.692192	1.641902	0.038718
  41	2.0000e-02	0.7883	-5.111952	0.000969	9.692192	1.641902	0.038718
  42	2.0500e-02	0.8088	-4.902231	0.001050	10.499875	1.778727	0.041944
  43	2.1000e-02	0.8281	-4.668312	0.001171	11.711399	1.983965	0.046784
  44	2.1500e-02	0.8494	-4.494888	0.000868	8.682589	1.470870	0.034685
  45	2.2000e-02	0.8683	-4.305333	0.000949	9.490272	1.607696	0.037911
  46	2.2500e-02	0.8888	-4.079479	0.001131	11.307558	1.915552	0.045171
  47	2.3000e-02	0.9090	-3.873791	0.001030	10.297954	1.744521	0.041138
  48	2.3500e-02	0.9290	-3.704401	0.000848	8.480668	1.436664	0.033878
  49	2.4000e-02	0.9488	-3.454349	0.001252	12.519082	2.120790	0.050010
  50	2.4500e-02	0.9688	-3.268826	0.000929	9.288351	1.573489	0.037105
  51	2.5000e-02	0.9886	-3.083304	0.000929	9.288351	1.573489	0.037105
  52	2.5500e-02	1.0094	-2.849384	0.001171	11.711399	1.983965	0.046784
  53	2.6000e-02	1.0281	-2.623531	0.001131	11.307558	1.915552	0.045171
  54	2.6500e-02	1.0489	-2.510604	0.000565	5.653779	0.957776	0.022585
  55	2.7000e-02	1.0696	-2.288783	0.001111	11.105637	1.881346	0.044364
  56	2.7500e-02	1.0885	-2.038731	0.001252	12.519082	2.120790	0.050010
  57	2.8000e-02	1.1091	-1.893540	0.000727	7.269144	1.231426	0.029038
  58	2.8500e-02	1.1297	-1.635421	0.001292	12.922923	2.189202	0.051624
  59	2.9000e-02	1.1484	-1.478131	0.000787	7.874906	1.334045	0.031458
  60	2.9500e-02	1.1694	-1.280509	0.000989	9.894113	1.676108	0.039524
  61	3.0000e-02	1.1890	-1.058688	0.001111	11.105637	1.881346	0.044364
