»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/9/2025 - 15:19:56
Configured:	07/09/25 02:06:30 PM
Executed:	07/09/25 03:19:25 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-900
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0002	3.130799	0.000912	9.121090	1.545154	0.000183
   2	9.9500e-02	0.0186	3.312470	0.000912	9.121090	1.545154	0.000183
   3	1.9900e-01	0.0397	3.482030	0.000851	8.513017	1.442144	0.000170
   4	2.9850e-01	0.0585	3.683886	0.001013	10.134544	1.716838	0.000203
   5	3.9800e-01	0.0800	3.865557	0.000912	9.121090	1.545154	0.000183
   6	4.9750e-01	0.0990	3.990709	0.000628	6.283418	1.064440	0.000126
   7	5.9700e-01	0.1188	4.196603	0.001034	10.337235	1.751175	0.000207
   8	6.9650e-01	0.1381	4.362125	0.000831	8.310326	1.407807	0.000166
   9	7.9600e-01	0.1583	4.543796	0.000912	9.121090	1.545154	0.000183
  10	8.9550e-01	0.1778	4.713356	0.000851	8.513017	1.442144	0.000170
  11	9.9500e-01	0.1987	4.870804	0.000790	7.904945	1.339134	0.000158
  12	1.0945e+00	0.2172	5.068624	0.000993	9.931854	1.682502	0.000199
  13	1.1940e+00	0.2377	5.274518	0.001034	10.337235	1.751175	0.000207
  14	1.2935e+00	0.2580	5.436003	0.000811	8.107636	1.373471	0.000162
  15	1.3930e+00	0.2782	5.641897	0.001034	10.337235	1.751175	0.000207
  16	1.4925e+00	0.2977	5.803383	0.000811	8.107636	1.373471	0.000162
  17	1.5920e+00	0.3173	5.989091	0.000932	9.323781	1.579491	0.000187
  18	1.6915e+00	0.3387	6.138465	0.000750	7.499563	1.270460	0.000150
  19	1.7910e+00	0.3586	6.308025	0.000851	8.513017	1.442144	0.000170
  20	1.8905e+00	0.3782	6.505844	0.000993	9.931854	1.682502	0.000199
  21	1.9900e+00	0.3987	6.683478	0.000892	8.918399	1.510818	0.000179
  22	2.0895e+00	0.4180	6.881298	0.000993	9.931854	1.682502	0.000199
  23	2.1890e+00	0.4377	7.079118	0.000993	9.931854	1.682502	0.000199
  24	2.2885e+00	0.4579	7.228492	0.000750	7.499563	1.270460	0.000150
  25	2.3880e+00	0.4777	7.446497	0.001095	10.945308	1.854185	0.000219
  26	2.4875e+00	0.4977	7.620094	0.000872	8.715708	1.476481	0.000174
  27	2.5870e+00	0.5170	7.777542	0.000790	7.904945	1.339134	0.000158
  28	2.6865e+00	0.5384	7.979399	0.001013	10.134544	1.716838	0.000203
  29	2.7860e+00	0.5576	8.161070	0.000912	9.121090	1.545154	0.000183
  30	2.8855e+00	0.5782	8.346778	0.000932	9.323781	1.579491	0.000187
  31	2.9850e+00	0.5972	8.508264	0.000811	8.107636	1.373471	0.000162
  32	3.0845e+00	0.6174	8.746455	0.001196	11.958762	2.025869	0.000239
  33	3.1840e+00	0.6376	8.928126	0.000912	9.121090	1.545154	0.000183
  34	3.2835e+00	0.6573	9.125945	0.000993	9.931854	1.682502	0.000199
  35	3.3830e+00	0.6776	9.275319	0.000750	7.499563	1.270460	0.000150
  36	3.4825e+00	0.6966	9.509473	0.001176	11.756072	1.991532	0.000235
  37	3.5820e+00	0.7165	9.679033	0.000851	8.513017	1.442144	0.000170
  38	3.6815e+00	0.7358	9.872815	0.000973	9.729163	1.648165	0.000195
  39	3.7810e+00	0.7571	10.050449	0.000892	8.918399	1.510818	0.000179
  40	3.8805e+00	0.7771	10.244232	0.000973	9.729163	1.648165	0.000195
  41	3.9800e+00	0.7970	10.446089	0.001013	10.134544	1.716838	0.000203
  42	4.0795e+00	0.8160	10.619686	0.000872	8.715708	1.476481	0.000174
  43	4.1790e+00	0.8353	10.817505	0.000993	9.931854	1.682502	0.000199
  44	4.2785e+00	0.8557	10.999176	0.000912	9.121090	1.545154	0.000183
  45	4.3780e+00	0.8764	11.229293	0.001155	11.553381	1.957196	0.000231
  46	4.4775e+00	0.8956	11.398853	0.000851	8.513017	1.442144	0.000170
  47	4.5770e+00	0.9170	11.596672	0.000993	9.931854	1.682502	0.000199
  48	4.6765e+00	0.9353	11.774306	0.000892	8.918399	1.510818	0.000179
  49	4.7760e+00	0.9566	11.968089	0.000973	9.729163	1.648165	0.000195
