»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/2/2025 - 17:40:16
Configured:	07/02/25 01:35:59 PM
Executed:	07/02/25 05:38:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-220
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2931	5.878165	0.000465	4.647972	0.787388	1.816788
   2	1.0000e-04	0.6825	7.694953	0.000465	4.647972	0.787388	1.816788
   3	2.0000e-04	1.0375	11.394064	0.000946	9.463607	1.603178	3.699111
   4	3.0000e-04	1.4905	14.066454	0.000684	6.836897	1.158202	2.672390
   5	4.0000e-04	1.9054	15.500952	0.000367	3.669942	0.621705	1.434498
   6	5.0000e-04	2.2903	16.971858	0.000376	3.763088	0.637484	1.470907
   7	6.0000e-04	2.6767	18.930640	0.000501	5.011241	0.848927	1.958781
   8	7.0000e-04	3.0621	21.573902	0.000676	6.762381	1.145578	2.643263
   9	8.0000e-04	3.4775	24.002354	0.000621	6.212821	1.052480	2.428452
  10	9.0000e-04	3.8901	25.975699	0.000505	5.048499	0.855239	1.973345
  11	1.0000e-03	4.2764	28.506095	0.000647	6.473629	1.096662	2.530396
  12	1.1000e-03	4.6732	30.428468	0.000492	4.918095	0.833148	1.922373
  13	1.2000e-03	5.0748	32.671237	0.000574	5.737778	0.972006	2.242768
  14	1.3000e-03	5.4691	34.870315	0.000563	5.626003	0.953071	2.199078
  15	1.4000e-03	5.8859	36.956526	0.000534	5.337251	0.904155	2.086211
  16	1.5000e-03	6.2790	39.683528	0.000698	6.976616	1.181871	2.727002
  17	1.6000e-03	6.6714	41.423858	0.000445	4.452366	0.754251	1.740330
  18	1.7000e-03	7.0761	43.324386	0.000486	4.862208	0.823680	1.900528
  19	1.8000e-03	7.4777	45.246759	0.000492	4.918095	0.833148	1.922373
  20	1.9000e-03	7.8775	47.161850	0.000490	4.899466	0.829992	1.915091
  21	2.0000e-03	8.2822	49.903416	0.000701	7.013874	1.188182	2.741566
  22	2.1000e-03	8.6734	51.246893	0.000344	3.437078	0.582257	1.343476
  23	2.2000e-03	9.0829	52.965377	0.000440	4.396479	0.744784	1.718485
  24	2.3000e-03	9.4730	54.665658	0.000435	4.349906	0.736894	1.700281
  25	2.4000e-03	9.8727	56.304044	0.000419	4.191558	0.710069	1.638386
