»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 12:21:11
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 12:20:40 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0000	8.534505	0.000588	5.877273	0.995637	0.000118
   2	9.9500e-02	0.0205	8.651582	0.000588	5.877273	0.995637	0.000118
   3	1.9900e-01	0.0407	8.740399	0.000446	4.458621	0.755311	0.000089
   4	2.9850e-01	0.0594	8.853439	0.000567	5.674609	0.961305	0.000114
   5	3.9800e-01	0.0842	8.926107	0.000365	3.647963	0.617982	0.000073
   6	4.9750e-01	0.1001	9.047221	0.000608	6.079938	1.029969	0.000122
   7	5.9700e-01	0.1188	9.103741	0.000284	2.837304	0.480652	0.000057
   8	6.9650e-01	0.1397	9.212744	0.000547	5.471944	0.926972	0.000110
   9	7.9600e-01	0.1601	9.313672	0.000507	5.066615	0.858308	0.000101
  10	8.9550e-01	0.1799	9.390378	0.000385	3.850627	0.652314	0.000077
  11	9.9500e-01	0.1987	9.531677	0.000709	7.093261	1.201631	0.000142
  12	1.0945e+00	0.2197	9.616457	0.000426	4.255957	0.720979	0.000085
  13	1.1940e+00	0.2399	9.697200	0.000405	4.053292	0.686646	0.000081
  14	1.2935e+00	0.2584	9.810240	0.000567	5.674609	0.961305	0.000114
  15	1.3930e+00	0.2792	9.874834	0.000324	3.242634	0.549317	0.000065
  16	1.4925e+00	0.2993	9.971725	0.000486	4.863950	0.823976	0.000097
  17	1.5920e+00	0.3189	10.104951	0.000669	6.687932	1.132966	0.000134
  18	1.6915e+00	0.3388	10.205879	0.000507	5.066615	0.858308	0.000101
  19	1.7910e+00	0.3590	10.254325	0.000243	2.431975	0.411988	0.000049
  20	1.8905e+00	0.3785	10.399662	0.000730	7.295926	1.235963	0.000146
  21	1.9900e+00	0.3992	10.480404	0.000405	4.053292	0.686646	0.000081
  22	2.0895e+00	0.4178	10.589407	0.000547	5.471944	0.926972	0.000110
  23	2.1890e+00	0.4369	10.694373	0.000527	5.269280	0.892640	0.000105
  24	2.2885e+00	0.4586	10.742818	0.000243	2.431975	0.411988	0.000049
  25	2.3880e+00	0.4790	10.863932	0.000608	6.079938	1.029969	0.000122
  26	2.4875e+00	0.4977	10.972935	0.000547	5.471944	0.926972	0.000110
  27	2.5870e+00	0.5169	11.085975	0.000567	5.674609	0.961305	0.000114
  28	2.6865e+00	0.5384	11.170755	0.000426	4.255957	0.720979	0.000085
  29	2.7860e+00	0.5581	11.271683	0.000507	5.066615	0.858308	0.000101
  30	2.8855e+00	0.5786	11.372611	0.000507	5.066615	0.858308	0.000101
  31	2.9850e+00	0.5974	11.469503	0.000486	4.863950	0.823976	0.000097
  32	3.0845e+00	0.6174	11.558320	0.000446	4.458621	0.755311	0.000089
  33	3.1840e+00	0.6388	11.651174	0.000466	4.661286	0.789643	0.000093
  34	3.2835e+00	0.6582	11.772288	0.000608	6.079938	1.029969	0.000122
  35	3.3830e+00	0.6772	11.873216	0.000507	5.066615	0.858308	0.000101
  36	3.4825e+00	0.6985	11.978182	0.000527	5.269280	0.892640	0.000105
  37	3.5820e+00	0.7179	12.087184	0.000547	5.471944	0.926972	0.000110
  38	3.6815e+00	0.7375	12.180039	0.000466	4.661286	0.789643	0.000093
  39	3.7810e+00	0.7578	12.264818	0.000426	4.255957	0.720979	0.000085
  40	3.8805e+00	0.7773	12.377858	0.000567	5.674609	0.961305	0.000114
  41	3.9800e+00	0.7983	12.450527	0.000365	3.647963	0.617982	0.000073
  42	4.0795e+00	0.8175	12.587789	0.000689	6.890596	1.167299	0.000138
  43	4.1790e+00	0.8375	12.676606	0.000446	4.458621	0.755311	0.000089
  44	4.2785e+00	0.8570	12.793683	0.000588	5.877273	0.995637	0.000118
  45	4.3780e+00	0.8768	12.858277	0.000324	3.242634	0.549317	0.000065
  46	4.4775e+00	0.8965	12.959206	0.000507	5.066615	0.858308	0.000101
  47	4.5770e+00	0.9167	13.100505	0.000709	7.093261	1.201631	0.000142
  48	4.6765e+00	0.9362	13.169137	0.000345	3.445298	0.583649	0.000069
  49	4.7760e+00	0.9567	13.278139	0.000547	5.471944	0.926972	0.000110
  50	4.8755e+00	0.9766	13.375031	0.000486	4.863950	0.823976	0.000097
  51	4.9750e+00	0.9973	13.500182	0.000628	6.282603	1.064302	0.000126
  52	5.0745e+00	1.0167	13.568813	0.000345	3.445298	0.583649	0.000069
  53	5.1740e+00	1.0372	13.669742	0.000507	5.066615	0.858308	0.000101
  54	5.2735e+00	1.0570	13.774707	0.000527	5.269280	0.892640	0.000105
  55	5.3730e+00	1.0769	13.887747	0.000567	5.674609	0.961305	0.000114
  56	5.4725e+00	1.0963	14.020972	0.000669	6.687932	1.132966	0.000134
  57	5.5720e+00	1.1160	14.089604	0.000345	3.445298	0.583649	0.000069
  58	5.6715e+00	1.1356	14.206681	0.000588	5.877273	0.995637	0.000118
  59	5.7710e+00	1.1559	14.315683	0.000547	5.471944	0.926972	0.000110
  60	5.8705e+00	1.1761	14.436797	0.000608	6.079938	1.029969	0.000122
  61	5.9700e+00	1.1964	14.529652	0.000466	4.661286	0.789643	0.000093
  62	6.0695e+00	1.2164	14.634617	0.000527	5.269280	0.892640	0.000105
  63	6.1690e+00	1.2360	14.759768	0.000628	6.282603	1.064302	0.000126
  64	6.2685e+00	1.2565	14.852622	0.000466	4.661286	0.789643	0.000093
  65	6.3680e+00	1.2753	14.973736	0.000608	6.079938	1.029969	0.000122
  66	6.4675e+00	1.2952	15.070628	0.000486	4.863950	0.823976	0.000097
  67	6.5670e+00	1.3151	15.179630	0.000547	5.471944	0.926972	0.000110
  68	6.6665e+00	1.3348	15.268447	0.000446	4.458621	0.755311	0.000089
