»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 12:22:51
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 12:22:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0012	3.680202	0.000505	5.046870	0.854963	0.020165
   2	5.0000e-04	0.0118	3.781030	0.000505	5.046870	0.854963	0.020165
   3	1.0000e-03	0.0291	3.877824	0.000484	4.844995	0.820764	0.019359
   4	1.5000e-03	0.0478	4.002850	0.000626	6.258119	1.060154	0.025005
   5	2.0000e-03	0.0682	4.135943	0.000666	6.661868	1.128551	0.026618
   6	2.5000e-03	0.0885	4.244836	0.000545	5.450619	0.923360	0.021779
   7	3.0000e-03	0.1073	4.301300	0.000283	2.826247	0.478779	0.011293
   8	3.5000e-03	0.1284	4.470690	0.000848	8.478741	1.436338	0.033878
   9	4.0000e-03	0.1492	4.627981	0.000787	7.873117	1.333742	0.031458
  10	4.5000e-03	0.1689	4.781238	0.000767	7.671242	1.299544	0.030652
  11	5.0000e-03	0.1883	4.902231	0.000606	6.056244	1.025955	0.024199
  12	5.5000e-03	0.2083	5.047423	0.000727	7.267492	1.231147	0.029038
  13	6.0000e-03	0.2281	5.156317	0.000545	5.450619	0.923360	0.021779
  14	6.5000e-03	0.2486	5.281343	0.000626	6.258119	1.060154	0.025005
  15	7.0000e-03	0.2690	5.357971	0.000384	3.835621	0.649772	0.015326
  16	7.5000e-03	0.2882	5.567693	0.001050	10.497489	1.778323	0.041944
  17	8.0000e-03	0.3085	5.636255	0.000343	3.431871	0.581375	0.013713
  18	8.5000e-03	0.3291	5.789513	0.000767	7.671242	1.299544	0.030652
  19	9.0000e-03	0.3491	5.926638	0.000686	6.863743	1.162750	0.027425
  20	9.5000e-03	0.3678	6.031499	0.000525	5.248745	0.889161	0.020972
  21	1.0000e-02	0.3887	6.140393	0.000545	5.450619	0.923360	0.021779
  22	1.0500e-02	0.4082	6.257352	0.000585	5.854369	0.991757	0.023392
  23	1.1000e-02	0.4292	6.450941	0.000969	9.689990	1.641529	0.038718
  24	1.1500e-02	0.4476	6.575967	0.000626	6.258119	1.060154	0.025005
  25	1.2000e-02	0.4688	6.729225	0.000767	7.671242	1.299544	0.030652
