»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 14:17:58
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 02:17:31 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0037	1.618134	0.000735	7.354481	1.245883	0.029421
   2	5.0000e-04	0.0163	1.765237	0.000735	7.354481	1.245883	0.029421
   3	1.0000e-03	0.0353	1.876420	0.000556	5.558620	0.941656	0.022237
   4	1.5000e-03	0.0554	1.994872	0.000592	5.922068	1.003225	0.023690
   5	2.0000e-03	0.0750	2.090232	0.000477	4.767585	0.807651	0.019072
   6	2.5000e-03	0.0962	2.211250	0.000605	6.050344	1.024956	0.024204
   7	3.0000e-03	0.1146	2.299769	0.000443	4.425516	0.749703	0.017704
   8	3.5000e-03	0.1392	2.394702	0.000475	4.746206	0.804029	0.018987
   9	4.0000e-03	0.1555	2.492628	0.000490	4.895861	0.829381	0.019585
  10	4.5000e-03	0.1777	2.597396	0.000524	5.237930	0.887329	0.020954
  11	5.0000e-03	0.1964	2.721407	0.000620	6.199999	1.050308	0.024802
  12	5.5000e-03	0.2166	2.817623	0.000481	4.810344	0.814894	0.019243
  13	6.0000e-03	0.2368	2.901437	0.000419	4.190344	0.709863	0.016763
  14	6.5000e-03	0.2573	3.011337	0.000549	5.494482	0.930790	0.021980
  15	7.0000e-03	0.2776	3.118671	0.000537	5.366206	0.909060	0.021467
  16	7.5000e-03	0.2959	3.246959	0.000641	6.413792	1.086526	0.025658
  17	8.0000e-03	0.3159	3.351727	0.000524	5.237930	0.887329	0.020954
  18	8.5000e-03	0.3386	3.465903	0.000571	5.708275	0.967008	0.022835
  19	9.0000e-03	0.3570	3.556132	0.000451	4.511034	0.764190	0.018046
  20	9.5000e-03	0.3799	3.642512	0.000432	4.318620	0.731594	0.017276
  21	1.0000e-02	0.3989	3.756260	0.000569	5.686896	0.963386	0.022750
  22	1.0500e-02	0.4164	3.857608	0.000507	5.066896	0.858355	0.020269
  23	1.1000e-02	0.4362	3.973922	0.000582	5.815171	0.985117	0.023263
  24	1.1500e-02	0.4557	4.088098	0.000571	5.708275	0.967008	0.022835
  25	1.2000e-02	0.4765	4.176616	0.000443	4.425516	0.749703	0.017704
