»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 14:6:54
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 02:06:06 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0005	6.584568	0.000507	5.067224	0.858411	0.000101
   2	9.9500e-02	0.0191	6.685497	0.000507	5.067224	0.858411	0.000101
   3	1.9900e-01	0.0381	6.790462	0.000527	5.269913	0.892747	0.000105
   4	2.9850e-01	0.0587	6.935799	0.000730	7.296802	1.236112	0.000146
   5	3.9800e-01	0.0792	7.032690	0.000486	4.864535	0.824075	0.000097
   6	4.9750e-01	0.0991	7.081136	0.000243	2.432267	0.412037	0.000049
   7	5.9700e-01	0.1184	7.234547	0.000770	7.702180	1.304785	0.000154
   8	6.9650e-01	0.1382	7.343550	0.000547	5.472602	0.927084	0.000110
   9	7.9600e-01	0.1591	7.448515	0.000527	5.269913	0.892747	0.000105
  10	8.9550e-01	0.1778	7.517147	0.000345	3.445712	0.583719	0.000069
  11	9.9500e-01	0.1991	7.658446	0.000709	7.094113	1.201775	0.000142
  12	1.0945e+00	0.2183	7.771486	0.000568	5.675291	0.961420	0.000114
  13	1.1940e+00	0.2387	7.900675	0.000649	6.486047	1.098766	0.000130
  14	1.2935e+00	0.2583	7.969306	0.000345	3.445712	0.583719	0.000069
  15	1.3930e+00	0.2777	8.090420	0.000608	6.080669	1.030093	0.000122
  16	1.4925e+00	0.2975	8.207497	0.000588	5.877980	0.995757	0.000118
  17	1.5920e+00	0.3187	8.312462	0.000527	5.269913	0.892747	0.000105
  18	1.6915e+00	0.3381	8.441651	0.000649	6.486047	1.098766	0.000130
  19	1.7910e+00	0.3577	8.538542	0.000486	4.864535	0.824075	0.000097
  20	1.8905e+00	0.3790	8.671768	0.000669	6.688736	1.133102	0.000134
  21	1.9900e+00	0.3985	8.780770	0.000547	5.472602	0.927084	0.000110
  22	2.0895e+00	0.4176	8.833253	0.000263	2.634956	0.446374	0.000053
  23	2.1890e+00	0.4374	8.978590	0.000730	7.296802	1.236112	0.000146
  24	2.2885e+00	0.4573	9.087593	0.000547	5.472602	0.927084	0.000110
  25	2.3880e+00	0.4778	9.204669	0.000588	5.877980	0.995757	0.000118
  26	2.4875e+00	0.4970	9.337895	0.000669	6.688736	1.133102	0.000134
  27	2.5870e+00	0.5172	9.430749	0.000466	4.661846	0.789738	0.000093
  28	2.6865e+00	0.5378	9.499380	0.000345	3.445712	0.583719	0.000069
  29	2.7860e+00	0.5577	9.640680	0.000709	7.094113	1.201775	0.000142
  30	2.8855e+00	0.5776	9.765831	0.000628	6.283358	1.064430	0.000126
  31	2.9850e+00	0.5973	9.874834	0.000547	5.472602	0.927084	0.000110
  32	3.0845e+00	0.6167	9.971725	0.000486	4.864535	0.824075	0.000097
  33	3.1840e+00	0.6372	10.084765	0.000568	5.675291	0.961420	0.000114
  34	3.2835e+00	0.6563	10.222028	0.000689	6.891425	1.167439	0.000138
  35	3.3830e+00	0.6768	10.326993	0.000527	5.269913	0.892747	0.000105
  36	3.4825e+00	0.6961	10.440033	0.000568	5.675291	0.961420	0.000114
  37	3.5820e+00	0.7163	10.557110	0.000588	5.877980	0.995757	0.000118
  38	3.6815e+00	0.7358	10.654001	0.000486	4.864535	0.824075	0.000097
  39	3.7810e+00	0.7567	10.767041	0.000568	5.675291	0.961420	0.000114
