»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 13:35:57
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 01:34:42 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3084	-1.006697	0.000510	5.104276	0.864688	1.998831
   2	1.0000e-04	0.6857	0.992134	0.000510	5.104276	0.864688	1.998831
   3	2.0000e-04	1.0337	5.040767	0.001034	10.338716	1.751426	4.048634
   4	3.0000e-04	1.4816	8.503223	0.000884	8.841834	1.497847	3.462456
   5	4.0000e-04	1.9016	10.553026	0.000523	5.234440	0.886738	2.049803
   6	5.0000e-04	2.3022	12.180489	0.000416	4.155941	0.704035	1.627463
   7	6.0000e-04	2.6871	14.022763	0.000470	4.704488	0.796962	1.842274
   8	7.0000e-04	3.0597	16.848069	0.000721	7.214788	1.222218	2.825306
   9	8.0000e-04	3.4732	19.786241	0.000750	7.503007	1.271044	2.938172
  10	9.0000e-04	3.8855	22.262024	0.000632	6.322237	1.071016	2.475783
  11	1.0000e-03	4.2856	24.799702	0.000648	6.480292	1.097791	2.537678
  12	1.1000e-03	4.6893	26.678385	0.000480	4.797462	0.812712	1.878683
  13	1.2000e-03	5.0803	28.990329	0.000590	5.903853	1.000140	2.311945
  14	1.3000e-03	5.4706	31.335042	0.000599	5.987530	1.014315	2.344712
  15	1.4000e-03	5.8893	33.577810	0.000573	5.727203	0.970214	2.242768
  16	1.5000e-03	6.2872	36.199228	0.000669	6.694133	1.134017	2.621418
  17	1.6000e-03	6.6849	37.994170	0.000458	4.583621	0.776486	1.794943
  18	1.7000e-03	7.0880	39.872853	0.000480	4.797462	0.812712	1.878683
  19	1.8000e-03	7.4915	41.875325	0.000511	5.113574	0.866263	2.002472
  20	1.9000e-03	7.8876	43.775853	0.000485	4.853246	0.822162	1.900528
  21	2.0000e-03	8.2938	46.200664	0.000619	6.192073	1.048966	2.424811
  22	2.1000e-03	8.6871	47.689775	0.000380	3.802639	0.644185	1.489111
  23	2.2000e-03	9.0939	49.357287	0.000426	4.258212	0.721361	1.667513
  24	2.3000e-03	9.4861	51.039364	0.000430	4.295402	0.727661	1.682076
  25	2.4000e-03	9.8865	52.637700	0.000408	4.081562	0.691435	1.598337
