»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 14:0:29
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 02:00:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0001	-1.123218	0.000586	5.855230	0.991903	0.023392
   2	5.0000e-04	0.0119	-1.006258	0.000586	5.855230	0.991903	0.023392
   3	1.0000e-03	0.0288	-0.877199	0.000646	6.460943	1.094513	0.025812
   4	1.5000e-03	0.0484	-0.820736	0.000283	2.826663	0.478850	0.011293
   5	2.0000e-03	0.0682	-0.699743	0.000606	6.057134	1.026106	0.024199
   6	2.5000e-03	0.0878	-0.546485	0.000767	7.672370	1.299735	0.030652
   7	3.0000e-03	0.1078	-0.445657	0.000505	5.047612	0.855089	0.020165
   8	3.5000e-03	0.1269	-0.385161	0.000303	3.028567	0.513053	0.012099
   9	4.0000e-03	0.1479	-0.159307	0.001131	11.306651	1.915398	0.045171
  10	4.5000e-03	0.1671	-0.082679	0.000384	3.836185	0.649867	0.015326
  11	5.0000e-03	0.1881	0.094778	0.000888	8.883797	1.504956	0.035491
  12	5.5000e-03	0.2080	0.223837	0.000646	6.460943	1.094513	0.025812
  13	6.0000e-03	0.2254	0.360962	0.000686	6.864752	1.162921	0.027425
  14	6.5000e-03	0.2483	0.461790	0.000505	5.047612	0.855089	0.020165
  15	7.0000e-03	0.2675	0.562617	0.000505	5.047612	0.855089	0.020165
  16	7.5000e-03	0.2877	0.679577	0.000586	5.855230	0.991903	0.023392
  17	8.0000e-03	0.3075	0.840901	0.000808	8.076179	1.368142	0.032265
  18	8.5000e-03	0.3279	1.002225	0.000808	8.076179	1.368142	0.032265
  19	9.0000e-03	0.3474	1.115152	0.000565	5.653325	0.957699	0.022585
  20	9.5000e-03	0.3683	1.264376	0.000747	7.470466	1.265531	0.029845
  21	1.0000e-02	0.3875	1.316807	0.000262	2.624758	0.444646	0.010486
  22	1.0500e-02	0.4084	1.482164	0.000828	8.278084	1.402345	0.033071
  23	1.1000e-02	0.4282	1.619289	0.000686	6.864752	1.162921	0.027425
  24	1.1500e-02	0.4481	1.716083	0.000485	4.845707	0.820885	0.019359
  25	1.2000e-02	0.4679	1.845143	0.000646	6.460943	1.094513	0.025812
  26	1.2500e-02	0.4876	2.038731	0.000969	9.691415	1.641770	0.038718
  27	1.3000e-02	0.5080	2.167790	0.000646	6.460943	1.094513	0.025812
  28	1.3500e-02	0.5283	2.252486	0.000424	4.239994	0.718274	0.016939
  29	1.4000e-02	0.5480	2.401710	0.000747	7.470466	1.265531	0.029845
  30	1.4500e-02	0.5682	2.538836	0.000686	6.864752	1.162921	0.027425
  31	1.5000e-02	0.5887	2.651762	0.000565	5.653325	0.957699	0.022585
  32	1.5500e-02	0.6094	2.768722	0.000586	5.855230	0.991903	0.023392
  33	1.6000e-02	0.6278	2.950212	0.000909	9.085701	1.539159	0.036298
  34	1.6500e-02	0.6485	3.079271	0.000646	6.460943	1.094513	0.025812
  35	1.7000e-02	0.6688	3.216396	0.000686	6.864752	1.162921	0.027425
  36	1.7500e-02	0.6892	3.329323	0.000565	5.653325	0.957699	0.022585
  37	1.8000e-02	0.7079	3.434183	0.000525	5.249516	0.889292	0.020972
  38	1.8500e-02	0.7276	3.567276	0.000666	6.662848	1.128717	0.026618
  39	1.9000e-02	0.7480	3.684236	0.000586	5.855230	0.991903	0.023392
  40	1.9500e-02	0.7678	3.805229	0.000606	6.057134	1.026106	0.024199
  41	2.0000e-02	0.7883	3.950420	0.000727	7.268561	1.231328	0.029038
  42	2.0500e-02	0.8085	4.103678	0.000767	7.672370	1.299735	0.030652
  43	2.1000e-02	0.8290	4.220638	0.000586	5.855230	0.991903	0.023392
  44	2.1500e-02	0.8473	4.377929	0.000787	7.874275	1.333938	0.031458
  45	2.2000e-02	0.8682	4.494888	0.000586	5.855230	0.991903	0.023392
  46	2.2500e-02	0.8883	4.627981	0.000666	6.662848	1.128717	0.026618
  47	2.3000e-02	0.9084	4.744941	0.000586	5.855230	0.991903	0.023392
  48	2.3500e-02	0.9280	4.906264	0.000808	8.076179	1.368142	0.032265
  49	2.4000e-02	0.9489	5.019191	0.000565	5.653325	0.957699	0.022585
  50	2.4500e-02	0.9677	5.196648	0.000888	8.883797	1.504956	0.035491
  51	2.5000e-02	0.9879	5.289409	0.000464	4.643803	0.786682	0.018552
  52	2.5500e-02	1.0089	5.426534	0.000686	6.864752	1.162921	0.027425
  53	2.6000e-02	1.0278	5.579792	0.000767	7.672370	1.299735	0.030652
  54	2.6500e-02	1.0480	5.745149	0.000828	8.278084	1.402345	0.033071
  55	2.7000e-02	1.0687	5.817745	0.000363	3.634281	0.615664	0.014519
  56	2.7500e-02	1.0876	5.938738	0.000606	6.057134	1.026106	0.024199
  57	2.8000e-02	1.1090	6.096029	0.000787	7.874275	1.333938	0.031458
  58	2.8500e-02	1.1281	6.160558	0.000323	3.230472	0.547257	0.012906
  59	2.9000e-02	1.1493	6.350114	0.000949	9.489510	1.607567	0.037911
  60	2.9500e-02	1.1691	6.499338	0.000747	7.470466	1.265531	0.029845
  61	3.0000e-02	1.1887	6.604199	0.000525	5.249516	0.889292	0.020972
  62	3.0500e-02	1.2085	6.793755	0.000949	9.489510	1.607567	0.037911
  63	3.1000e-02	1.2286	6.918781	0.000626	6.259039	1.060310	0.025005
  64	3.1500e-02	1.2490	7.104303	0.000929	9.287606	1.573363	0.037105
  65	3.2000e-02	1.2701	7.245462	0.000707	7.066657	1.197124	0.028232
  66	3.2500e-02	1.2885	7.338223	0.000464	4.643803	0.786682	0.018552
  67	3.3000e-02	1.3080	7.495514	0.000787	7.874275	1.333938	0.031458
  68	3.3500e-02	1.3285	7.596341	0.000505	5.047612	0.855089	0.020165
  69	3.4000e-02	1.3480	7.749599	0.000767	7.672370	1.299735	0.030652
  70	3.4500e-02	1.3692	7.854460	0.000525	5.249516	0.889292	0.020972
  71	3.5000e-02	1.3867	7.975452	0.000606	6.057134	1.026106	0.024199
  72	3.5500e-02	1.4085	8.108545	0.000666	6.662848	1.128717	0.026618
  73	3.6000e-02	1.4282	8.286001	0.000888	8.883797	1.504956	0.035491
  74	3.6500e-02	1.4474	8.423126	0.000686	6.864752	1.162921	0.027425
  75	3.7000e-02	1.4682	8.548152	0.000626	6.259039	1.060310	0.025005
  76	3.7500e-02	1.4884	8.689311	0.000707	7.066657	1.197124	0.028232
  77	3.8000e-02	1.5079	8.854668	0.000828	8.278084	1.402345	0.033071
  78	3.8500e-02	1.5281	8.955495	0.000505	5.047612	0.855089	0.020165
  79	3.9000e-02	1.5488	9.136985	0.000909	9.085701	1.539159	0.036298
  80	3.9500e-02	1.5677	9.189415	0.000262	2.624758	0.444646	0.010486
  81	4.0000e-02	1.5881	9.362838	0.000868	8.681892	1.470752	0.034685
  82	4.0500e-02	1.6087	9.544328	0.000909	9.085701	1.539159	0.036298
  83	4.1000e-02	1.6273	9.629023	0.000424	4.239994	0.718274	0.016939
  84	4.1500e-02	1.6480	9.822612	0.000969	9.691415	1.641770	0.038718
  85	4.2000e-02	1.6687	9.919406	0.000485	4.845707	0.820885	0.019359
  86	4.2500e-02	1.6882	10.084763	0.000828	8.278084	1.402345	0.033071
  87	4.3000e-02	1.7090	10.205756	0.000606	6.057134	1.026106	0.024199
  88	4.3500e-02	1.7282	10.286418	0.000404	4.038090	0.684071	0.016132
  89	4.4000e-02	1.7477	10.463874	0.000888	8.883797	1.504956	0.035491
  90	4.4500e-02	1.7682	10.629231	0.000828	8.278084	1.402345	0.033071
  91	4.5000e-02	1.7890	10.746191	0.000586	5.855230	0.991903	0.023392
  92	4.5500e-02	1.8079	10.867184	0.000606	6.057134	1.026106	0.024199
  93	4.6000e-02	1.8280	11.028508	0.000808	8.076179	1.368142	0.032265
  94	4.6500e-02	1.8489	11.153534	0.000626	6.259039	1.060310	0.025005
