»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 14:43:55
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 02:42:37 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2988	-0.617125	0.000466	4.664881	0.790252	1.824070
   2	1.0000e-04	0.6876	1.206944	0.000466	4.664881	0.790252	1.824070
   3	2.0000e-04	1.0301	4.997077	0.000969	9.692896	1.642021	3.790133
   4	3.0000e-04	1.4644	8.565118	0.000912	9.124916	1.545803	3.568041
   5	4.0000e-04	1.8814	11.201099	0.000674	6.741265	1.142001	2.635981
   6	5.0000e-04	2.2791	13.494839	0.000587	5.866018	0.993730	2.293740
   7	6.0000e-04	2.6804	15.460902	0.000503	5.028015	0.851769	1.966063
   8	7.0000e-04	3.0579	18.024066	0.000656	6.555042	1.110454	2.563164
   9	8.0000e-04	3.4647	20.860294	0.000725	7.253377	1.228755	2.836228
  10	9.0000e-04	3.8681	23.620064	0.000706	7.057843	1.195631	2.759770
  11	1.0000e-03	4.2661	26.882273	0.000834	8.342781	1.413305	3.262208
  12	1.1000e-03	4.6738	29.008534	0.000544	5.437705	0.921172	2.126261
  13	1.2000e-03	5.0732	31.331401	0.000594	5.940507	1.006349	2.322867
  14	1.3000e-03	5.4617	33.745290	0.000617	6.173285	1.045783	2.413889
  15	1.4000e-03	5.8762	36.133692	0.000611	6.108107	1.034741	2.388403
  16	1.5000e-03	6.2711	39.450514	0.000848	8.482448	1.436966	3.316821
  17	1.6000e-03	6.6660	41.376527	0.000493	4.925593	0.834418	1.926014
  18	1.7000e-03	7.0755	43.277055	0.000486	4.860415	0.823377	1.900528
  19	1.8000e-03	7.4796	45.359626	0.000533	5.325972	0.902244	2.082571
  20	1.9000e-03	7.8720	47.438555	0.000532	5.316660	0.900667	2.078930
  21	2.0000e-03	8.2773	50.624306	0.000815	8.147247	1.380181	3.185750
  22	2.1000e-03	8.6722	52.073367	0.000371	3.705833	0.627785	1.449061
  23	2.2000e-03	9.0820	53.719035	0.000421	4.208635	0.712962	1.645668
  24	2.3000e-03	9.4702	55.561309	0.000471	4.711436	0.798139	1.842274
  25	2.4000e-03	9.8703	57.316202	0.000449	4.487969	0.760283	1.754893
  26	2.5000e-03	9.6896	60.177916	-0.000732	-7.318555	-1.239797	2.861714
  27	2.6000e-03	9.3259	58.073501	0.000538	5.381838	0.911708	-2.104416
  28	2.7000e-03	8.9542	54.188706	0.000993	9.934985	1.683032	-3.884795
  29	2.8000e-03	8.5129	51.760253	0.000621	6.210530	1.052092	-2.428452
  30	2.9000e-03	8.0930	50.875525	0.000226	2.262607	0.383296	-0.884728
  31	3.0000e-03	7.7054	50.791785	0.000021	0.214156	0.036279	-0.083740
  32	3.1000e-03	7.3050	47.915508	0.000736	7.355800	1.246106	-2.876278
  33	3.2000e-03	6.9144	45.199428	0.000695	6.946110	1.176703	-2.716080
  34	3.3000e-03	6.5048	43.109576	0.000534	5.344594	0.905399	-2.089852
  35	3.4000e-03	6.1050	41.361964	0.000447	4.469347	0.757128	-1.747612
  36	3.5000e-03	5.7248	40.378932	0.000251	2.514008	0.425884	-0.983032
  37	3.6000e-03	5.3195	37.630085	0.000703	7.029910	1.190899	-2.748848
  38	3.7000e-03	4.9210	35.041435	0.000662	6.620220	1.121496	-2.588650
  39	3.8000e-03	4.5169	32.587497	0.000628	6.275708	1.063134	-2.453938
  40	3.9000e-03	4.1211	30.250066	0.000598	5.977751	1.012658	-2.337431
  41	4.0000e-03	3.7125	28.731829	0.000388	3.882745	0.657755	-1.518238
  42	4.1000e-03	3.3304	25.808220	0.000748	7.476845	1.266612	-2.923609
  43	4.2000e-03	2.9160	23.081217	0.000697	6.974043	1.181435	-2.727002
  44	4.3000e-03	2.5214	20.394264	0.000687	6.871621	1.164084	-2.686953
  45	4.4000e-03	2.1323	17.692748	0.000691	6.908865	1.170393	-2.701516
  46	4.5000e-03	1.7313	15.672072	0.000517	5.167682	0.875429	-2.020676
  47	4.6000e-03	1.3230	12.653801	0.000772	7.718934	1.307623	-3.018271
  48	4.7000e-03	0.9388	9.733833	0.000747	7.467534	1.265034	-2.919968
  49	4.8000e-03	0.5288	6.886682	0.000728	7.281311	1.233487	-2.847151
  50	4.9000e-03	0.1342	4.046813	0.000726	7.262688	1.230333	-2.839869
  51	5.0000e-03	-0.2760	1.443600	0.000666	6.657464	1.127805	-2.603213
  52	5.1000e-03	-0.6641	-1.516417	0.000757	7.569956	1.282385	-2.960017
  53	5.2000e-03	-1.0676	-4.323519	0.000718	7.178888	1.216137	-2.807101
  54	5.3000e-03	-1.4771	-7.130620	0.000718	7.178888	1.216137	-2.807101
  55	5.4000e-03	-1.8656	-9.959566	0.000723	7.234755	1.225601	-2.828946
  56	5.5000e-03	-2.2657	-12.843126	0.000737	7.374422	1.249261	-2.883559
  57	5.6000e-03	-2.6739	-15.522797	0.000685	6.852998	1.160929	-2.679671
  58	5.7000e-03	-3.0674	-18.151496	0.000672	6.722642	1.138846	-2.628699
  59	5.8000e-03	-3.4757	-20.736505	0.000661	6.610909	1.119918	-2.585009
  60	5.9000e-03	-3.8767	-23.292387	0.000654	6.536420	1.107299	-2.555882
  61	6.0000e-03	-4.2692	-26.121334	0.000723	7.234755	1.225601	-2.828946
  62	6.1000e-03	-4.6738	-28.407792	0.000585	5.847395	0.990576	-2.286459
  63	6.2000e-03	-5.0785	-30.708814	0.000588	5.884640	0.996885	-2.301022
  64	6.3000e-03	-5.4700	-33.053527	0.000600	5.996374	1.015813	-2.344712
  65	6.4000e-03	-5.8817	-35.259886	0.000564	5.642550	0.955874	-2.206360
  66	6.5000e-03	-6.2791	-37.786642	0.000646	6.461931	1.094681	-2.526755
  67	6.6000e-03	-6.6752	-39.785472	0.000511	5.111815	0.865965	-1.998831
