»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 13:20:15
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 01:19:21 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0002	-8.449725	0.000486	4.864312	0.824037	0.000097
   2	9.9500e-02	0.0188	-8.352834	0.000486	4.864312	0.824037	0.000097
   3	1.9900e-01	0.0379	-8.239794	0.000568	5.675031	0.961376	0.000114
   4	2.9850e-01	0.0596	-8.114643	0.000628	6.283070	1.064381	0.000126
   5	3.9800e-01	0.0784	-7.949120	0.000831	8.309867	1.407730	0.000166
   6	4.9750e-01	0.0990	-7.815895	0.000669	6.688429	1.133051	0.000134
   7	5.9700e-01	0.1189	-7.670558	0.000730	7.296468	1.236055	0.000146
   8	6.9650e-01	0.1385	-7.513110	0.000790	7.904507	1.339060	0.000158
   9	7.9600e-01	0.1583	-7.375847	0.000689	6.891109	1.167385	0.000138
  10	8.9550e-01	0.1784	-7.226473	0.000750	7.499148	1.270390	0.000150
  11	9.9500e-01	0.1981	-7.085173	0.000709	7.093789	1.201720	0.000142
  12	1.0945e+00	0.2186	-6.927725	0.000790	7.904507	1.339060	0.000158
  13	1.1940e+00	0.2382	-6.794499	0.000669	6.688429	1.133051	0.000134
  14	1.2935e+00	0.2584	-6.580531	0.001074	10.742023	1.819748	0.000215
  15	1.3930e+00	0.2782	-6.471529	0.000547	5.472351	0.927041	0.000110
  16	1.4925e+00	0.2978	-6.293895	0.000892	8.917906	1.510734	0.000179
  17	1.5920e+00	0.3184	-6.192966	0.000507	5.066992	0.858372	0.000101
  18	1.6915e+00	0.3377	-6.031481	0.000811	8.107187	1.373395	0.000162
  19	1.7910e+00	0.3574	-5.825587	0.001034	10.336664	1.751078	0.000207
  20	1.8905e+00	0.3777	-5.672176	0.000770	7.701828	1.304725	0.000154
  21	1.9900e+00	0.3983	-5.518765	0.000770	7.701828	1.304725	0.000154
  22	2.0895e+00	0.4173	-5.393613	0.000628	6.283070	1.064381	0.000126
  23	2.1890e+00	0.4370	-5.211942	0.000912	9.120585	1.545069	0.000183
  24	2.2885e+00	0.4574	-5.010085	0.001013	10.133984	1.716743	0.000203
