»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 14:30:30
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 02:30:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0005	9.582142	0.000750	7.499391	1.270431	0.000150
   2	9.9500e-02	0.0185	9.731516	0.000750	7.499391	1.270431	0.000150
   3	1.9900e-01	0.0393	9.836481	0.000527	5.269842	0.892735	0.000105
   4	2.9850e-01	0.0583	10.002004	0.000831	8.310136	1.407775	0.000166
   5	3.9800e-01	0.0781	10.106969	0.000527	5.269842	0.892735	0.000105
   6	4.9750e-01	0.0986	10.244232	0.000689	6.891332	1.167423	0.000138
   7	5.9700e-01	0.1183	10.389569	0.000730	7.296705	1.236095	0.000146
   8	6.9650e-01	0.1385	10.482423	0.000466	4.661784	0.789728	0.000093
   9	7.9600e-01	0.1595	10.599500	0.000588	5.877901	0.995743	0.000118
  10	8.9550e-01	0.1780	10.736762	0.000689	6.891332	1.167423	0.000138
  11	9.9500e-01	0.1981	10.857877	0.000608	6.080587	1.030079	0.000122
  12	1.0945e+00	0.2187	10.983028	0.000628	6.283274	1.064415	0.000126
  13	1.1940e+00	0.2381	11.112216	0.000649	6.485960	1.098751	0.000130
  14	1.2935e+00	0.2584	11.221219	0.000547	5.472529	0.927071	0.000110
  15	1.3930e+00	0.2782	11.346370	0.000628	6.283274	1.064415	0.000126
  16	1.4925e+00	0.2969	11.503818	0.000790	7.904764	1.339103	0.000158
  17	1.5920e+00	0.3182	11.624932	0.000608	6.080587	1.030079	0.000122
  18	1.6915e+00	0.3383	11.721824	0.000486	4.864470	0.824064	0.000097
  19	1.7910e+00	0.3574	11.875235	0.000770	7.702077	1.304767	0.000154
  20	1.8905e+00	0.3776	11.992312	0.000588	5.877901	0.995743	0.000118
  21	1.9900e+00	0.3976	12.129574	0.000689	6.891332	1.167423	0.000138
  22	2.0895e+00	0.4178	12.250688	0.000608	6.080587	1.030079	0.000122
  23	2.1890e+00	0.4360	12.367765	0.000588	5.877901	0.995743	0.000118
  24	2.2885e+00	0.4579	12.500991	0.000669	6.688646	1.133087	0.000134
  25	2.3880e+00	0.4774	12.609993	0.000547	5.472529	0.927071	0.000110
  26	2.4875e+00	0.4971	12.759368	0.000750	7.499391	1.270431	0.000150
  27	2.5870e+00	0.5171	12.840110	0.000405	4.053725	0.686720	0.000081
  28	2.6865e+00	0.5371	12.985447	0.000730	7.296705	1.236095	0.000146
  29	2.7860e+00	0.5576	13.134821	0.000750	7.499391	1.270431	0.000150
  30	2.8855e+00	0.5775	13.251898	0.000588	5.877901	0.995743	0.000118
  31	2.9850e+00	0.5966	13.401272	0.000750	7.499391	1.270431	0.000150
  32	3.0845e+00	0.6173	13.554683	0.000770	7.702077	1.304767	0.000154
  33	3.1840e+00	0.6372	13.679834	0.000628	6.283274	1.064415	0.000126
  34	3.2835e+00	0.6564	13.813060	0.000669	6.688646	1.133087	0.000134
  35	3.3830e+00	0.6777	13.926100	0.000568	5.675215	0.961407	0.000114
  36	3.4825e+00	0.6963	14.063362	0.000689	6.891332	1.167423	0.000138
  37	3.5820e+00	0.7159	14.164291	0.000507	5.067156	0.858400	0.000101
  38	3.6815e+00	0.7358	14.345962	0.000912	9.120881	1.545119	0.000183
  39	3.7810e+00	0.7563	14.414593	0.000345	3.445666	0.583712	0.000069
  40	3.8805e+00	0.7761	14.568004	0.000770	7.702077	1.304767	0.000154
  41	3.9800e+00	0.7957	14.701230	0.000669	6.688646	1.133087	0.000134
  42	4.0795e+00	0.8159	14.862715	0.000811	8.107450	1.373439	0.000162
  43	4.1790e+00	0.8356	14.987866	0.000628	6.283274	1.064415	0.000126
  44	4.2785e+00	0.8562	15.113018	0.000628	6.283274	1.064415	0.000126
  45	4.3780e+00	0.8751	15.234132	0.000608	6.080587	1.030079	0.000122
  46	4.4775e+00	0.8951	15.351209	0.000588	5.877901	0.995743	0.000118
  47	4.5770e+00	0.9159	15.484434	0.000669	6.688646	1.133087	0.000134
  48	4.6765e+00	0.9361	15.625734	0.000709	7.094019	1.201759	0.000142
  49	4.7760e+00	0.9556	15.771071	0.000730	7.296705	1.236095	0.000146
  50	4.8755e+00	0.9756	15.896222	0.000628	6.283274	1.064415	0.000126
  51	4.9750e+00	0.9946	16.053670	0.000790	7.904764	1.339103	0.000158
  52	5.0745e+00	1.0155	16.178821	0.000628	6.283274	1.064415	0.000126
  53	5.1740e+00	1.0350	16.316084	0.000689	6.891332	1.167423	0.000138
  54	5.2735e+00	1.0546	16.429124	0.000568	5.675215	0.961407	0.000114
  55	5.3730e+00	1.0757	16.562349	0.000669	6.688646	1.133087	0.000134
  56	5.4725e+00	1.0954	16.707686	0.000730	7.296705	1.236095	0.000146
  57	5.5720e+00	1.1151	16.836875	0.000649	6.485960	1.098751	0.000130
  58	5.6715e+00	1.1356	16.949914	0.000568	5.675215	0.961407	0.000114
  59	5.7710e+00	1.1549	17.135623	0.000932	9.323567	1.579455	0.000187
  60	5.8705e+00	1.1747	17.224440	0.000446	4.459097	0.755392	0.000089
  61	5.9700e+00	1.1949	17.373814	0.000750	7.499391	1.270431	0.000150
  62	6.0695e+00	1.2160	17.519151	0.000730	7.296705	1.236095	0.000146
  63	6.1690e+00	1.2346	17.660450	0.000709	7.094019	1.201759	0.000142
  64	6.2685e+00	1.2549	17.765416	0.000527	5.269842	0.892735	0.000105
  65	6.3680e+00	1.2741	17.886530	0.000608	6.080587	1.030079	0.000122
  66	6.4675e+00	1.2939	18.072238	0.000932	9.323567	1.579455	0.000187
  67	6.5670e+00	1.3137	18.193352	0.000608	6.080587	1.030079	0.000122
  68	6.6665e+00	1.3335	18.346763	0.000770	7.702077	1.304767	0.000154
  69	6.7660e+00	1.3529	18.463840	0.000588	5.877901	0.995743	0.000118
  70	6.8655e+00	1.3732	18.625326	0.000811	8.107450	1.373439	0.000162
  71	6.9650e+00	1.3937	18.722217	0.000486	4.864470	0.824064	0.000097
  72	7.0645e+00	1.4121	18.903888	0.000912	9.120881	1.545119	0.000183
  73	7.1640e+00	1.4336	19.069411	0.000831	8.310136	1.407775	0.000166
  74	7.2635e+00	1.4540	19.166302	0.000486	4.864470	0.824064	0.000097
  75	7.3630e+00	1.4732	19.352010	0.000932	9.323567	1.579455	0.000187
  76	7.4625e+00	1.4927	19.444864	0.000466	4.661784	0.789728	0.000093
  77	7.5620e+00	1.5133	19.610387	0.000831	8.310136	1.407775	0.000166
  78	7.6615e+00	1.5322	19.783984	0.000872	8.715509	1.476447	0.000174
  79	7.7610e+00	1.5526	19.888949	0.000527	5.269842	0.892735	0.000105
  80	7.8605e+00	1.5737	20.030249	0.000709	7.094019	1.201759	0.000142
  81	7.9600e+00	1.5931	20.199809	0.000851	8.512822	1.442111	0.000170
  82	8.0595e+00	1.6129	20.333034	0.000669	6.688646	1.133087	0.000134
  83	8.1590e+00	1.6326	20.454148	0.000608	6.080587	1.030079	0.000122
  84	8.2585e+00	1.6521	20.635819	0.000912	9.120881	1.545119	0.000183
  85	8.3580e+00	1.6733	20.801342	0.000831	8.310136	1.407775	0.000166
  86	8.4575e+00	1.6923	20.902270	0.000507	5.067156	0.858400	0.000101
  87	8.5570e+00	1.7126	21.075867	0.000872	8.715509	1.476447	0.000174
  88	8.6565e+00	1.7327	21.229278	0.000770	7.702077	1.304767	0.000154
