»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 14:53:41
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 02:52:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3004	1.252455	0.000487	4.872597	0.825440	1.904169
   2	1.0000e-04	0.6825	3.156624	0.000487	4.872597	0.825440	1.904169
   3	2.0000e-04	1.0210	7.227103	0.001042	10.415991	1.764517	4.070479
   4	3.0000e-04	1.4483	11.355835	0.001057	10.565057	1.789769	4.128733
   5	4.0000e-04	1.8761	14.224831	0.000734	7.341504	1.243684	2.868996
   6	5.0000e-04	2.2818	16.540417	0.000593	5.925376	1.003786	2.315585
   7	6.0000e-04	2.6822	18.437303	0.000485	4.853964	0.822284	1.896887
   8	7.0000e-04	3.0511	21.095129	0.000680	6.801139	1.152144	2.657826
   9	8.0000e-04	3.4494	24.382824	0.000841	8.412916	1.425187	3.287694
  10	9.0000e-04	3.8602	27.419299	0.000777	7.770068	1.316285	3.036475
  11	1.0000e-03	4.2606	30.878114	0.000885	8.850797	1.499366	3.458815
  12	1.1000e-03	4.6707	33.150009	0.000581	5.813576	0.984847	2.271895
  13	1.2000e-03	5.0711	35.654919	0.000641	6.409841	1.085856	2.504910
  14	1.3000e-03	5.4532	38.258133	0.000666	6.661390	1.128470	2.603213
  15	1.4000e-03	5.8670	40.956008	0.000690	6.903622	1.169505	2.697876
  16	1.5000e-03	6.2631	44.392978	0.000879	8.794898	1.489896	3.436970
  17	1.6000e-03	6.6672	46.460985	0.000529	5.291845	0.896463	2.068007
  18	1.7000e-03	7.0694	48.656422	0.000562	5.617927	0.951703	2.195437
  19	1.8000e-03	7.4728	50.931958	0.000582	5.822893	0.986425	2.275536
  20	1.9000e-03	7.8629	53.247544	0.000593	5.925376	1.003786	2.315585
  21	2.0000e-03	8.2748	56.411449	0.000810	8.096150	1.371525	3.163905
  22	2.1000e-03	8.6642	58.082603	0.000428	4.276333	0.724430	1.671154
  23	2.2000e-03	9.0775	60.030462	0.000498	4.984396	0.844380	1.947859
  24	2.3000e-03	9.4641	62.072983	0.000523	5.226629	0.885415	2.042521
  25	2.4000e-03	9.8672	64.035405	0.000502	5.021663	0.850693	1.962422
