»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 15:20:25
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 03:20:02 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0008	1.506362	0.000646	6.462079	1.094706	0.025812
   2	5.0000e-04	0.0099	1.635421	0.000646	6.462079	1.094706	0.025812
   3	1.0000e-03	0.0272	1.784646	0.000747	7.471778	1.265754	0.029845
   4	1.5000e-03	0.0475	1.921771	0.000687	6.865958	1.163125	0.027425
   5	2.0000e-03	0.0674	2.163757	0.001212	12.116397	2.052573	0.048397
   6	2.5000e-03	0.0874	2.357346	0.000969	9.693118	1.642059	0.038718
   7	3.0000e-03	0.1068	2.526736	0.000848	8.481478	1.436801	0.033878
   8	3.5000e-03	0.1270	2.655795	0.000646	6.462079	1.094706	0.025812
   9	4.0000e-03	0.1466	2.841318	0.000929	9.289238	1.573640	0.037105
  10	4.5000e-03	0.1661	3.010708	0.000848	8.481478	1.436801	0.033878
  11	5.0000e-03	0.1871	3.200264	0.000949	9.491178	1.607849	0.037911
  12	5.5000e-03	0.2082	3.353521	0.000767	7.673718	1.299963	0.030652
  13	6.0000e-03	0.2277	3.547110	0.000969	9.693118	1.642059	0.038718
  14	6.5000e-03	0.2469	3.760864	0.001070	10.702818	1.813106	0.042751
  15	7.0000e-03	0.2674	3.958486	0.000990	9.895058	1.676268	0.039524
  16	7.5000e-03	0.2879	4.107711	0.000747	7.471778	1.265754	0.029845
  17	8.0000e-03	0.3078	4.269035	0.000808	8.077598	1.368382	0.032265
  18	8.5000e-03	0.3277	4.478756	0.001050	10.500878	1.778897	0.041944
  19	9.0000e-03	0.3476	4.656212	0.000889	8.885358	1.505220	0.035491
  20	9.5000e-03	0.3674	4.793338	0.000687	6.865958	1.163125	0.027425
  21	1.0000e-02	0.3878	4.999026	0.001030	10.298938	1.744687	0.041138
  22	1.0500e-02	0.4070	5.152283	0.000767	7.673718	1.299963	0.030652
  23	1.1000e-02	0.4271	5.345872	0.000969	9.693118	1.642059	0.038718
  24	1.1500e-02	0.4480	5.555593	0.001050	10.500878	1.778897	0.041944
  25	1.2000e-02	0.4675	5.733050	0.000889	8.885358	1.505220	0.035491
