»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 16:6:36
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 04:06:07 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0005	-12.442452	0.000872	8.716407	1.476599	0.000174
   2	9.9500e-02	0.0197	-12.268856	0.000872	8.716407	1.476599	0.000174
   3	1.9900e-01	0.0388	-12.079110	0.000953	9.527235	1.613957	0.000191
   4	2.9850e-01	0.0577	-11.881290	0.000993	9.932649	1.682636	0.000199
   5	3.9800e-01	0.0784	-11.699619	0.000912	9.121821	1.545278	0.000183
   6	4.9750e-01	0.0994	-11.497763	0.001014	10.135357	1.716976	0.000203
   7	5.9700e-01	0.1186	-11.275720	0.001115	11.148892	1.888673	0.000223
   8	6.9650e-01	0.1383	-11.110198	0.000831	8.310992	1.407920	0.000166
   9	7.9600e-01	0.1586	-10.904304	0.001034	10.338064	1.751315	0.000207
  10	8.9550e-01	0.1791	-10.686298	0.001095	10.946185	1.854334	0.000219
  11	9.9500e-01	0.1987	-10.512701	0.000872	8.716407	1.476599	0.000174
  12	1.0945e+00	0.2189	-10.326993	0.000932	9.324528	1.579618	0.000187
  13	1.1940e+00	0.2396	-10.108988	0.001095	10.946185	1.854334	0.000219
  14	1.2935e+00	0.2592	-9.931354	0.000892	8.919114	1.510939	0.000179
  15	1.3930e+00	0.2781	-9.713349	0.001095	10.946185	1.854334	0.000219
  16	1.4925e+00	0.2979	-9.515529	0.000993	9.932649	1.682636	0.000199
  17	1.5920e+00	0.3186	-9.301561	0.001074	10.743478	1.819994	0.000215
  18	1.6915e+00	0.3386	-9.115852	0.000932	9.324528	1.579618	0.000187
  19	1.7910e+00	0.3569	-8.909959	0.001034	10.338064	1.751315	0.000207
  20	1.8905e+00	0.3783	-8.732325	0.000892	8.919114	1.510939	0.000179
  21	1.9900e+00	0.3982	-8.522394	0.001054	10.540771	1.785655	0.000211
  22	2.0895e+00	0.4168	-8.320537	0.001014	10.135357	1.716976	0.000203
  23	2.1890e+00	0.4372	-8.126754	0.000973	9.729942	1.648297	0.000195
  24	2.2885e+00	0.4585	-7.900675	0.001135	11.351599	1.923013	0.000227
