»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/2/2025 - 13:41:39
Configured:	07/02/25 01:35:59 PM
Executed:	07/02/25 01:40:17 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-220
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3142	-0.080099	0.000540	5.395950	0.914099	2.108057
   2	1.0000e-04	0.6792	2.027958	0.000540	5.395950	0.914099	2.108057
   3	2.0000e-04	1.0118	6.589952	0.001168	11.677247	1.978179	4.561995
   4	3.0000e-04	1.4424	11.333990	0.001214	12.143218	2.057117	4.744038
   5	4.0000e-04	1.8650	15.003975	0.000939	9.393986	1.591384	3.669985
   6	5.0000e-04	2.2870	17.811076	0.000719	7.185281	1.217220	2.807101
   7	6.0000e-04	2.6825	19.813548	0.000513	5.125687	0.868315	2.002472
   8	7.0000e-04	3.0574	22.609726	0.000716	7.157323	1.212483	2.796179
   9	8.0000e-04	3.4472	26.181408	0.000914	9.142362	1.548758	3.571681
  10	9.0000e-04	3.8515	29.935132	0.000961	9.608333	1.627696	3.753724
  11	1.0000e-03	4.2532	34.253189	0.001105	11.052845	1.872403	4.318057
  12	1.1000e-03	4.6712	36.936501	0.000687	6.868420	1.163542	2.683312
  13	1.2000e-03	5.0708	39.674426	0.000701	7.008212	1.187223	2.737925
  14	1.3000e-03	5.4579	42.488809	0.000720	7.203920	1.220377	2.814383
  15	1.4000e-03	5.8679	45.463390	0.000761	7.613975	1.289842	2.974581
  16	1.5000e-03	6.2604	49.559355	0.001048	10.484360	1.776099	4.095965
  17	1.6000e-03	6.6652	51.944117	0.000610	6.104227	1.034084	2.384762
  18	1.7000e-03	7.0723	54.390773	0.000626	6.262657	1.060923	2.446656
  19	1.8000e-03	7.4768	56.819225	0.000622	6.216060	1.053029	2.428452
  20	1.9000e-03	7.8656	59.356903	0.000650	6.495643	1.100392	2.537678
  21	2.0000e-03	8.2782	63.019606	0.000938	9.375347	1.588227	3.662703
  22	2.1000e-03	8.6719	64.850957	0.000469	4.687674	0.794113	1.831351
  23	2.2000e-03	9.0820	67.017268	0.000555	5.545061	0.939359	2.166310
  24	2.3000e-03	9.4716	69.161733	0.000549	5.489145	0.929886	2.144465
  25	2.4000e-03	9.8706	71.338966	0.000557	5.573020	0.944095	2.177233
  26	2.5000e-03	9.6710	74.648505	-0.000847	-8.471363	-1.435088	3.309540
  27	2.6000e-03	9.3329	72.402096	0.000575	5.750089	0.974091	-2.246409
  28	2.7000e-03	8.9815	67.723594	0.001198	11.975469	2.028699	-4.678502
  29	2.8000e-03	8.5260	64.454104	0.000837	8.368849	1.417721	-3.269490
  30	2.9000e-03	8.0829	63.532967	0.000236	2.357816	0.399425	-0.921137
  31	3.0000e-03	7.6910	63.951665	-0.000107	-1.071735	-0.181557	0.418699
  32	3.1000e-03	7.3108	60.933394	0.000773	7.725808	1.308787	-3.018271
  33	3.2000e-03	6.9397	57.409044	0.000902	9.021209	1.528234	-3.524350
  34	3.3000e-03	6.5179	54.678401	0.000699	6.989573	1.184066	-2.730643
  35	3.4000e-03	6.1035	52.665007	0.000515	5.153645	0.873051	-2.013394
  36	3.5000e-03	5.7202	51.882222	0.000200	2.003678	0.339432	-0.782784
  37	3.6000e-03	5.3316	48.740162	0.000804	8.042669	1.362465	-3.142060
  38	3.7000e-03	4.9304	45.572616	0.000811	8.107905	1.373516	-3.167546
  39	3.8000e-03	4.5321	42.510654	0.000784	7.837641	1.327732	-3.061961
  40	3.9000e-03	4.1284	39.696271	0.000720	7.203920	1.220377	-2.814383
  41	4.0000e-03	3.7240	38.039681	0.000424	4.240341	0.718333	-1.656590
  42	4.1000e-03	3.3411	34.631838	0.000872	8.722987	1.477714	-3.407843
  43	4.2000e-03	2.9287	31.333221	0.000844	8.443404	1.430351	-3.298617
  44	4.3000e-03	2.5423	27.969069	0.000861	8.611154	1.458769	-3.364153
  45	4.4000e-03	2.1481	24.648607	0.000850	8.499321	1.439824	-3.320462
  46	4.5000e-03	1.7440	22.307535	0.000599	5.992394	1.015139	-2.341071
