»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 14:2:24
Configured:	06/04/25 01:46:06 PM
Executed:	06/04/25 02:01:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-37
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0193	-18.098480	0.000355	3.547127	1.201799	0.000142
   2	9.9500e-02	0.0257	-17.957180	0.000355	3.547127	1.201799	0.000142
   3	1.9900e-01	0.0626	-17.848177	0.000274	2.736355	0.927102	0.000110
   4	2.9850e-01	0.0930	-17.706877	0.000355	3.547127	1.201799	0.000142
   5	3.9800e-01	0.1364	-17.573652	0.000334	3.344434	1.133125	0.000134
   6	4.9750e-01	0.1733	-17.404092	0.000426	4.256552	1.442159	0.000170
   7	5.9700e-01	0.2214	-17.287015	0.000294	2.939048	0.995776	0.000118
   8	6.9650e-01	0.2567	-17.133604	0.000385	3.851166	1.304810	0.000154
   9	7.9600e-01	0.2952	-16.976156	0.000395	3.952513	1.339148	0.000158
  10	8.9550e-01	0.3321	-16.830819	0.000365	3.648473	1.236136	0.000146
  11	9.9500e-01	0.3834	-16.661259	0.000426	4.256552	1.442159	0.000170
  12	1.0945e+00	0.4171	-16.544182	0.000294	2.939048	0.995776	0.000118
  13	1.1940e+00	0.4540	-16.423068	0.000304	3.040395	1.030114	0.000122
  14	1.2935e+00	0.4893	-16.241397	0.000456	4.560592	1.545170	0.000183
  15	1.3930e+00	0.5326	-16.079912	0.000405	4.053859	1.373485	0.000162
  16	1.4925e+00	0.5775	-15.934575	0.000365	3.648473	1.236136	0.000146
  17	1.5920e+00	0.6048	-15.801349	0.000334	3.344434	1.133125	0.000134
  18	1.6915e+00	0.6609	-15.607567	0.000486	4.864631	1.648182	0.000195
  19	1.7910e+00	0.6962	-15.486453	0.000304	3.040395	1.030114	0.000122
  20	1.8905e+00	0.7283	-15.308819	0.000446	4.459245	1.510833	0.000179
  21	1.9900e+00	0.7716	-15.147333	0.000405	4.053859	1.373485	0.000162
  22	2.0895e+00	0.8214	-15.038331	0.000274	2.736355	0.927102	0.000110
  23	2.1890e+00	0.8470	-14.852622	0.000466	4.661938	1.579507	0.000187
  24	2.2885e+00	0.8871	-14.711323	0.000355	3.547127	1.201799	0.000142
  25	2.3880e+00	0.9321	-14.549837	0.000405	4.053859	1.373485	0.000162
  26	2.4875e+00	0.9770	-14.384315	0.000416	4.155206	1.407822	0.000166
  27	2.5870e+00	1.0107	-14.238978	0.000365	3.648473	1.236136	0.000146
  28	2.6865e+00	1.0508	-14.101715	0.000345	3.445780	1.167462	0.000138
  29	2.7860e+00	1.0957	-13.928118	0.000436	4.357899	1.476496	0.000174
  30	2.8855e+00	1.1214	-13.774707	0.000385	3.851166	1.304810	0.000154
  31	2.9850e+00	1.1775	-13.617259	0.000395	3.952513	1.339148	0.000158
  32	3.0845e+00	1.2096	-13.488071	0.000324	3.243087	1.098788	0.000130
  33	3.1840e+00	1.2449	-13.290251	0.000497	4.965978	1.682519	0.000199
