»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 14:27:29
Configured:	06/04/25 01:46:06 PM
Executed:	06/04/25 02:26:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-37
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0016	-4.186510	0.000304	3.039175	1.029701	0.000122
   2	9.9500e-02	0.0289	-4.065396	0.000304	3.039175	1.029701	0.000122
   3	1.9900e-01	0.0706	-3.871613	0.000486	4.862681	1.647521	0.000195
   4	2.9850e-01	0.1075	-3.722239	0.000375	3.748316	1.269964	0.000150
   5	3.9800e-01	0.1572	-3.528457	0.000486	4.862681	1.647521	0.000195
   6	4.9750e-01	0.1877	-3.358897	0.000425	4.254846	1.441581	0.000170
   7	5.9700e-01	0.2262	-3.161077	0.000496	4.963987	1.681844	0.000199
   8	6.9650e-01	0.2615	-2.934998	0.000567	5.673128	1.922108	0.000227
   9	7.9600e-01	0.3096	-2.781587	0.000385	3.849622	1.304287	0.000154
  10	8.9550e-01	0.3545	-2.620101	0.000405	4.052234	1.372934	0.000162
  11	9.9500e-01	0.3850	-2.434393	0.000466	4.660069	1.578874	0.000187
  12	1.0945e+00	0.4251	-2.244647	0.000476	4.761375	1.613197	0.000191
  13	1.1940e+00	0.4652	-1.994345	0.000628	6.280963	2.128048	0.000252
  14	1.2935e+00	0.5053	-1.853045	0.000355	3.545705	1.201317	0.000142
  15	1.3930e+00	0.5503	-1.731931	0.000304	3.039175	1.029701	0.000122
  16	1.4925e+00	0.5855	-1.534112	0.000496	4.963987	1.681844	0.000199
  17	1.5920e+00	0.6273	-1.295921	0.000598	5.977045	2.025078	0.000239
  18	1.6915e+00	0.6658	-1.102138	0.000486	4.862681	1.647521	0.000195
  19	1.7910e+00	0.7075	-0.924504	0.000446	4.457457	1.510227	0.000179
  20	1.8905e+00	0.7444	-0.758982	0.000415	4.153540	1.407257	0.000166
  21	1.9900e+00	0.7781	-0.565199	0.000486	4.862681	1.647521	0.000195
  22	2.0895e+00	0.8246	-0.359305	0.000517	5.166598	1.750491	0.000207
  23	2.1890e+00	0.8551	-0.157448	0.000507	5.065292	1.716168	0.000203
  24	2.2885e+00	0.9064	0.012111	0.000425	4.254846	1.441581	0.000170
