»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 11:51:56
Configured:	06/06/25 11:06:04 AM
Executed:	06/06/25 11:50:33 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-477
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0690	-1.944218	0.000080	0.797042	0.270045	0.626228
   2	1.0000e-04	0.6224	-1.317990	0.000080	0.797042	0.270045	0.626228
   3	2.0000e-04	1.4566	3.240363	0.000580	5.801728	1.965679	4.558354
   4	3.0000e-04	2.0406	9.710167	0.000823	8.234561	2.789945	6.469804
   5	4.0000e-04	2.9021	14.534304	0.000614	6.140007	2.080291	4.824136
   6	5.0000e-04	3.7732	18.480994	0.000502	5.023221	1.701913	3.946690
   7	6.0000e-04	4.5336	22.383993	0.000497	4.967613	1.683073	3.902999
   8	7.0000e-04	5.3389	26.734818	0.000554	5.537591	1.876187	4.350825
   9	8.0000e-04	6.1330	31.169383	0.000564	5.644173	1.912297	4.434565
  10	9.0000e-04	6.9656	35.847885	0.000595	5.954649	2.017490	4.678502
  11	1.0000e-03	7.7244	40.777606	0.000627	6.274392	2.125822	4.929721
  12	1.1000e-03	8.5377	44.604148	0.000487	4.870300	1.650102	3.826541
  13	1.2000e-03	9.3511	48.776571	0.000531	5.310527	1.799255	4.172423
  14	1.3000e-03	10.1307	52.923507	0.000528	5.278089	1.788265	4.146937
  15	1.4000e-03	10.9425	57.227001	0.000548	5.477350	1.855776	4.303494
  16	1.5000e-03	11.7510	61.796278	0.000582	5.815629	1.970389	4.569276
  17	1.6000e-03	12.5708	65.546361	0.000477	4.772987	1.617132	3.750083
  18	1.7000e-03	13.3921	69.642326	0.000521	5.213214	1.766285	4.095965
  19	1.8000e-03	14.1269	73.647269	0.000510	5.097364	1.727034	4.004943
  20	1.9000e-03	14.9675	77.182542	0.000450	4.499583	1.524500	3.535273
  21	2.0000e-03	15.7776	81.715410	0.000577	5.769290	1.954688	4.532868
  22	2.1000e-03	16.5621	85.108690	0.000432	4.318858	1.463269	3.393279
  23	2.2000e-03	17.3594	88.625758	0.000448	4.476413	1.516650	3.517069
  24	2.3000e-03	18.1695	92.099136	0.000442	4.420805	1.497809	3.473378
  25	2.4000e-03	18.9909	95.445085	0.000426	4.258616	1.442858	3.345948
  26	2.5000e-03	19.7641	99.828677	0.000558	5.579297	1.890317	4.383593
  27	2.6000e-03	19.4561	101.918529	-0.000266	-2.659897	-0.901198	2.089852
  28	2.7000e-03	18.4679	97.054344	0.000619	6.190981	2.097561	-4.864186
  29	2.8000e-03	18.0011	89.714375	0.000934	9.342079	3.165182	-7.339969
  30	2.9000e-03	17.0498	87.493451	0.000283	2.826720	0.957719	-2.220923
  31	3.0000e-03	16.1707	86.492215	0.000127	1.274341	0.431758	-1.001236
  32	3.1000e-03	15.4841	82.989710	0.000446	4.457877	1.510370	-3.502505
  33	3.2000e-03	14.6851	78.726266	0.000543	5.426376	1.838506	-4.263444
  34	3.3000e-03	13.8943	75.034436	0.000470	4.698843	1.592011	-3.691830
  35	3.4000e-03	13.0328	71.502804	0.000449	4.494949	1.522930	-3.531632
  36	3.5000e-03	12.3141	68.517301	0.000380	3.799854	1.287425	-2.985503
  37	3.6000e-03	11.4975	64.639788	0.000494	4.935176	1.672083	-3.877513
  38	3.7000e-03	10.6730	60.751352	0.000495	4.949078	1.676793	-3.888436
  39	3.8000e-03	9.9077	56.640823	0.000523	5.231750	1.772565	-4.110528
  40	3.9000e-03	9.0928	52.523013	0.000524	5.241017	1.775705	-4.117810
  41	4.0000e-03	8.2955	49.122452	0.000433	4.328126	1.466409	-3.400561
  42	4.1000e-03	7.4918	44.451232	0.000595	5.945381	2.014349	-4.671220
  43	4.2000e-03	6.6913	40.056716	0.000559	5.593199	1.895027	-4.394515
  44	4.3000e-03	5.9244	35.633074	0.000563	5.630271	1.907587	-4.423642
  45	4.4000e-03	5.1159	31.584441	0.000515	5.152972	1.745874	-4.048634
  46	4.5000e-03	4.2737	27.557652	0.000513	5.125168	1.736454	-4.026789
  47	4.6000e-03	3.5101	22.547832	0.000638	6.376340	2.160362	-5.009820
  48	4.7000e-03	2.7063	17.796512	0.000605	6.047328	2.048890	-4.751319
  49	4.8000e-03	1.9251	13.230877	0.000581	5.810996	1.968819	-4.565636
  50	4.9000e-03	1.1165	8.439508	0.000610	6.098302	2.066160	-4.791369
  51	5.0000e-03	0.2888	3.848387	0.000584	5.843433	1.979809	-4.591122
  52	5.1000e-03	-0.4524	-1.052208	0.000624	6.237321	2.113261	-4.900594
  53	5.2000e-03	-1.2818	-5.577794	0.000576	5.760022	1.951548	-4.525586
  54	5.3000e-03	-2.0550	-10.387367	0.000612	6.121471	2.074011	-4.809573
  55	5.4000e-03	-2.8315	-15.131405	0.000604	6.038060	2.045750	-4.744038
  56	5.5000e-03	-3.6962	-19.616941	0.000571	5.709048	1.934278	-4.485537
  57	5.6000e-03	-4.4886	-24.204422	0.000584	5.838799	1.978239	-4.587481
  58	5.7000e-03	-5.2988	-28.609860	0.000561	5.607101	1.899737	-4.405438
  59	5.8000e-03	-6.0849	-32.862382	0.000541	5.412474	1.833796	-4.252522
  60	5.9000e-03	-6.9303	-37.114903	0.000541	5.412474	1.833796	-4.252522
  61	6.0000e-03	-7.6763	-41.840737	0.000601	6.014890	2.037900	-4.725833
  62	6.1000e-03	-8.5185	-45.496158	0.000465	4.652504	1.576311	-3.655421
  63	6.2000e-03	-9.3158	-49.592123	0.000521	5.213214	1.766285	-4.095965
  64	6.3000e-03	-10.1051	-53.451432	0.000491	4.912006	1.664233	-3.859309
  65	6.4000e-03	-10.9104	-57.383558	0.000500	5.004685	1.695633	-3.932126
  66	6.5000e-03	-11.7109	-61.588749	0.000535	5.352233	1.813386	-4.205191
  67	6.6000e-03	-12.5403	-65.091254	0.000446	4.457877	1.510370	-3.502505
  68	6.7000e-03	-13.3344	-69.056148	0.000505	5.046391	1.709764	-3.964894
  69	6.8000e-03	-14.0916	-72.751618	0.000470	4.703477	1.593581	-3.695471
  70	6.9000e-03	-14.9242	-75.937369	0.000405	4.054722	1.373777	-3.185750
  71	7.0000e-03	-15.7359	-80.084306	0.000528	5.278089	1.788265	-4.146937
  72	7.1000e-03	-16.5188	-83.564966	0.000443	4.430073	1.500949	-3.480660
  73	7.2000e-03	-17.3177	-87.300486	0.000475	4.754451	1.610852	-3.735520
  74	7.3000e-03	-18.0845	-90.799350	0.000445	4.453243	1.508800	-3.498864
  75	7.4000e-03	-18.9267	-94.567638	0.000480	4.796157	1.624982	-3.768288
  76	7.5000e-03	-19.7032	-99.537409	0.000633	6.325366	2.143092	-4.969771
  77	7.6000e-03	-19.3278	-101.918529	-0.000303	-3.030615	-1.026800	-2.381121
  78	7.7000e-03	-18.4102	-97.334690	0.000583	5.834165	1.976669	4.583840
  79	7.8000e-03	-17.9257	-91.378246	0.000758	7.581171	2.568570	5.956443
  80	7.9000e-03	-16.9102	-89.951030	0.000182	1.816515	0.615452	1.427216
  81	8.0000e-03	-16.1386	-89.066302	0.000113	1.126054	0.381517	0.884728
  82	8.1000e-03	-15.4087	-85.166943	0.000496	4.962979	1.681503	3.899359
  83	8.2000e-03	-14.6178	-81.271226	0.000496	4.958345	1.679933	3.895718
  84	8.3000e-03	-13.8173	-78.118243	0.000401	4.013016	1.359647	3.152983
  85	8.4000e-03	-12.9622	-74.652146	0.000441	4.411537	1.494669	3.466097
  86	8.5000e-03	-12.2259	-72.332920	0.000295	2.951837	1.000110	2.319226
  87	8.6000e-03	-11.4045	-68.622886	0.000472	4.722013	1.599861	3.710034
  88	8.7000e-03	-10.5944	-64.712605	0.000498	4.976881	1.686213	3.910281
  89	8.8000e-03	-9.8211	-60.795042	0.000499	4.986149	1.689353	3.917563
  90	8.9000e-03	-9.0110	-57.128698	0.000467	4.666405	1.581021	3.666344
  91	9.0000e-03	-8.2538	-54.612865	0.000320	3.202072	1.084891	2.515833
  92	9.1000e-03	-7.4116	-50.229273	0.000558	5.579297	1.890317	4.383593
  93	9.2000e-03	-6.6191	-45.889370	0.000552	5.523690	1.871477	4.339902
  94	9.3000e-03	-5.8410	-41.844378	0.000515	5.148338	1.744304	4.044993
  95	9.4000e-03	-5.0517	-37.999632	0.000489	4.893470	1.657952	3.844746
  96	9.5000e-03	-4.2496	-34.821163	0.000405	4.045454	1.370637	3.178469
  97	9.6000e-03	-3.4587	-29.807702	0.000638	6.380974	2.161932	5.013461
  98	9.7000e-03	-2.6646	-25.435032	0.000557	5.565395	1.885607	4.372670
  99	9.8000e-03	-1.8497	-21.255327	0.000532	5.319795	1.802395	4.179705
 100	9.9000e-03	-1.0684	-16.653283	0.000586	5.857335	1.984519	4.602044
 101	1.0000e-02	-0.2968	-13.012425	0.000586	5.857335	1.984519	3.640858

Center data before PMax,+/-Pr and +/-Vc Calc.

PMax (uC/cm2):	9.98e+01
Pr (uC/cm2):	1.94e+00
-Pr (uC/cm2):	-1.30e+01
PLoss (uC/cm2):	-1.11e+01
-Vc:	-2.93e-01
C (Max-Eff) (nF):	5.05e-01
K (Eff):	1.71e+03
Vert. (+/-Pr) Shift (uC/cm2):	-5.54e+00
Offset (uC/cm2):	1.99e+00

A (Loop Area - uC/cm2·Volts):	-1.25e+00



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

