»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 11:9:54
Configured:	06/05/25 10:43:40 AM
Executed:	06/05/25 11:08:22 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-187
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0979	-3.797415	0.000094	0.943296	0.319597	0.739094
   2	1.0000e-04	0.6208	-3.058320	0.000094	0.943296	0.319597	0.739094
   3	2.0000e-04	1.4631	2.180874	0.000669	6.686711	2.265519	5.239194
   4	3.0000e-04	1.9267	10.121584	0.001013	10.134619	3.433702	7.940711
   5	4.0000e-04	2.8988	16.023415	0.000753	7.532424	2.552054	5.901830
   6	5.0000e-04	3.6897	21.608490	0.000713	7.128155	2.415084	5.585076
   7	6.0000e-04	4.5143	26.174126	0.000583	5.827058	1.974261	4.565636
   8	7.0000e-04	5.2956	30.914523	0.000605	6.050103	2.049830	4.740397
   9	8.0000e-04	6.1201	36.284788	0.000685	6.853995	2.322196	5.370265
  10	9.0000e-04	6.9239	41.665975	0.000687	6.867935	2.326920	5.381188
  11	1.0000e-03	7.6698	47.600574	0.000757	7.574245	2.566224	5.934598
  12	1.1000e-03	8.5089	52.195336	0.000586	5.864232	1.986855	4.594762
  13	1.2000e-03	9.3029	56.859275	0.000595	5.952520	2.016769	4.663939
  14	1.3000e-03	10.1500	61.581467	0.000603	6.026869	2.041958	4.722192
  15	1.4000e-03	10.9024	66.624055	0.000644	6.435785	2.180503	5.042588
  16	1.5000e-03	11.7205	71.808636	0.000662	6.617010	2.241904	5.184581
  17	1.6000e-03	12.5435	76.093926	0.000547	5.469256	1.853034	4.285290
  18	1.7000e-03	13.3536	80.681407	0.000585	5.854938	1.983707	4.587481
  19	1.8000e-03	14.1221	84.919365	0.000541	5.408848	1.832567	4.237958
  20	1.9000e-03	14.9290	88.796878	0.000495	4.948817	1.676705	3.877513
  21	2.0000e-03	15.7119	93.879516	0.000649	6.486900	2.197821	5.082637
  22	2.1000e-03	16.5445	97.775233	0.000497	4.972051	1.684576	3.895718
  23	2.2000e-03	17.3321	101.616338	0.000490	4.902349	1.660961	3.841105
  24	2.3000e-03	18.1792	105.366422	0.000479	4.786180	1.621602	3.750083
  25	2.4000e-03	18.9925	108.898054	0.000451	4.507373	1.527139	3.531632
