»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 18:15:23
Configured:	06/04/25 04:39:58 PM
Executed:	06/04/25 06:14:43 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-147
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0016	-10.119081	0.000172	1.722787	0.583696	0.000069
   2	9.9500e-02	0.0305	-10.050449	0.000172	1.722787	0.583696	0.000069
   3	1.9900e-01	0.0626	-9.937410	0.000284	2.837531	0.961381	0.000114
   4	2.9850e-01	0.1027	-9.792073	0.000365	3.648254	1.236062	0.000146
   5	3.9800e-01	0.1524	-9.683070	0.000274	2.736190	0.927046	0.000110
   6	4.9750e-01	0.1925	-9.549845	0.000334	3.344233	1.133057	0.000134
   7	5.9700e-01	0.2358	-9.424693	0.000314	3.141552	1.064387	0.000126
   8	6.9650e-01	0.2759	-9.315691	0.000274	2.736190	0.927046	0.000110
   9	7.9600e-01	0.3000	-9.158242	0.000395	3.952275	1.339067	0.000158
  10	8.9550e-01	0.3529	-9.012906	0.000365	3.648254	1.236062	0.000146
  11	9.9500e-01	0.3834	-8.867569	0.000365	3.648254	1.236062	0.000146
  12	1.0945e+00	0.4315	-8.726269	0.000355	3.546914	1.201727	0.000142
  13	1.1940e+00	0.4668	-8.576895	0.000375	3.749594	1.270397	0.000150
  14	1.2935e+00	0.5118	-8.431558	0.000365	3.648254	1.236062	0.000146
  15	1.3930e+00	0.5438	-8.245850	0.000466	4.661658	1.579412	0.000187
  16	1.4925e+00	0.5936	-8.100513	0.000365	3.648254	1.236062	0.000146
  17	1.5920e+00	0.6337	-7.963250	0.000345	3.445573	1.167392	0.000138
  18	1.6915e+00	0.6738	-7.789653	0.000436	4.357637	1.476407	0.000174
  19	1.7910e+00	0.6962	-7.579722	0.000527	5.269700	1.785423	0.000211
  20	1.8905e+00	0.7508	-7.450534	0.000324	3.242892	1.098722	0.000130
  21	1.9900e+00	0.7829	-7.305197	0.000365	3.648254	1.236062	0.000146
  22	2.0895e+00	0.8262	-7.087192	0.000547	5.472381	1.854093	0.000219
  23	2.1890e+00	0.8647	-6.974152	0.000284	2.837531	0.961381	0.000114
  24	2.2885e+00	0.9064	-6.824778	0.000375	3.749594	1.270397	0.000150
  25	2.3880e+00	0.9465	-6.630995	0.000486	4.864339	1.648083	0.000195
  26	2.4875e+00	0.9898	-6.469510	0.000405	4.053615	1.373402	0.000162
  27	2.5870e+00	1.0187	-6.299950	0.000426	4.256296	1.442072	0.000170
  28	2.6865e+00	1.0652	-6.114242	0.000466	4.661658	1.579412	0.000187
  29	2.7860e+00	1.1101	-5.964868	0.000375	3.749594	1.270397	0.000150
  30	2.8855e+00	1.1422	-5.758974	0.000517	5.168360	1.751088	0.000207
  31	2.9850e+00	1.1855	-5.589414	0.000426	4.256296	1.442072	0.000170
  32	3.0845e+00	1.2256	-5.436003	0.000385	3.850935	1.304732	0.000154
  33	3.1840e+00	1.2657	-5.262406	0.000436	4.357637	1.476407	0.000174
  34	3.2835e+00	1.3058	-5.088810	0.000436	4.357637	1.476407	0.000174
  35	3.3830e+00	1.3460	-4.878879	0.000527	5.269700	1.785423	0.000211
  36	3.4825e+00	1.3957	-4.705282	0.000436	4.357637	1.476407	0.000174
  37	3.5820e+00	1.4278	-4.499388	0.000517	5.168360	1.751088	0.000207
  38	3.6815e+00	1.4775	-4.341939	0.000395	3.952275	1.339067	0.000158
  39	3.7810e+00	1.5016	-4.152194	0.000476	4.762998	1.613747	0.000191
  40	3.8805e+00	1.5449	-3.966486	0.000466	4.661658	1.579412	0.000187
  41	3.9800e+00	1.5834	-3.796926	0.000426	4.256296	1.442072	0.000170
  42	4.0795e+00	1.6235	-3.643515	0.000385	3.850935	1.304732	0.000154
  43	4.1790e+00	1.6700	-3.441658	0.000507	5.067019	1.716753	0.000203
  44	4.2785e+00	1.6989	-3.219616	0.000557	5.573721	1.888428	0.000223
  45	4.3780e+00	1.7470	-3.058130	0.000405	4.053615	1.373402	0.000162
  46	4.4775e+00	1.7903	-2.844162	0.000537	5.371041	1.819758	0.000215
  47	4.5770e+00	1.8224	-2.686714	0.000395	3.952275	1.339067	0.000158
  48	4.6765e+00	1.8657	-2.464671	0.000557	5.573721	1.888428	0.000223
  49	4.7760e+00	1.9058	-2.327409	0.000345	3.445573	1.167392	0.000138
  50	4.8755e+00	1.9395	-2.097292	0.000578	5.776402	1.957098	0.000231
  51	4.9750e+00	1.9844	-1.899472	0.000497	4.965679	1.682418	0.000199
  52	5.0745e+00	2.0310	-1.669356	0.000578	5.776402	1.957098	0.000231
  53	5.1740e+00	2.0679	-1.507870	0.000405	4.053615	1.373402	0.000162
  54	5.2735e+00	2.0983	-1.318125	0.000476	4.762998	1.613747	0.000191
  55	5.3730e+00	2.1465	-1.108194	0.000527	5.269700	1.785423	0.000211
  56	5.4725e+00	2.1818	-0.946708	0.000405	4.053615	1.373402	0.000162
  57	5.5720e+00	2.2299	-0.732740	0.000537	5.371041	1.819758	0.000215
  58	5.6715e+00	2.2556	-0.547032	0.000466	4.661658	1.579412	0.000187
  59	5.7710e+00	2.2989	-0.361324	0.000466	4.661658	1.579412	0.000187
  60	5.8705e+00	2.3374	-0.131207	0.000578	5.776402	1.957098	0.000231
  61	5.9700e+00	2.3791	0.050464	0.000456	4.560317	1.545077	0.000183
  62	6.0695e+00	2.4256	0.284618	0.000588	5.877742	1.991433	0.000235
  63	6.1690e+00	2.4737	0.458215	0.000436	4.357637	1.476407	0.000174
  64	6.2685e+00	2.5026	0.672183	0.000537	5.371041	1.819758	0.000215
  65	6.3680e+00	2.5395	0.849817	0.000446	4.458977	1.510742	0.000179
  66	6.4675e+00	2.5860	1.067822	0.000547	5.472381	1.854093	0.000219
  67	6.5670e+00	2.6245	1.225271	0.000395	3.952275	1.339067	0.000158
  68	6.6665e+00	2.6630	1.487685	0.000659	6.587125	2.231778	0.000264
  69	6.7660e+00	2.6935	1.673393	0.000466	4.661658	1.579412	0.000187
  70	6.8655e+00	2.7352	1.891398	0.000547	5.472381	1.854093	0.000219
  71	6.9650e+00	2.7833	2.093255	0.000507	5.067019	1.716753	0.000203
  72	7.0645e+00	2.8347	2.307223	0.000537	5.371041	1.819758	0.000215
  73	7.1640e+00	2.8620	2.505043	0.000497	4.965679	1.682418	0.000199
  74	7.2635e+00	2.9149	2.710937	0.000517	5.168360	1.751088	0.000207
  75	7.3630e+00	2.9325	2.920868	0.000527	5.269700	1.785423	0.000211
  76	7.4625e+00	2.9791	3.094465	0.000436	4.357637	1.476407	0.000174
  77	7.5620e+00	3.0160	3.348804	0.000638	6.384444	2.163108	0.000256
  78	7.6615e+00	3.0577	3.542587	0.000486	4.864339	1.648083	0.000195
  79	7.7610e+00	3.0946	3.788852	0.000618	6.181764	2.094438	0.000248
  80	7.8605e+00	3.1315	3.950337	0.000405	4.053615	1.373402	0.000162
  81	7.9600e+00	3.1796	4.152194	0.000507	5.067019	1.716753	0.000203
  82	8.0595e+00	3.2197	4.406534	0.000638	6.384444	2.163108	0.000256
  83	8.1590e+00	3.2726	4.572056	0.000415	4.154956	1.407737	0.000166
  84	8.2585e+00	3.3015	4.810247	0.000598	5.979083	2.025768	0.000239
  85	8.3580e+00	3.3448	5.036327	0.000568	5.675062	1.922763	0.000227
  86	8.4575e+00	3.3801	5.209924	0.000436	4.357637	1.476407	0.000174
  87	8.5570e+00	3.4186	5.419855	0.000527	5.269700	1.785423	0.000211
  88	8.6565e+00	3.4571	5.649971	0.000578	5.776402	1.957098	0.000231
  89	8.7560e+00	3.4940	5.867977	0.000547	5.472381	1.854093	0.000219
  90	8.8555e+00	3.5405	6.057722	0.000476	4.762998	1.613747	0.000191
