»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 14:14:29
Configured:	06/05/25 01:31:43 PM
Executed:	06/05/25 02:13:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-303
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0032	-5.738788	0.000547	5.470187	1.853349	0.000219
   2	9.9500e-02	0.0321	-5.520783	0.000547	5.470187	1.853349	0.000219
   3	1.9900e-01	0.0658	-5.250295	0.000679	6.787084	2.299526	0.000272
   4	2.9850e-01	0.1091	-4.939436	0.000780	7.800081	2.642739	0.000312
   5	3.9800e-01	0.1460	-4.604353	0.000841	8.407880	2.848667	0.000337
   6	4.9750e-01	0.1925	-4.345977	0.000648	6.483184	2.196562	0.000260
   7	5.9700e-01	0.2230	-3.998783	0.000871	8.711779	2.951631	0.000349
   8	6.9650e-01	0.2759	-3.704072	0.000739	7.394882	2.505454	0.000296
   9	7.9600e-01	0.3064	-3.397250	0.000770	7.698781	2.608418	0.000308
  10	8.9550e-01	0.3529	-3.102539	0.000739	7.394882	2.505454	0.000296
  11	9.9500e-01	0.3946	-2.763419	0.000851	8.509180	2.882988	0.000341
  12	1.0945e+00	0.4283	-2.440449	0.000810	8.103981	2.745703	0.000325
  13	1.1940e+00	0.4684	-2.101329	0.000851	8.509180	2.882988	0.000341
  14	1.2935e+00	0.5150	-1.750098	0.000881	8.813079	2.985952	0.000353
  15	1.3930e+00	0.5422	-1.439239	0.000780	7.800081	2.642739	0.000312
  16	1.4925e+00	0.5839	-1.136454	0.000760	7.597482	2.574096	0.000304
  17	1.5920e+00	0.6321	-0.805409	0.000831	8.306580	2.814345	0.000333
  18	1.6915e+00	0.6722	-0.478401	0.000821	8.205280	2.780024	0.000329
  19	1.7910e+00	0.7043	-0.195801	0.000709	7.090983	2.402490	0.000284
  20	1.8905e+00	0.7396	0.127170	0.000810	8.103981	2.745703	0.000325
  21	1.9900e+00	0.7909	0.490512	0.000912	9.116978	3.088916	0.000365
  22	2.0895e+00	0.8326	0.817520	0.000821	8.205280	2.780024	0.000329
  23	2.1890e+00	0.8567	1.156639	0.000851	8.509180	2.882988	0.000341
  24	2.2885e+00	0.9096	1.443276	0.000719	7.192283	2.436811	0.000288
