»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 13:44:27
Configured:	06/05/25 01:31:43 PM
Executed:	06/05/25 01:43:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-303
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0193	22.759353	0.000476	4.763189	1.613812	0.000191
   2	9.9500e-02	0.0144	22.949098	0.000476	4.763189	1.613812	0.000191
   3	1.9900e-01	0.0561	23.199401	0.000628	6.283356	2.128859	0.000252
   4	2.9850e-01	0.0963	23.389146	0.000476	4.763189	1.613812	0.000191
   5	3.9800e-01	0.1444	23.615225	0.000568	5.675289	1.922840	0.000227
   6	4.9750e-01	0.1749	23.885714	0.000679	6.790078	2.300541	0.000272
   7	5.9700e-01	0.2118	24.103719	0.000547	5.472600	1.854167	0.000219
   8	6.9650e-01	0.2695	24.402467	0.000750	7.499489	2.540896	0.000300
   9	7.9600e-01	0.2968	24.628547	0.000568	5.675289	1.922840	0.000227
  10	8.9550e-01	0.3433	24.822329	0.000486	4.864534	1.648149	0.000195
  11	9.9500e-01	0.3882	25.088780	0.000669	6.688734	2.266204	0.000268
  12	1.0945e+00	0.4203	25.347157	0.000649	6.486045	2.197532	0.000260
  13	1.1940e+00	0.4572	25.553051	0.000517	5.168567	1.751158	0.000207
  14	1.2935e+00	0.5069	25.795279	0.000608	6.080667	2.060186	0.000243
  15	1.3930e+00	0.5310	26.053655	0.000649	6.486045	2.197532	0.000260
  16	1.4925e+00	0.5759	26.320106	0.000669	6.688734	2.266204	0.000268
  17	1.5920e+00	0.6289	26.570409	0.000628	6.283356	2.128859	0.000252
  18	1.6915e+00	0.6593	26.784377	0.000537	5.371256	1.819831	0.000215
  19	1.7910e+00	0.6866	27.054865	0.000679	6.790078	2.300541	0.000272
  20	1.8905e+00	0.7283	27.309205	0.000638	6.384700	2.163195	0.000256
  21	1.9900e+00	0.7732	27.563544	0.000638	6.384700	2.163195	0.000256
  22	2.0895e+00	0.8182	27.769438	0.000517	5.168567	1.751158	0.000207
  23	2.1890e+00	0.8535	28.060112	0.000730	7.296801	2.472223	0.000292
  24	2.2885e+00	0.8903	28.270043	0.000527	5.269911	1.785494	0.000211
  25	2.3880e+00	0.9321	28.528420	0.000649	6.486045	2.197532	0.000260
