»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 16:1:52
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 04:01:15 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0096	4.152075	0.000879	8.787333	2.977229	0.070176
   2	5.0000e-04	0.0225	4.502955	0.000879	8.787333	2.977229	0.070176
   3	1.0000e-03	0.0578	4.252902	-0.000626	-6.262237	-2.121703	-0.050010
   4	1.5000e-03	0.0850	4.559418	0.000768	7.676291	2.600798	0.061303
   5	2.0000e-03	0.1267	4.748974	0.000475	4.747180	1.608388	0.037911
   6	2.5000e-03	0.1749	4.894165	0.000364	3.636138	1.231957	0.029038
   7	3.0000e-03	0.2086	5.204714	0.000778	7.777295	2.635019	0.062110
   8	3.5000e-03	0.2519	5.515262	0.000778	7.777295	2.635019	0.062110
   9	4.0000e-03	0.2839	5.954870	0.001101	11.009417	3.730092	0.087922
  10	4.5000e-03	0.3305	6.253319	0.000747	7.474283	2.532356	0.059690
  11	5.0000e-03	0.3610	6.374312	0.000303	3.030115	1.026631	0.024199
  12	5.5000e-03	0.4011	6.668729	0.000737	7.373279	2.498135	0.058883
  13	6.0000e-03	0.4524	6.834086	0.000414	4.141157	1.403062	0.033071
  14	6.5000e-03	0.4845	7.019608	0.000465	4.646176	1.574167	0.037105
  15	7.0000e-03	0.5326	7.322091	0.000758	7.575287	2.566577	0.060496
  16	7.5000e-03	0.5647	7.668937	0.000869	8.686329	2.943008	0.069369
  17	8.0000e-03	0.6144	7.866559	0.000495	4.949188	1.676830	0.039524
  18	8.5000e-03	0.6529	8.156942	0.000727	7.272276	2.463914	0.058077
  19	9.0000e-03	0.6866	8.346498	0.000475	4.747180	1.608388	0.037911
  20	9.5000e-03	0.7219	8.511855	0.000414	4.141157	1.403062	0.033071
  21	1.0000e-02	0.7668	8.874833	0.000909	9.090344	3.079892	0.072596
  22	1.0500e-02	0.8101	9.193448	0.000798	7.979302	2.703461	0.063723
  23	1.1000e-02	0.8470	9.378971	0.000465	4.646176	1.574167	0.037105
  24	1.1500e-02	0.8887	9.633056	0.000636	6.363241	2.155924	0.050817
  25	1.2000e-02	0.9240	9.838744	0.000515	5.151195	1.745272	0.041138
  26	1.2500e-02	0.9706	10.088796	0.000626	6.262237	2.121703	0.050010
  27	1.3000e-02	1.0075	10.560669	0.001182	11.817448	4.003860	0.094375
  28	1.3500e-02	1.0395	10.774423	0.000535	5.353203	1.813714	0.042751
  29	1.4000e-02	1.0829	10.976078	0.000505	5.050191	1.711051	0.040331
  30	1.4500e-02	1.1246	11.367288	0.000980	9.797371	3.319439	0.078242
  31	1.5000e-02	1.1711	11.621374	0.000636	6.363241	2.155924	0.050817
  32	1.5500e-02	1.2128	11.702036	0.000202	2.020077	0.684420	0.016132
  33	1.6000e-02	1.2417	12.024683	0.000808	8.080306	2.737682	0.064530
  34	1.6500e-02	1.2914	12.363464	0.000848	8.484321	2.874566	0.067756
  35	1.7000e-02	1.3251	12.621582	0.000646	6.464245	2.190145	0.051624
  36	1.7500e-02	1.3652	12.895833	0.000687	6.868260	2.327030	0.054850
  37	1.8000e-02	1.4133	13.162017	0.000667	6.666253	2.258588	0.053237
  38	1.8500e-02	1.4422	13.408036	0.000616	6.161233	2.087482	0.049204
  39	1.9000e-02	1.4887	13.791181	0.000960	9.595364	3.250997	0.076629
  40	1.9500e-02	1.5272	13.843611	0.000131	1.313050	0.444873	0.010486
  41	2.0000e-02	1.5673	14.384046	0.001353	13.534513	4.585617	0.108087
  42	2.0500e-02	1.6058	14.577635	0.000485	4.848184	1.642609	0.038718
  43	2.1000e-02	1.6411	14.759124	0.000455	4.545172	1.539946	0.036298
  44	2.1500e-02	1.6877	15.114037	0.000889	8.888337	3.011450	0.070983
  45	2.2000e-02	1.7229	15.440718	0.000818	8.181310	2.771903	0.065336
  46	2.2500e-02	1.7711	15.444751	0.000010	0.101004	0.034221	0.000807
  47	2.3000e-02	1.8016	15.844028	0.001000	9.999379	3.387881	0.079855
  48	2.3500e-02	1.8481	15.936789	0.000232	2.323088	0.787084	0.018552
  49	2.4000e-02	1.8946	16.372364	0.001091	10.908413	3.695870	0.087115
  50	2.4500e-02	1.9267	16.525622	0.000384	3.838145	1.300399	0.030652
  51	2.5000e-02	1.9700	16.852303	0.000818	8.181310	2.771903	0.065336
  52	2.5500e-02	2.0085	17.207215	0.000889	8.888337	3.011450	0.070983
  53	2.6000e-02	2.0518	17.529863	0.000808	8.080306	2.737682	0.064530
  54	2.6500e-02	2.0951	17.517764	-0.000030	-0.303011	-0.102663	-0.002420
