»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 15:22:53
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 03:22:13 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0096	47.192098	0.000436	4.357112	1.476230	0.000174
   2	9.9500e-02	0.0241	47.365695	0.000436	4.357112	1.476230	0.000174
   3	1.9900e-01	0.0674	47.595812	0.000578	5.775707	1.956863	0.000231
   4	2.9850e-01	0.0946	47.797669	0.000507	5.066410	1.716546	0.000203
   5	3.9800e-01	0.1428	48.027785	0.000578	5.775707	1.956863	0.000231
   6	4.9750e-01	0.1861	48.249828	0.000557	5.573051	1.888201	0.000223
   7	5.9700e-01	0.2278	48.524353	0.000689	6.890317	2.334503	0.000276
   8	6.9650e-01	0.2711	48.746395	0.000557	5.573051	1.888201	0.000223
   9	7.9600e-01	0.3048	48.972475	0.000567	5.674379	1.922532	0.000227
  10	8.9550e-01	0.3529	49.206629	0.000588	5.877035	1.991193	0.000235
  11	9.9500e-01	0.3898	49.452894	0.000618	6.181020	2.094186	0.000248
  12	1.0945e+00	0.4187	49.703197	0.000628	6.282348	2.128517	0.000252
  13	1.1940e+00	0.4668	49.973685	0.000679	6.788989	2.300172	0.000272
  14	1.2935e+00	0.5150	50.143244	0.000426	4.255784	1.441899	0.000170
  15	1.3930e+00	0.5486	50.393547	0.000628	6.282348	2.128517	0.000252
  16	1.4925e+00	0.5823	50.647886	0.000638	6.383676	2.162848	0.000256
  17	1.5920e+00	0.6257	50.873966	0.000567	5.674379	1.922532	0.000227
  18	1.6915e+00	0.6609	51.152528	0.000699	6.991645	2.368834	0.000280
  19	1.7910e+00	0.7059	51.322088	0.000426	4.255784	1.441899	0.000170
  20	1.8905e+00	0.7412	51.596613	0.000689	6.890317	2.334503	0.000276
  21	1.9900e+00	0.7893	51.826730	0.000578	5.775707	1.956863	0.000231
  22	2.0895e+00	0.8278	52.068958	0.000608	6.079692	2.059855	0.000243
  23	2.1890e+00	0.8663	52.359632	0.000730	7.295630	2.471826	0.000292
  24	2.2885e+00	0.9064	52.573600	0.000537	5.370394	1.819539	0.000215
  25	2.3880e+00	0.9449	52.811791	0.000598	5.978363	2.025524	0.000239
  26	2.4875e+00	0.9802	53.090354	0.000699	6.991645	2.368834	0.000280
  27	2.5870e+00	1.0283	53.324507	0.000588	5.877035	1.991193	0.000235
  28	2.6865e+00	1.0620	53.566736	0.000608	6.079692	2.059855	0.000243
  29	2.7860e+00	1.1069	53.800889	0.000588	5.877035	1.991193	0.000235
  30	2.8855e+00	1.1486	54.043118	0.000608	6.079692	2.059855	0.000243
  31	2.9850e+00	1.1935	54.285346	0.000608	6.079692	2.059855	0.000243
  32	3.0845e+00	1.2256	54.531611	0.000618	6.181020	2.094186	0.000248
  33	3.1840e+00	1.2689	54.773839	0.000608	6.079692	2.059855	0.000243
  34	3.2835e+00	1.2930	55.056439	0.000709	7.092974	2.403165	0.000284
  35	3.3830e+00	1.3443	55.298667	0.000608	6.079692	2.059855	0.000243
  36	3.4825e+00	1.3925	55.520709	0.000557	5.573051	1.888201	0.000223
  37	3.5820e+00	1.4181	55.791197	0.000679	6.788989	2.300172	0.000272
  38	3.6815e+00	1.4647	56.029388	0.000598	5.978363	2.025524	0.000239
  39	3.7810e+00	1.4935	56.303914	0.000689	6.890317	2.334503	0.000276
  40	3.8805e+00	1.5433	56.554216	0.000628	6.282348	2.128517	0.000252
  41	3.9800e+00	1.5866	56.772221	0.000547	5.471722	1.853870	0.000219
  42	4.0795e+00	1.6235	57.034635	0.000659	6.586333	2.231510	0.000264
  43	4.1790e+00	1.6668	57.264752	0.000578	5.775707	1.956863	0.000231
  44	4.2785e+00	1.7005	57.494869	0.000578	5.775707	1.956863	0.000231
  45	4.3780e+00	1.7438	57.781505	0.000719	7.194302	2.437495	0.000288
  46	4.4775e+00	1.7903	57.995473	0.000537	5.370394	1.819539	0.000215
  47	4.5770e+00	1.8192	58.233664	0.000598	5.978363	2.025524	0.000239
  48	4.6765e+00	1.8673	58.483967	0.000628	6.282348	2.128517	0.000252
  49	4.7760e+00	1.8978	58.770604	0.000719	7.194302	2.437495	0.000288
  50	4.8755e+00	1.9379	58.968423	0.000497	4.965082	1.682215	0.000199
  51	4.9750e+00	1.9892	59.271208	0.000760	7.599615	2.574819	0.000304
  52	5.0745e+00	2.0213	59.489214	0.000547	5.471722	1.853870	0.000219
  53	5.1740e+00	2.0582	59.739516	0.000628	6.282348	2.128517	0.000252
  54	5.2735e+00	2.0967	59.997893	0.000649	6.485004	2.197179	0.000260
  55	5.3730e+00	2.1497	60.215898	0.000547	5.471722	1.853870	0.000219
  56	5.4725e+00	2.1737	60.474275	0.000649	6.485004	2.197179	0.000260
  57	5.5720e+00	2.2187	60.756874	0.000709	7.092974	2.403165	0.000284
  58	5.6715e+00	2.2604	60.991028	0.000588	5.877035	1.991193	0.000235
  59	5.7710e+00	2.3005	61.249405	0.000649	6.485004	2.197179	0.000260
  60	5.8705e+00	2.3326	61.463373	0.000537	5.370394	1.819539	0.000215
  61	5.9700e+00	2.3871	61.741935	0.000699	6.991645	2.368834	0.000280
  62	6.0695e+00	2.4224	61.996275	0.000638	6.383676	2.162848	0.000256
  63	6.1690e+00	2.4545	62.274837	0.000699	6.991645	2.368834	0.000280
  64	6.2685e+00	2.5026	62.529177	0.000638	6.383676	2.162848	0.000256
  65	6.3680e+00	2.5395	62.763331	0.000588	5.877035	1.991193	0.000235
  66	6.4675e+00	2.5780	62.997485	0.000588	5.877035	1.991193	0.000235
  67	6.5670e+00	2.6229	63.263936	0.000669	6.687661	2.265841	0.000268
  68	6.6665e+00	2.6582	63.530387	0.000669	6.687661	2.265841	0.000268
  69	6.7660e+00	2.7047	63.768578	0.000598	5.978363	2.025524	0.000239
  70	6.8655e+00	2.7464	64.039066	0.000679	6.788989	2.300172	0.000272
  71	6.9650e+00	2.7833	64.285331	0.000618	6.181020	2.094186	0.000248
  72	7.0645e+00	2.8218	64.527559	0.000608	6.079692	2.059855	0.000243
  73	7.1640e+00	2.8636	64.745564	0.000547	5.471722	1.853870	0.000219
  74	7.2635e+00	2.8988	65.028164	0.000709	7.092974	2.403165	0.000284
  75	7.3630e+00	2.9357	65.294615	0.000669	6.687661	2.265841	0.000268
  76	7.4625e+00	2.9742	65.548954	0.000638	6.383676	2.162848	0.000256
  77	7.5620e+00	3.0224	65.799257	0.000628	6.282348	2.128517	0.000252
  78	7.6615e+00	3.0577	66.049559	0.000628	6.282348	2.128517	0.000252
  79	7.7610e+00	3.0881	66.320047	0.000679	6.788989	2.300172	0.000272
  80	7.8605e+00	3.1331	66.550164	0.000578	5.775707	1.956863	0.000231
  81	7.9600e+00	3.1796	66.800466	0.000628	6.282348	2.128517	0.000252
  82	8.0595e+00	3.2181	67.066917	0.000669	6.687661	2.265841	0.000268
  83	8.1590e+00	3.2566	67.373740	0.000770	7.700943	2.609150	0.000308
  84	8.2585e+00	3.2983	67.595782	0.000557	5.573051	1.888201	0.000223
  85	8.3580e+00	3.3400	67.846085	0.000628	6.282348	2.128517	0.000252
  86	8.4575e+00	3.3865	68.132721	0.000719	7.194302	2.437495	0.000288
  87	8.5570e+00	3.4186	68.370912	0.000598	5.978363	2.025524	0.000239
  88	8.6565e+00	3.4555	68.588918	0.000547	5.471722	1.853870	0.000219
  89	8.7560e+00	3.5004	68.895740	0.000770	7.700943	2.609150	0.000308
  90	8.8555e+00	3.5373	69.154117	0.000649	6.485004	2.197179	0.000260
  91	8.9550e+00	3.5726	69.408456	0.000638	6.383676	2.162848	0.000256
  92	9.0545e+00	3.6143	69.634536	0.000567	5.674379	1.922532	0.000227
  93	9.1540e+00	3.6528	69.913098	0.000699	6.991645	2.368834	0.000280
  94	9.2535e+00	3.7010	70.151289	0.000598	5.978363	2.025524	0.000239
  95	9.3530e+00	3.7379	70.425814	0.000689	6.890317	2.334503	0.000276
  96	9.4525e+00	3.7780	70.684191	0.000649	6.485004	2.197179	0.000260
  97	9.5520e+00	3.8149	70.946605	0.000659	6.586333	2.231510	0.000264
  98	9.6515e+00	3.8470	71.180759	0.000588	5.877035	1.991193	0.000235
  99	9.7510e+00	3.8951	71.443173	0.000659	6.586333	2.231510	0.000264
 100	9.8505e+00	3.9288	71.705586	0.000659	6.586333	2.231510	0.000264
 101	9.9500e+00	3.9753	71.955889	0.000628	6.282348	2.128517	0.000252
 102	1.0050e+01	4.0186	72.250600	0.000740	7.396958	2.506157	0.000296
 103	1.0149e+01	4.0507	72.500902	0.000628	6.282348	2.128517	0.000252
 104	1.0248e+01	4.0956	72.755242	0.000638	6.383676	2.162848	0.000256
 105	1.0348e+01	4.1309	73.029767	0.000689	6.890317	2.334503	0.000276
 106	1.0447e+01	4.1630	73.292181	0.000659	6.586333	2.231510	0.000264
 107	1.0547e+01	4.2047	73.518260	0.000567	5.674379	1.922532	0.000227
 108	1.0646e+01	4.2592	73.776637	0.000649	6.485004	2.197179	0.000260
 109	1.0746e+01	4.2897	74.030977	0.000638	6.383676	2.162848	0.000256
 110	1.0845e+01	4.3427	74.305502	0.000689	6.890317	2.334503	0.000276
 111	1.0945e+01	4.3715	74.559841	0.000638	6.383676	2.162848	0.000256
 112	1.1044e+01	4.4197	74.793995	0.000588	5.877035	1.991193	0.000235
 113	1.1144e+01	4.4485	75.072558	0.000699	6.991645	2.368834	0.000280
 114	1.1243e+01	4.4919	75.310749	0.000598	5.978363	2.025524	0.000239
 115	1.1343e+01	4.5384	75.589311	0.000699	6.991645	2.368834	0.000280
 116	1.1443e+01	4.5801	75.807316	0.000547	5.471722	1.853870	0.000219
 117	1.1542e+01	4.6122	76.093953	0.000719	7.194302	2.437495	0.000288
 118	1.1642e+01	4.6459	76.344255	0.000628	6.282348	2.128517	0.000252
 119	1.1741e+01	4.6972	76.570335	0.000567	5.674379	1.922532	0.000227
 120	1.1841e+01	4.7309	76.873120	0.000760	7.599615	2.574819	0.000304
 121	1.1940e+01	4.7678	77.115348	0.000608	6.079692	2.059855	0.000243
 122	1.2040e+01	4.8079	77.349502	0.000588	5.877035	1.991193	0.000235
 123	1.2139e+01	4.8512	77.628065	0.000699	6.991645	2.368834	0.000280
 124	1.2239e+01	4.8929	77.878367	0.000628	6.282348	2.128517	0.000252
 125	1.2338e+01	4.9298	78.116558	0.000598	5.978363	2.025524	0.000239
 126	1.2438e+01	4.9731	78.407232	0.000730	7.295630	2.471826	0.000292
 127	1.2537e+01	5.0068	78.677720	0.000679	6.788989	2.300172	0.000272
 128	1.2636e+01	5.0598	78.911874	0.000588	5.877035	1.991193	0.000235
 129	1.2736e+01	5.0806	79.178325	0.000669	6.687661	2.265841	0.000268
 130	1.2835e+01	5.1351	79.420553	0.000608	6.079692	2.059855	0.000243
 131	1.2935e+01	5.1672	79.687004	0.000669	6.687661	2.265841	0.000268
 132	1.3034e+01	5.2170	79.969603	0.000709	7.092974	2.403165	0.000284
 133	1.3134e+01	5.2571	80.223943	0.000638	6.383676	2.162848	0.000256
 134	1.3233e+01	5.2956	80.494431	0.000679	6.788989	2.300172	0.000272
 135	1.3333e+01	5.3373	80.740696	0.000618	6.181020	2.094186	0.000248
 136	1.3432e+01	5.3774	81.035407	0.000740	7.396958	2.506157	0.000296
 137	1.3532e+01	5.4095	81.285710	0.000628	6.282348	2.128517	0.000252
 138	1.3632e+01	5.4464	81.507752	0.000557	5.573051	1.888201	0.000223
 139	1.3731e+01	5.4929	81.786314	0.000699	6.991645	2.368834	0.000280
 140	1.3831e+01	5.5362	82.044691	0.000649	6.485004	2.197179	0.000260
 141	1.3930e+01	5.5683	82.294993	0.000628	6.282348	2.128517	0.000252
 142	1.4030e+01	5.6180	82.525110	0.000578	5.775707	1.956863	0.000231
 143	1.4129e+01	5.6517	82.856155	0.000831	8.308912	2.815136	0.000333
 144	1.4229e+01	5.6870	83.045901	0.000476	4.762425	1.613553	0.000191
 145	1.4328e+01	5.7271	83.352723	0.000770	7.700943	2.609150	0.000308
 146	1.4428e+01	5.7688	83.570728	0.000547	5.471722	1.853870	0.000219
 147	1.4527e+01	5.8105	83.877551	0.000770	7.700943	2.609150	0.000308
 148	1.4627e+01	5.8442	84.139964	0.000659	6.586333	2.231510	0.000264
 149	1.4726e+01	5.8843	84.353933	0.000537	5.370394	1.819539	0.000215
 150	1.4825e+01	5.9325	84.612309	0.000649	6.485004	2.197179	0.000260
 151	1.4925e+01	5.9742	84.894909	0.000709	7.092974	2.403165	0.000284
 152	1.5024e+01	6.0079	85.096766	0.000507	5.066410	1.716546	0.000203
 153	1.5124e+01	6.0512	85.411662	0.000790	7.903599	2.677812	0.000316
 154	1.5223e+01	6.0849	85.670039	0.000649	6.485004	2.197179	0.000260
 155	1.5323e+01	6.1234	85.908230	0.000598	5.978363	2.025524	0.000239
 156	1.5422e+01	6.1683	86.146421	0.000598	5.978363	2.025524	0.000239
 157	1.5522e+01	6.2116	86.376538	0.000578	5.775707	1.956863	0.000231
 158	1.5621e+01	6.2501	86.707583	0.000831	8.308912	2.815136	0.000333
 159	1.5721e+01	6.2854	86.949811	0.000608	6.079692	2.059855	0.000243
 160	1.5820e+01	6.3223	87.179928	0.000578	5.775707	1.956863	0.000231
 161	1.5920e+01	6.3608	87.430230	0.000628	6.282348	2.128517	0.000252
 162	1.6020e+01	6.4009	87.684570	0.000638	6.383676	2.162848	0.000256
 163	1.6119e+01	6.4506	87.942946	0.000649	6.485004	2.197179	0.000260
 164	1.6218e+01	6.4907	88.201323	0.000649	6.485004	2.197179	0.000260
 165	1.6318e+01	6.5164	88.443551	0.000608	6.079692	2.059855	0.000243
 166	1.6418e+01	6.5758	88.689816	0.000618	6.181020	2.094186	0.000248
 167	1.6517e+01	6.6046	88.948193	0.000649	6.485004	2.197179	0.000260
 168	1.6616e+01	6.6415	89.202533	0.000638	6.383676	2.162848	0.000256
 169	1.6716e+01	6.6864	89.432649	0.000578	5.775707	1.956863	0.000231
 170	1.6816e+01	6.7169	89.711212	0.000699	6.991645	2.368834	0.000280
 171	1.6915e+01	6.7650	89.933254	0.000557	5.573051	1.888201	0.000223
 172	1.7015e+01	6.8100	90.191631	0.000649	6.485004	2.197179	0.000260
 173	1.7114e+01	6.8437	90.494416	0.000760	7.599615	2.574819	0.000304
 174	1.7213e+01	6.8838	90.692236	0.000497	4.965082	1.682215	0.000199
