»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 17:22:25
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 05:21:44 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.019 [Index: 4]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0016	-190.725233	-0.000203	-2.025187	-0.686152	-0.000081
   2	9.9500e-02	0.0337	-190.805895	-0.000203	-2.025187	-0.686152	-0.000081
   3	1.9900e-01	0.0706	-190.725233	0.000203	2.025187	0.686152	0.000081
   4	2.9850e-01	0.1123	-191.047881	-0.000810	-8.100748	-2.744608	-0.000324
   5	3.9800e-01	0.1572	-190.765564	0.000709	7.088155	2.401532	0.000284
   6	4.9750e-01	0.1909	-190.604240	0.000405	4.050374	1.372304	0.000162
   7	5.9700e-01	0.2422	-190.805895	-0.000506	-5.062968	-1.715380	-0.000203
   8	6.9650e-01	0.2695	-191.047881	-0.000608	-6.075561	-2.058456	-0.000243
   9	7.9600e-01	0.3160	-190.644571	0.001013	10.125935	3.430760	0.000405
  10	8.9550e-01	0.3481	-191.047881	-0.001013	-10.125935	-3.430760	-0.000405
  11	9.9500e-01	0.3962	-191.007550	0.000101	1.012594	0.343076	0.000041
  12	1.0945e+00	0.4299	-190.725233	0.000709	7.088155	2.401532	0.000284
  13	1.1940e+00	0.4700	-190.805895	-0.000203	-2.025187	-0.686152	-0.000081
  14	1.2935e+00	0.5101	-190.684902	0.000304	3.037781	1.029228	0.000122
  15	1.3930e+00	0.5535	-190.684902	0.000000	0.000000	0.000000	0.000000
  16	1.4925e+00	0.5920	-190.604240	0.000203	2.025187	0.686152	0.000081
  17	1.5920e+00	0.6273	-190.805895	-0.000506	-5.062968	-1.715380	-0.000203
  18	1.6915e+00	0.6722	-190.402585	0.001013	10.125935	3.430760	0.000405
  19	1.7910e+00	0.7139	-190.442916	-0.000101	-1.012594	-0.343076	-0.000041
  20	1.8905e+00	0.7396	-190.805895	-0.000911	-9.113342	-3.087684	-0.000365
  21	1.9900e+00	0.7893	-190.604240	0.000506	5.062968	1.715380	0.000203
  22	2.0895e+00	0.8262	-190.402585	0.000506	5.062968	1.715380	0.000203
  23	2.1890e+00	0.8711	-190.281592	0.000304	3.037781	1.029228	0.000122
