»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 14:32:21
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 02:30:40 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0497	-1.627463	0.000000	0.004592	0.001556	0.003641
   2	1.0000e-04	0.6208	-1.623823	0.000000	0.004592	0.001556	0.003641
   3	2.0000e-04	1.7262	-1.612900	0.000001	0.013776	0.004667	0.010923
   4	3.0000e-04	2.3454	-1.620182	-0.000001	-0.009184	-0.003112	-0.007282
   5	4.0000e-04	3.0705	0.010923	0.000206	2.057158	0.696984	1.631104
   6	5.0000e-04	3.7026	4.379952	0.000551	5.510245	1.866921	4.369029
   7	6.0000e-04	4.3058	7.496526	0.000393	3.930641	1.331737	3.116574
   8	7.0000e-04	5.4672	9.215011	0.000217	2.167363	0.734322	1.718485
   9	8.0000e-04	6.2854	10.762375	0.000195	1.951545	0.661201	1.547365
  10	9.0000e-04	7.0891	10.933496	0.000022	0.215818	0.073121	0.171120
  11	1.0000e-03	7.8720	14.133810	0.000404	4.036254	1.367520	3.200314
  12	1.1000e-03	8.6436	16.136281	0.000253	2.525529	0.855672	2.002472
  13	1.2000e-03	9.5035	17.497962	0.000172	1.717360	0.581857	1.361681
  14	1.3000e-03	10.2992	19.147271	0.000208	2.080117	0.704763	1.649309
  15	1.4000e-03	11.0772	19.289264	0.000018	0.179083	0.060675	0.141993
  16	1.5000e-03	11.8777	22.267486	0.000376	3.756150	1.272618	2.978222
  17	1.6000e-03	12.6734	24.262676	0.000252	2.516345	0.852561	1.995190
  18	1.7000e-03	13.5108	25.416828	0.000146	1.455623	0.493178	1.154152
  19	1.8000e-03	14.2648	26.931424	0.000191	1.910218	0.647199	1.514597
  20	1.9000e-03	15.0670	27.146235	0.000027	0.270920	0.091790	0.214811
  21	2.0000e-03	15.8755	29.884160	0.000345	3.453087	1.169937	2.737925
  22	2.1000e-03	16.6920	31.679103	0.000226	2.263792	0.766994	1.794943
  23	2.2000e-03	17.4621	32.720388	0.000131	1.313275	0.444950	1.041285
  24	2.3000e-03	18.2690	34.085710	0.000172	1.721951	0.583413	1.365322
  25	2.4000e-03	19.1048	34.482563	0.000050	0.500514	0.169579	0.396853
