»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 15:15:26
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 03:14:59 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0353	-1.187515	0.000586	5.855760	1.983985	0.047124
   2	5.0000e-04	0.0610	-0.951894	0.000586	5.855760	1.983985	0.047124
   3	1.0000e-03	0.1091	-1.127648	-0.000437	-4.367908	-1.479887	-0.035151
   4	1.5000e-03	0.1604	-0.960446	0.000416	4.155358	1.407873	0.033440
   5	2.0000e-03	0.1749	-0.742785	0.000541	5.409405	1.832756	0.043532
   6	2.5000e-03	0.2342	-0.749199	-0.000016	-0.159413	-0.054010	-0.001283
   7	3.0000e-03	0.2936	-0.718838	0.000075	0.754553	0.255650	0.006072
   8	3.5000e-03	0.3032	-0.397692	0.000798	7.981263	2.704125	0.064229
   9	4.0000e-03	0.3481	-0.494762	-0.000241	-2.412446	-0.817359	-0.019414
  10	4.5000e-03	0.3882	-0.268976	0.000561	5.611327	1.901169	0.045157
  11	5.0000e-03	0.4460	-0.385290	-0.000289	-2.890684	-0.979390	-0.023263
  12	5.5000e-03	0.4845	-0.226214	0.000395	3.953435	1.339460	0.031815
  13	6.0000e-03	0.5053	0.038059	0.000657	6.567804	2.225232	0.052854
  14	6.5000e-03	0.5631	-0.060295	-0.000244	-2.444328	-0.828161	-0.019671
  15	7.0000e-03	0.5920	0.235194	0.000734	7.343612	2.488083	0.059098
  16	7.5000e-03	0.6529	0.267693	0.000081	0.807691	0.273653	0.006500
  17	8.0000e-03	0.6722	0.328416	0.000151	1.509107	0.511299	0.012145
  18	8.5000e-03	0.7043	0.528545	0.000497	4.973677	1.685127	0.040026
  19	9.0000e-03	0.7604	0.522130	-0.000016	-0.159413	-0.054010	-0.001283
  20	9.5000e-03	0.7764	0.685911	0.000407	4.070338	1.379068	0.032756
  21	1.0000e-02	0.8406	0.695319	0.000023	0.233805	0.079215	0.001882
  22	1.0500e-02	0.8567	0.855678	0.000399	3.985318	1.350262	0.032072
  23	1.1000e-02	0.9369	1.020314	0.000409	4.091593	1.386269	0.032927
  24	1.1500e-02	0.9465	1.186660	0.000413	4.134103	1.400672	0.033269
