»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 15:58:41
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 03:57:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0754	-1.631104	0.000042	0.418758	0.141879	0.331318
   2	1.0000e-04	0.6096	-1.299786	0.000042	0.418758	0.141879	0.331318
   3	2.0000e-04	1.5738	0.961186	0.000286	2.857680	0.968208	2.260973
   4	3.0000e-04	2.2572	3.007348	0.000259	2.586178	0.876221	2.046162
   5	4.0000e-04	3.0737	5.574153	0.000324	3.244227	1.099174	2.566805
   6	5.0000e-04	3.8630	6.855735	0.000162	1.619812	0.548807	1.281582
   7	6.0000e-04	4.6587	8.814516	0.000248	2.475736	0.838802	1.958781
   8	7.0000e-04	5.4383	10.886165	0.000262	2.618390	0.887135	2.071648
   9	8.0000e-04	6.2597	12.651980	0.000223	2.231844	0.756169	1.765816
  10	9.0000e-04	7.0682	15.426314	0.000351	3.506526	1.188043	2.774334
  11	1.0000e-03	7.8543	16.529494	0.000139	1.394327	0.472411	1.103180
  12	1.1000e-03	8.6693	18.178802	0.000208	2.084588	0.706278	1.649309
  13	1.2000e-03	9.4858	20.166711	0.000251	2.512550	0.851275	1.987908
  14	1.3000e-03	10.2815	21.688589	0.000192	1.923527	0.651709	1.521879
  15	1.4000e-03	11.0548	24.142527	0.000310	3.101573	1.050841	2.453938
  16	1.5000e-03	11.8777	25.202017	0.000134	1.339106	0.453701	1.059490
  17	1.6000e-03	12.6686	26.756663	0.000196	1.964943	0.665741	1.554646
  18	1.7000e-03	13.4948	28.511557	0.000222	2.218039	0.751492	1.754893
  19	1.8000e-03	14.2713	29.978822	0.000185	1.854501	0.628322	1.467266
  20	1.9000e-03	15.0702	32.065034	0.000264	2.636797	0.893371	2.086211
  21	2.0000e-03	15.8787	33.117242	0.000133	1.329903	0.450583	1.052208
  22	2.1000e-03	16.6728	34.646402	0.000193	1.932731	0.654827	1.529160
  23	2.2000e-03	17.4717	36.270224	0.000205	2.052376	0.695364	1.623823
  24	2.3000e-03	18.2546	37.508116	0.000156	1.564592	0.530098	1.237892
  25	2.4000e-03	19.0872	39.536074	0.000256	2.563169	0.868425	2.027958
