»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 17:42:24
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 05:41:17 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0770	-1.480009	0.000023	0.234879	0.079579	0.185684
   2	1.0000e-04	0.6208	-1.294325	0.000023	0.234879	0.079579	0.185684
   3	2.0000e-04	1.6411	-0.325857	0.000123	1.225056	0.415060	0.968468
   4	3.0000e-04	2.2572	1.476368	0.000228	2.279710	0.772387	1.802225
   5	4.0000e-04	3.0561	3.016451	0.000195	1.948116	0.660040	1.540083
   6	5.0000e-04	3.8887	5.474030	0.000311	3.108696	1.053255	2.457579
   7	6.0000e-04	4.6378	7.407325	0.000245	2.445507	0.828560	1.933295
   8	7.0000e-04	5.4303	9.315134	0.000241	2.413269	0.817638	1.907809
   9	8.0000e-04	6.2437	11.386782	0.000262	2.620515	0.887855	2.071648
  10	9.0000e-04	7.0715	13.283669	0.000240	2.399452	0.812957	1.896887
  11	1.0000e-03	7.8399	15.588332	0.000292	2.915266	0.987719	2.304663
  12	1.1000e-03	8.6548	17.375993	0.000226	2.261288	0.766145	1.787661
  13	1.2000e-03	9.4698	19.247394	0.000237	2.367214	0.802034	1.871401
  14	1.3000e-03	10.2591	21.191612	0.000246	2.459324	0.833241	1.944218
  15	1.4000e-03	11.0371	22.921020	0.000219	2.187601	0.741179	1.729407
  16	1.5000e-03	11.8601	25.025435	0.000266	2.661965	0.901898	2.104416
  17	1.6000e-03	12.6462	26.736638	0.000216	2.164573	0.733377	1.711203
  18	1.7000e-03	13.4948	28.491532	0.000222	2.219839	0.752102	1.754893
  19	1.8000e-03	14.2648	30.228221	0.000220	2.196812	0.744300	1.736689
  20	1.9000e-03	15.0445	31.702768	0.000187	1.865217	0.631953	1.474547
  21	2.0000e-03	15.8755	33.738008	0.000257	2.574461	0.872251	2.035239
  22	2.1000e-03	16.6616	35.263527	0.000193	1.929694	0.653798	1.525519
  23	2.2000e-03	17.4380	36.803610	0.000195	1.948116	0.660040	1.540083
  24	2.3000e-03	18.2594	38.391024	0.000201	2.007987	0.680324	1.587414
  25	2.4000e-03	19.0856	39.778191	0.000175	1.754686	0.594504	1.387167
  26	2.5000e-03	19.8540	41.667796	0.000239	2.390242	0.809836	1.889605
  27	2.6000e-03	19.5893	42.588933	-0.000117	-1.165185	-0.394775	0.921137
  28	2.7000e-03	18.2530	41.565852	0.000129	1.294138	0.438466	-1.023081
  29	2.8000e-03	17.7220	40.149558	0.000179	1.791530	0.606987	-1.416294
  30	2.9000e-03	17.0610	39.290316	0.000109	1.086892	0.368249	-0.859242
  31	3.0000e-03	16.1193	37.874022	0.000179	1.791530	0.606987	-1.416294
  32	3.1000e-03	15.4087	36.515982	0.000172	1.717842	0.582021	-1.358040
  33	3.2000e-03	14.5761	35.008667	0.000191	1.906667	0.645996	-1.507315
  34	3.3000e-03	13.7707	33.450380	0.000197	1.971143	0.667841	-1.558287
  35	3.4000e-03	12.9574	31.924861	0.000193	1.929694	0.653798	-1.525519
  36	3.5000e-03	12.1729	30.446672	0.000187	1.869823	0.633513	-1.478188
  37	3.6000e-03	11.4157	28.968484	0.000187	1.869823	0.633513	-1.478188
  38	3.7000e-03	10.5639	27.282767	0.000213	2.132335	0.722455	-1.685717
  39	3.8000e-03	9.7794	25.557001	0.000218	2.182995	0.739619	-1.725767
  40	3.9000e-03	8.9885	23.944101	0.000204	2.040225	0.691247	-1.612900
  41	4.0000e-03	8.1832	22.269306	0.000212	2.118519	0.717773	-1.674795
  42	4.1000e-03	7.3923	20.565385	0.000216	2.155362	0.730257	-1.703921
  43	4.2000e-03	6.5693	18.632089	0.000245	2.445507	0.828560	-1.933295
  44	4.3000e-03	5.7929	16.687871	0.000246	2.459324	0.833241	-1.944218
  45	4.4000e-03	5.0180	14.958464	0.000219	2.187601	0.741179	-1.729407
  46	4.5000e-03	4.1935	13.047014	0.000242	2.417874	0.819198	-1.911450
  47	4.6000e-03	3.4298	11.139204	0.000241	2.413269	0.817638	-1.907809
  48	4.7000e-03	2.6197	9.096683	0.000258	2.583671	0.875372	-2.042521
  49	4.8000e-03	1.7807	6.959499	0.000270	2.703414	0.915941	-2.137183
  50	4.9000e-03	0.9850	4.942464	0.000255	2.551433	0.864449	-2.017035
  51	5.0000e-03	0.1797	2.812563	0.000269	2.694203	0.912821	-2.129902
  52	5.1000e-03	-0.5454	0.770041	0.000258	2.583671	0.875372	-2.042521
  53	5.2000e-03	-1.3925	-1.327093	0.000265	2.652754	0.898777	-2.097134
  54	5.3000e-03	-2.1946	-3.475199	0.000272	2.717230	0.920623	-2.148106
  55	5.4000e-03	-2.9662	-5.528642	0.000260	2.597488	0.880053	-2.053444
  56	5.5000e-03	-3.7940	-7.622136	0.000265	2.648148	0.897217	-2.093493
  57	5.6000e-03	-4.5881	-9.639171	0.000255	2.551433	0.864449	-2.017035
  58	5.7000e-03	-5.3902	-11.616156	0.000250	2.500773	0.847285	-1.976986
  59	5.8000e-03	-6.1972	-13.658678	0.000258	2.583671	0.875372	-2.042521
  60	5.9000e-03	-7.0265	-15.541001	0.000238	2.381031	0.806715	-1.882323
  61	6.0000e-03	-7.7886	-17.517987	0.000250	2.500773	0.847285	-1.976986
  62	6.1000e-03	-8.5891	-19.174577	0.000210	2.095491	0.709972	-1.656590
  63	6.2000e-03	-9.4072	-21.082386	0.000241	2.413269	0.817638	-1.907809
  64	6.3000e-03	-10.2142	-22.851843	0.000224	2.238261	0.758343	-1.769457
  65	6.4000e-03	-10.9858	-24.555765	0.000216	2.155362	0.730257	-1.703921
  66	6.5000e-03	-11.7863	-26.339785	0.000226	2.256683	0.764585	-1.784020
  67	6.6000e-03	-12.6109	-27.912636	0.000199	1.989565	0.674083	-1.572851
  68	6.7000e-03	-13.4627	-29.572867	0.000210	2.100097	0.711532	-1.660231
  69	6.8000e-03	-14.2055	-31.174844	0.000203	2.026409	0.686566	-1.601977
  70	6.9000e-03	-14.9755	-32.638469	0.000185	1.851401	0.627272	-1.463625
