»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/9/2025 - 11:39:47
Configured:	06/09/25 11:17:29 AM
Executed:	06/09/25 11:39:19 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-785
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0337	-1.109260	0.000380	3.801168	1.287871	0.030789
   2	5.0000e-04	0.0674	-0.955315	0.000380	3.801168	1.287871	0.030789
   3	1.0000e-03	0.1219	-0.978407	-0.000057	-0.570175	-0.193181	-0.004618
   4	1.5000e-03	0.1684	-0.905710	0.000179	1.794996	0.608161	0.014539
   5	2.0000e-03	0.1829	-0.714989	0.000471	4.709225	1.595529	0.038144
   6	2.5000e-03	0.2406	-0.647425	0.000167	1.668291	0.565232	0.013513
   7	3.0000e-03	0.2775	-0.571307	0.000188	1.879467	0.636780	0.015223
   8	3.5000e-03	0.3000	-0.333120	0.000588	5.881252	1.992622	0.047637
   9	4.0000e-03	0.3545	-0.292496	0.000100	1.003086	0.339855	0.008125
  10	4.5000e-03	0.3930	-0.129570	0.000402	4.022903	1.362996	0.032585
  11	5.0000e-03	0.4235	-0.070558	0.000146	1.457114	0.493684	0.011802
  12	5.5000e-03	0.4861	0.059012	0.000320	3.199317	1.083958	0.025914
  13	6.0000e-03	0.5262	0.188583	0.000320	3.199317	1.083958	0.025914
  14	6.5000e-03	0.5727	0.292068	0.000256	2.555230	0.865735	0.020697
  15	7.0000e-03	0.5952	0.457987	0.000410	4.096815	1.388038	0.033184
  16	7.5000e-03	0.6321	0.581570	0.000305	3.051493	1.033874	0.024717
  17	8.0000e-03	0.6738	0.736371	0.000382	3.822286	1.295026	0.030960
  18	8.5000e-03	0.7123	0.767160	0.000076	0.760234	0.257574	0.006158
  19	9.0000e-03	0.7412	0.929230	0.000400	4.001785	1.355842	0.032414
  20	9.5000e-03	0.7973	1.058373	0.000319	3.188758	1.080380	0.025829
  21	1.0000e-02	0.8198	1.138766	0.000199	1.985055	0.672555	0.016079
  22	1.0500e-02	0.8936	1.344881	0.000509	5.089342	1.724316	0.041223
  23	1.1000e-02	0.9192	1.406032	0.000151	1.509908	0.511571	0.012230
  24	1.1500e-02	0.9449	1.502248	0.000238	2.375730	0.804919	0.019243
  25	1.2000e-02	0.9690	1.637805	0.000335	3.347140	1.134042	0.027111
