»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/9/2025 - 11:20:14
Configured:	06/09/25 11:17:29 AM
Executed:	06/09/25 11:19:40 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-785
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0112	-1.419589	0.000166	1.655574	0.560924	0.000067
   2	9.9500e-02	0.0497	-1.353192	0.000166	1.655574	0.560924	0.000067
   3	1.9900e-01	0.0529	-1.254615	0.000246	2.457969	0.832783	0.000099
   4	2.9850e-01	0.0914	-1.158890	0.000239	2.386871	0.808694	0.000096
   5	3.9800e-01	0.1508	-1.053795	0.000262	2.620480	0.887843	0.000106
   6	4.9750e-01	0.1893	-0.954811	0.000247	2.468126	0.836224	0.000099
   7	5.9700e-01	0.2150	-0.859493	0.000238	2.376714	0.805253	0.000096
   8	6.9650e-01	0.2551	-0.760101	0.000248	2.478283	0.839665	0.000100
   9	7.9600e-01	0.2904	-0.662339	0.000244	2.437655	0.825900	0.000098
  10	8.9550e-01	0.3449	-0.562133	0.000250	2.498597	0.846548	0.000101
  11	9.9500e-01	0.4059	-0.466000	0.000240	2.397028	0.812135	0.000097
  12	1.0945e+00	0.4219	-0.362128	0.000259	2.590009	0.877519	0.000104
  13	1.1940e+00	0.4797	-0.263143	0.000247	2.468126	0.836224	0.000099
  14	1.2935e+00	0.4813	-0.159271	0.000259	2.590009	0.877519	0.000104
  15	1.3930e+00	0.5166	-0.063138	0.000240	2.397028	0.812135	0.000097
  16	1.4925e+00	0.5855	0.043178	0.000265	2.650950	0.898166	0.000107
  17	1.5920e+00	0.6353	0.142977	0.000249	2.488440	0.843106	0.000100
  18	1.6915e+00	0.6642	0.239517	0.000241	2.407185	0.815576	0.000097
  19	1.7910e+00	0.7187	0.347871	0.000270	2.701735	0.915373	0.000109
  20	1.8905e+00	0.7283	0.451336	0.000258	2.579852	0.874078	0.000104
  21	1.9900e+00	0.7877	0.549912	0.000246	2.457969	0.832783	0.000099
  22	2.0895e+00	0.8326	0.657044	0.000267	2.671264	0.905049	0.000108
  23	2.1890e+00	0.8791	0.756435	0.000248	2.478283	0.839665	0.000100
  24	2.2885e+00	0.9064	0.857863	0.000253	2.529067	0.856871	0.000102
  25	2.3880e+00	0.9369	0.959699	0.000254	2.539224	0.860313	0.000102
