»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/9/2025 - 12:46:37
Configured:	06/09/25 11:17:29 AM
Executed:	06/09/25 12:45:29 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-785
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0545	-0.693583	0.000058	0.578400	0.195967	0.458748
   2	1.0000e-04	0.5952	-0.234835	0.000058	0.578400	0.195967	0.458748
   3	2.0000e-04	1.6090	2.273716	0.000316	3.162839	1.071599	2.508551
   4	3.0000e-04	2.3197	3.293156	0.000129	1.285334	0.435483	1.019440
   5	4.0000e-04	3.1154	4.105067	0.000102	1.023676	0.346831	0.811911
   6	5.0000e-04	3.8951	5.936418	0.000231	2.309010	0.782314	1.831351
   7	6.0000e-04	4.6860	7.054162	0.000141	1.409277	0.477476	1.117743
   8	7.0000e-04	5.4688	8.080884	0.000129	1.294515	0.438593	1.026722
   9	8.0000e-04	6.3175	9.435283	0.000171	1.707658	0.578570	1.354399
  10	9.0000e-04	7.1068	10.600357	0.000147	1.468953	0.497695	1.165074
  11	1.0000e-03	7.9057	11.951115	0.000170	1.703067	0.577015	1.350758
  12	1.1000e-03	8.7078	12.945070	0.000125	1.253200	0.424596	0.993954
  13	1.2000e-03	9.5051	14.226651	0.000162	1.615848	0.547464	1.281582
  14	1.3000e-03	10.3232	15.318909	0.000138	1.377143	0.466589	1.092257
  15	1.4000e-03	11.0933	16.345631	0.000129	1.294515	0.438593	1.026722
  16	1.5000e-03	11.9066	17.514346	0.000147	1.473543	0.499250	1.168715
  17	1.6000e-03	12.7087	18.719470	0.000152	1.519448	0.514803	1.205124
  18	1.7000e-03	13.5205	19.727987	0.000127	1.271562	0.430817	1.008518
  19	1.8000e-03	14.3114	20.812963	0.000137	1.367962	0.463478	1.084976
  20	1.9000e-03	15.0942	21.537494	0.000091	0.913505	0.309504	0.724531
  21	2.0000e-03	15.9252	22.891893	0.000171	1.707658	0.578570	1.354399
  22	2.1000e-03	16.7017	23.743853	0.000107	1.074172	0.363939	0.851961
  23	2.2000e-03	17.5214	24.785139	0.000131	1.312877	0.444815	1.041285
  24	2.3000e-03	18.2947	25.746325	0.000121	1.211886	0.410598	0.961186
  25	2.4000e-03	19.1048	26.703871	0.000121	1.207296	0.409043	0.957546
  26	2.5000e-03	19.8925	27.748797	0.000132	1.317467	0.446370	1.044926
  27	2.6000e-03	19.6166	27.748797	-0.000000	-0.000000	-0.000000	0.000000
  28	2.7000e-03	18.3011	25.156506	0.000327	3.268420	1.107371	-2.592291
  29	2.8000e-03	17.6450	24.956259	0.000025	0.252476	0.085541	-0.200247
  30	2.9000e-03	17.0129	24.624941	0.000042	0.417733	0.141532	-0.331318
  31	3.0000e-03	16.1290	22.800871	0.000230	2.299829	0.779203	-1.824070
  32	3.1000e-03	15.3124	22.309356	0.000062	0.619714	0.209965	-0.491516
  33	3.2000e-03	14.5761	21.293556	0.000128	1.280743	0.433928	-1.015799
  34	3.3000e-03	13.7370	20.281398	0.000128	1.276153	0.432372	-1.012158
