»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/9/2025 - 12:44:25
Configured:	06/09/25 11:17:29 AM
Executed:	06/09/25 12:44:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-785
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0321	-0.496259	-0.000567	-5.665361	-1.919476	0.045585
   2	5.0000e-04	0.0321	-0.268335	-0.000567	-5.665361	-1.919476	0.045585
   3	1.0000e-03	0.1380	-0.340176	-0.000179	-1.785705	-0.605013	-0.014368
   4	1.5000e-03	0.1444	-0.242677	0.000242	2.423456	0.821089	0.019500
   5	2.0000e-03	0.1989	-0.218730	0.000060	0.595235	0.201671	0.004789
   6	2.5000e-03	0.2278	-0.125936	0.000231	2.306535	0.781475	0.018559
   7	3.0000e-03	0.2888	-0.114390	0.000029	0.286988	0.097234	0.002309
   8	3.5000e-03	0.3305	-0.031858	0.000205	2.051435	0.695045	0.016506
   9	4.0000e-03	0.3690	0.034424	0.000165	1.647525	0.558197	0.013256
  10	4.5000e-03	0.3834	0.195211	0.000400	3.996577	1.354077	0.032157
  11	5.0000e-03	0.4347	0.238829	0.000108	1.084178	0.367329	0.008724
  12	5.5000e-03	0.4957	0.190507	-0.000120	-1.201099	-0.406943	-0.009664
  13	6.0000e-03	0.4973	0.261920	0.000178	1.775076	0.601412	0.014283
  14	6.5000e-03	0.5390	0.350867	0.000221	2.210873	0.749064	0.017789
  15	7.0000e-03	0.6080	0.512081	0.000401	4.007206	1.357678	0.032243
  16	7.5000e-03	0.6144	0.575797	0.000158	1.583750	0.536589	0.012743
  17	8.0000e-03	0.6690	0.616422	0.000101	1.009774	0.342121	0.008125
  18	8.5000e-03	0.7315	0.552278	-0.000159	-1.594379	-0.540190	-0.012829
  19	9.0000e-03	0.7444	0.741288	0.000470	4.698104	1.591761	0.037802
  20	9.5000e-03	0.7861	0.827669	0.000215	2.147097	0.727456	0.017276
  21	1.0000e-02	0.8101	0.853326	0.000064	0.637752	0.216076	0.005132
  22	1.0500e-02	0.8871	0.922174	0.000171	1.711300	0.579804	0.013770
  23	1.1000e-02	0.9016	0.958094	0.000089	0.892852	0.302507	0.007184
  24	1.1500e-02	0.9481	1.029508	0.000178	1.775076	0.601412	0.014283
  25	1.2000e-02	0.9786	1.097073	0.000168	1.679413	0.569000	0.013513
  26	1.2500e-02	1.0492	1.229209	0.000328	3.284421	1.112792	0.026427
  27	1.3000e-02	1.0813	1.254011	0.000062	0.616493	0.208874	0.004960
  28	1.3500e-02	1.1198	1.269833	0.000039	0.393280	0.133247	0.003164
  29	1.4000e-02	1.1534	1.289932	0.000050	0.499572	0.169260	0.004020
  30	1.4500e-02	1.1647	1.431903	0.000353	3.528893	1.195621	0.028394
  31	1.5000e-02	1.2369	1.603809	0.000427	4.272936	1.447710	0.034381
  32	1.5500e-02	1.2754	1.611078	0.000018	0.180696	0.061222	0.001454
  33	1.6000e-02	1.3074	1.598677	-0.000031	-0.308247	-0.104437	-0.002480
  34	1.6500e-02	1.3556	1.726109	0.000317	3.167500	1.073178	0.025486
  35	1.7000e-02	1.3957	1.776569	0.000125	1.254245	0.424950	0.010092
  36	1.7500e-02	1.4631	1.844134	0.000168	1.679413	0.569000	0.013513
  37	1.8000e-02	1.4582	1.811207	0.000082	0.818448	0.277298	-0.006585
  38	1.8500e-02	1.5048	2.093867	0.000703	7.025898	2.380439	0.056532
  39	1.9000e-02	1.5513	2.090874	-0.000007	-0.074404	-0.025209	-0.000599
  40	1.9500e-02	1.5898	2.172978	0.000204	2.040805	0.691444	0.016421
  41	2.0000e-02	1.6315	2.296562	0.000307	3.071837	1.040767	0.024717
  42	2.0500e-02	1.6652	2.266200	-0.000075	-0.754673	-0.255690	-0.006072
  43	2.1000e-02	1.7181	2.290147	0.000060	0.595235	0.201671	0.004789
  44	2.1500e-02	1.7566	2.497973	0.000517	5.165789	1.750217	0.041565
  45	2.2000e-02	1.7791	2.521920	0.000060	0.595235	0.201671	0.004789
  46	2.2500e-02	1.8368	2.619846	0.000243	2.434086	0.824691	0.019585
  47	2.3000e-02	1.8641	2.598465	-0.000053	-0.531460	-0.180063	-0.004276
  48	2.3500e-02	1.9122	2.688694	0.000224	2.242760	0.759868	0.018046
  49	2.4000e-02	1.9395	2.769515	0.000201	2.008918	0.680640	0.016164
  50	2.4500e-02	1.9957	2.798166	0.000071	0.712156	0.241285	0.005730
  51	2.5000e-02	2.0326	2.878987	0.000201	2.008918	0.680640	0.016164
  52	2.5500e-02	2.0679	2.894382	0.000038	0.382651	0.129646	0.003079
  53	2.6000e-02	2.1048	2.992735	0.000244	2.444715	0.828292	0.019671
  54	2.6500e-02	2.1465	3.139411	0.000365	3.645814	1.235235	0.029335
  55	2.7000e-02	2.2010	3.108622	-0.000077	-0.765302	-0.259291	-0.006158
  56	2.7500e-02	2.2251	3.239903	0.000326	3.263163	1.105590	0.026256
  57	2.8000e-02	2.2700	3.344671	0.000260	2.604153	0.882311	0.020954
  58	2.8500e-02	2.3149	3.285231	-0.000148	-1.477458	-0.500576	-0.011888
  59	2.9000e-02	2.3614	3.481939	0.000489	4.889430	1.656584	0.039342
  60	2.9500e-02	2.4031	3.472959	-0.000022	-0.223213	-0.075627	-0.001796
  61	3.0000e-02	2.4529	3.494340	0.000053	0.531460	0.180063	0.004276
  62	3.0500e-02	2.4673	3.558056	0.000158	1.583750	0.536589	0.012743
  63	3.1000e-02	2.4962	3.656410	0.000244	2.444715	0.828292	0.019671
  64	3.1500e-02	2.5299	3.824467	0.000418	4.177274	1.415299	0.033611
  65	3.2000e-02	2.6149	3.822756	-0.000004	-0.042517	-0.014405	-0.000342
  66	3.2500e-02	2.6325	3.892031	0.000172	1.721930	0.583406	0.013855
  67	3.3000e-02	2.6614	3.971997	0.000199	1.987659	0.673437	0.015993
  68	3.3500e-02	2.7368	4.038279	0.000165	1.647525	0.558197	0.013256
  69	3.4000e-02	2.7448	4.077193	0.000097	0.967257	0.327715	0.007783
  70	3.4500e-02	2.7817	4.246960	0.000422	4.219790	1.429704	0.033953
  71	3.5000e-02	2.8459	4.169133	-0.000193	-1.934513	-0.655431	-0.015566
  72	3.5500e-02	2.8636	4.274756	0.000263	2.625411	0.889513	0.021125
  73	3.6000e-02	2.9245	4.420149	0.000361	3.613926	1.224431	0.029079
  74	3.6500e-02	2.9646	4.436826	0.000041	0.414539	0.140449	0.003335
  75	3.7000e-02	2.9855	4.452221	0.000038	0.382651	0.129646	0.003079
  76	3.7500e-02	3.0496	4.480016	0.000069	0.690898	0.234082	0.005559
  77	3.8000e-02	3.0705	4.580508	0.000250	2.497861	0.846298	0.020098
  78	3.8500e-02	3.1106	4.630113	0.000123	1.232987	0.417747	0.009921
  79	3.9000e-02	3.1523	4.723335	0.000232	2.317165	0.785077	0.018644
  80	3.9500e-02	3.1844	4.799452	0.000189	1.891997	0.641026	0.015223
  81	4.0000e-02	3.2438	4.876852	0.000192	1.923884	0.651830	0.015480
  82	4.0500e-02	3.2726	5.011127	0.000334	3.337567	1.130798	0.026855
  83	4.1000e-02	3.3143	5.036784	0.000064	0.637752	0.216076	0.005132
  84	4.1500e-02	3.3416	5.119316	0.000205	2.051435	0.695045	0.016506
  85	4.2000e-02	3.3978	5.180466	0.000152	1.519975	0.514981	0.012230
  86	4.2500e-02	3.4218	5.230499	0.000124	1.243616	0.421348	0.010006
  87	4.3000e-02	3.4667	5.263426	0.000082	0.818448	0.277298	0.006585
  88	4.3500e-02	3.5309	5.280103	0.000041	0.414539	0.140449	0.003335
  89	4.4000e-02	3.5245	5.393424	-0.000282	-2.816737	-0.954336	0.022664
  90	4.4500e-02	3.6111	5.423785	0.000075	0.754673	0.255690	0.006072
  91	4.5000e-02	3.6320	5.517863	0.000234	2.338423	0.792279	0.018816
  92	4.5500e-02	3.6705	5.509310	-0.000021	-0.212584	-0.072025	-0.001711
  93	4.6000e-02	3.7058	5.679933	0.000424	4.241049	1.436906	0.034124
  94	4.6500e-02	3.7780	5.672235	-0.000019	-0.191326	-0.064823	-0.001539
  95	4.7000e-02	3.7908	5.717564	0.000113	1.126695	0.381734	0.009066
  96	4.7500e-02	3.8518	5.827891	0.000274	2.742332	0.929127	0.022065
  97	4.8000e-02	3.8951	5.862529	0.000086	0.860965	0.291703	0.006928
  98	4.8500e-02	3.9063	5.992954	0.000324	3.241904	1.098387	0.026085
  99	4.9000e-02	3.9416	6.042559	0.000123	1.232987	0.417747	0.009921
 100	4.9500e-02	4.0074	6.038710	-0.000010	-0.095663	-0.032411	-0.000770
 101	5.0000e-02	4.0266	6.181110	0.000354	3.539522	1.199222	0.028480
 102	5.0500e-02	4.0812	6.244398	0.000157	1.573121	0.532988	0.012658
 103	5.1000e-02	4.1325	6.258510	0.000035	0.350763	0.118842	0.002822
 104	5.1500e-02	4.1630	6.262358	0.000010	0.095663	0.032411	0.000770
 105	5.2000e-02	4.1726	6.465908	0.000506	5.059497	1.714204	0.040710
 106	5.2500e-02	4.2384	6.538177	0.000180	1.796334	0.608614	0.014454
 107	5.3000e-02	4.2753	6.529624	-0.000021	-0.212584	-0.072025	-0.001711
 108	5.3500e-02	4.3282	6.525348	-0.000011	-0.106292	-0.036013	-0.000855
 109	5.4000e-02	4.3555	6.602320	0.000191	1.913255	0.648228	0.015395
 110	5.4500e-02	4.3812	6.650214	0.000119	1.190470	0.403342	0.009579
 111	5.5000e-02	4.4469	6.880704	0.000573	5.729136	1.941084	0.046098
 112	5.5500e-02	4.4806	6.827679	-0.000132	-1.318020	-0.446557	-0.010605
 113	5.6000e-02	4.4902	6.947842	0.000299	2.986804	1.011957	0.024033
 114	5.6500e-02	4.5496	7.021821	0.000184	1.838851	0.623019	0.014796
 115	5.7000e-02	4.5865	7.046195	0.000061	0.605864	0.205272	0.004875
 116	5.7500e-02	4.6266	7.174483	0.000319	3.188758	1.080381	0.025658
 117	5.8000e-02	4.6651	7.260863	0.000215	2.147097	0.727456	0.017276
 118	5.8500e-02	4.7229	7.348527	0.000218	2.178985	0.738260	0.017533
 119	5.9000e-02	4.7517	7.283100	-0.000163	-1.626267	-0.550994	-0.013085
 120	5.9500e-02	4.7870	7.400269	0.000291	2.912399	0.986748	0.023434
 121	6.0000e-02	4.8640	7.523853	0.000307	3.071837	1.040767	0.024717
 122	6.0500e-02	4.8817	7.491781	-0.000080	-0.797190	-0.270095	-0.006414
 123	6.1000e-02	4.9057	7.645298	0.000382	3.815881	1.292855	0.030703
 124	6.1500e-02	4.9619	7.645298	0.000000	0.000000	0.000000	0.000000
 125	6.2000e-02	4.9956	7.662403	0.000043	0.425168	0.144051	0.003421
 126	6.2500e-02	5.0373	7.821908	0.000396	3.964690	1.343273	0.031901
 127	6.3000e-02	5.0646	7.836447	0.000036	0.361393	0.122443	0.002908
 128	6.3500e-02	5.0999	7.901446	0.000162	1.615638	0.547393	0.013000
 129	6.4000e-02	5.1688	8.001083	0.000248	2.476602	0.839096	0.019927
 130	6.4500e-02	5.2122	8.057957	0.000141	1.413683	0.478969	0.011375
 131	6.5000e-02	5.2346	8.078055	0.000050	0.499572	0.169260	0.004020
 132	6.5500e-02	5.2699	8.089174	0.000028	0.276359	0.093633	0.002224
 133	6.6000e-02	5.3325	8.232856	0.000357	3.571410	1.210026	0.028736
 134	6.6500e-02	5.3630	8.299138	0.000165	1.647525	0.558197	0.013256
 135	6.7000e-02	5.4063	8.429991	0.000325	3.252534	1.101988	0.026171
 136	6.7500e-02	5.4111	8.474892	0.000112	1.116065	0.378133	0.008980
 137	6.8000e-02	5.4656	8.440254	-0.000086	-0.860965	-0.291703	-0.006928
 138	6.8500e-02	5.5154	8.531338	0.000226	2.264019	0.767070	0.018217
 139	6.9000e-02	5.5362	8.596765	0.000163	1.626267	0.550994	0.013085
 140	6.9500e-02	5.6148	8.628837	0.000080	0.797190	0.270095	0.006414
 141	7.0000e-02	5.6405	8.750282	0.000302	3.018691	1.022760	0.024289
 142	7.0500e-02	5.6758	8.675448	-0.000186	-1.860109	-0.630222	-0.014967
 143	7.1000e-02	5.7175	8.812288	0.000340	3.401342	1.152406	0.027368
