»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 10:59:34
Configured:	06/11/25 10:21:25 AM
Executed:	06/11/25 10:58:49 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	100.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1175
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0289	-0.210937	-0.000000	-0.004865	-0.001648	0.000040
   2	5.0000e-04	0.0257	-0.210738	-0.000000	-0.004865	-0.001648	0.000040
   3	1.0000e-03	0.1348	-0.210482	0.000001	0.006284	0.002129	0.000051
   4	1.5000e-03	0.1829	-0.210168	0.000001	0.007703	0.002610	0.000063
   5	2.0000e-03	0.2037	-0.209904	0.000001	0.006487	0.002198	0.000053
   6	2.5000e-03	0.2150	-0.209640	0.000001	0.006487	0.002198	0.000053
   7	3.0000e-03	0.2888	-0.209317	0.000001	0.007906	0.002679	0.000064
   8	3.5000e-03	0.3160	-0.209524	-0.000001	-0.005068	-0.001717	-0.000041
   9	4.0000e-03	0.3577	-0.209615	-0.000000	-0.002230	-0.000755	-0.000018
  10	4.5000e-03	0.4235	-0.209747	-0.000000	-0.003243	-0.001099	-0.000026
  11	5.0000e-03	0.4476	-0.209623	0.000000	0.003041	0.001030	0.000025
  12	5.5000e-03	0.4781	-0.209590	0.000000	0.000811	0.000275	0.000007
  13	6.0000e-03	0.5374	-0.209499	0.000000	0.002230	0.000755	0.000018
  14	6.5000e-03	0.5631	-0.209573	-0.000000	-0.001824	-0.000618	-0.000015
  15	7.0000e-03	0.5952	-0.209615	-0.000000	-0.001014	-0.000343	-0.000008
  16	7.5000e-03	0.6385	-0.209276	0.000001	0.008311	0.002816	0.000068
  17	8.0000e-03	0.6722	-0.208689	0.000001	0.014393	0.004876	0.000117
  18	8.5000e-03	0.7363	-0.208070	0.000002	0.015203	0.005151	0.000124
  19	9.0000e-03	0.7781	-0.207648	0.000001	0.010338	0.003503	0.000084
  20	9.5000e-03	0.7877	-0.207590	0.000000	0.001419	0.000481	0.000012
  21	1.0000e-02	0.8502	-0.207309	0.000001	0.006892	0.002335	0.000056
  22	1.0500e-02	0.8791	-0.207128	0.000000	0.004460	0.001511	0.000036
  23	1.1000e-02	0.8968	-0.207004	0.000000	0.003041	0.001030	0.000025
  24	1.1500e-02	0.9561	-0.206805	0.000000	0.004865	0.001648	0.000040
