»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 10:54:12
Configured:	06/11/25 10:21:25 AM
Executed:	06/11/25 10:53:31 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1175
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0417	-3.204768	0.000202	2.017549	0.683564	0.000081
   2	9.9500e-02	0.0578	-3.124114	0.000202	2.017549	0.683564	0.000081
   3	1.9900e-01	0.0995	-2.998652	0.000314	3.138410	1.063322	0.000126
   4	2.9850e-01	0.1364	-2.871969	0.000317	3.168979	1.073679	0.000127
   5	3.9800e-01	0.1765	-2.748544	0.000309	3.087462	1.046060	0.000124
   6	4.9750e-01	0.2150	-2.621046	0.000319	3.189358	1.080584	0.000128
   7	5.9700e-01	0.2679	-2.497621	0.000309	3.087462	1.046060	0.000124
   8	6.9650e-01	0.2856	-2.376640	0.000303	3.026324	1.025346	0.000122
   9	7.9600e-01	0.3305	-2.247920	0.000322	3.219927	1.090941	0.000129
  10	8.9550e-01	0.3690	-2.119200	0.000322	3.219927	1.090941	0.000129
  11	9.9500e-01	0.4203	-1.996997	0.000306	3.056893	1.035703	0.000123
  12	1.0945e+00	0.4508	-1.871128	0.000315	3.148600	1.066774	0.000127
  13	1.1940e+00	0.4989	-1.735890	0.000338	3.382961	1.146178	0.000136
  14	1.2935e+00	0.5470	-1.605133	0.000327	3.270875	1.108203	0.000131
  15	1.3930e+00	0.5583	-1.482931	0.000306	3.056893	1.035703	0.000123
  16	1.4925e+00	0.6128	-1.351359	0.000329	3.291255	1.115107	0.000132
  17	1.5920e+00	0.6786	-1.224268	0.000318	3.179169	1.077131	0.000128
  18	1.6915e+00	0.6786	-1.092696	-0.000329	-3.291255	-1.115107	0.000132
  19	1.7910e+00	0.7347	-0.973752	0.000298	2.975376	1.008085	0.000120
  20	1.8905e+00	0.7668	-0.836885	0.000342	3.423720	1.159988	0.000138
  21	1.9900e+00	0.8053	-0.713460	0.000309	3.087462	1.046060	0.000124
  22	2.0895e+00	0.8535	-0.580667	0.000332	3.321824	1.125464	0.000133
  23	2.1890e+00	0.8887	-0.445836	0.000337	3.372772	1.142726	0.000136
  24	2.2885e+00	0.9240	-0.319968	0.000315	3.148600	1.066774	0.000127
  25	2.3880e+00	0.9674	-0.192062	0.000320	3.199548	1.084036	0.000129
  26	2.4875e+00	1.0171	-0.059268	0.000332	3.321824	1.125464	0.000133
  27	2.5870e+00	1.0524	0.073525	0.000332	3.321824	1.125464	0.000133
  28	2.6865e+00	1.0893	0.199802	0.000316	3.158789	1.070227	0.000127
  29	2.7860e+00	1.1278	0.331373	0.000329	3.291255	1.115107	0.000132
  30	2.8855e+00	1.1711	0.464982	0.000334	3.342203	1.132369	0.000134
  31	2.9850e+00	1.1968	0.602256	0.000343	3.433910	1.163440	0.000138
  32	3.0845e+00	1.2256	0.727717	0.000314	3.138410	1.063322	0.000126
  33	3.1840e+00	1.2754	0.860104	0.000331	3.311634	1.122012	0.000133
  34	3.2835e+00	1.2994	0.988417	0.000321	3.209738	1.087489	0.000129
  35	3.3830e+00	1.3716	1.126913	0.000346	3.464479	1.173797	0.000139
  36	3.4825e+00	1.3828	1.256855	0.000325	3.250496	1.101298	0.000131
  37	3.5820e+00	1.4534	1.387612	0.000327	3.270875	1.108203	0.000131
  38	3.6815e+00	1.4823	1.519591	0.000330	3.301444	1.118560	0.000133
  39	3.7810e+00	1.5433	1.654422	0.000337	3.372772	1.142726	0.000136
  40	3.8805e+00	1.5465	1.782327	0.000320	3.199548	1.084036	0.000129
  41	3.9800e+00	1.6155	1.909826	0.000319	3.189358	1.080584	0.000128
  42	4.0795e+00	1.6267	2.040175	0.000326	3.260686	1.104750	0.000131
  43	4.1790e+00	1.6780	2.172154	0.000330	3.301444	1.118560	0.000133
  44	4.2785e+00	1.7069	2.301282	0.000323	3.230117	1.094393	0.000130
  45	4.3780e+00	1.7695	2.434890	0.000334	3.342203	1.132369	0.000134
  46	4.4775e+00	1.8064	2.560759	0.000315	3.148600	1.066774	0.000127
  47	4.5770e+00	1.8609	2.695182	0.000336	3.362582	1.139274	0.000135
  48	4.6765e+00	1.8994	2.823902	0.000322	3.219927	1.090941	0.000129
  49	4.7760e+00	1.9315	2.953845	0.000325	3.250496	1.101298	0.000131
