»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 14:30:28
Configured:	06/11/25 01:55:56 PM
Executed:	06/11/25 02:29:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1287
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0690	-0.104463	0.000005	0.047260	0.016012	0.037588
   2	1.0000e-04	0.6497	-0.066875	0.000005	0.047260	0.016012	0.037588
   3	2.0000e-04	1.7181	0.093625	0.000020	0.201804	0.068373	0.160501
   4	3.0000e-04	2.3582	0.220545	0.000016	0.159581	0.054068	0.126920
   5	4.0000e-04	3.1042	0.342123	0.000015	0.152864	0.051792	0.121578
   6	5.0000e-04	3.9881	0.492397	0.000019	0.188945	0.064016	0.150274
   7	6.0000e-04	4.7501	0.615730	0.000016	0.155071	0.052540	0.123333
   8	7.0000e-04	5.5490	0.736964	0.000015	0.152432	0.051645	0.121234
   9	8.0000e-04	6.3720	0.858732	0.000015	0.153104	0.051873	0.121768
  10	9.0000e-04	7.1533	0.978516	0.000015	0.150609	0.051028	0.119784
  11	1.0000e-03	7.9201	1.101124	0.000015	0.154160	0.052231	0.122608
  12	1.1000e-03	8.7367	1.201523	0.000013	0.126235	0.042770	0.100399
  13	1.2000e-03	9.5917	1.308524	0.000013	0.134536	0.045582	0.107000
  14	1.3000e-03	10.3393	1.409800	0.000013	0.127339	0.043144	0.101276
  15	1.4000e-03	11.1189	1.511076	0.000013	0.127339	0.043144	0.101276
  16	1.5000e-03	11.9243	1.616245	0.000013	0.132233	0.044802	0.105169
  17	1.6000e-03	12.7713	1.712103	0.000012	0.120526	0.040835	0.095858
  18	1.7000e-03	13.5702	1.805251	0.000012	0.117119	0.039681	0.093148
  19	1.8000e-03	14.3338	1.892485	0.000011	0.109682	0.037161	0.087234
  20	1.9000e-03	15.1327	1.978917	0.000011	0.108675	0.036820	0.086432
  21	2.0000e-03	15.9637	2.081453	0.000013	0.128922	0.043680	0.102536
  22	2.1000e-03	16.7546	2.160101	0.000010	0.098887	0.033504	0.078648
  23	2.2000e-03	17.5567	2.241496	0.000010	0.102341	0.034674	0.081395
  24	2.3000e-03	18.3316	2.322013	0.000010	0.101238	0.034300	0.080517
  25	2.4000e-03	19.1594	2.401615	0.000010	0.100086	0.033910	0.079602
