»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 16:9:44
Configured:	06/12/25 03:03:03 PM
Executed:	06/12/25 04:08:25 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1570
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0658	-2.519474	0.000032	0.322580	0.109293	0.254860
   2	1.0000e-04	0.5936	-2.264613	0.000032	0.322580	0.109293	0.254860
   3	2.0000e-04	1.5609	0.629868	0.000366	3.663583	1.241256	2.894482
   4	3.0000e-04	2.1802	3.669985	0.000385	3.847914	1.303709	3.040116
   5	4.0000e-04	3.0095	6.597234	0.000371	3.705057	1.255307	2.927250
   6	5.0000e-04	3.8534	9.575456	0.000377	3.769573	1.277166	2.978222
   7	6.0000e-04	4.6041	12.335226	0.000349	3.493077	1.183486	2.759770
   8	7.0000e-04	5.4143	15.011256	0.000339	3.387086	1.147576	2.676030
   9	8.0000e-04	6.2437	17.410582	0.000304	3.036857	1.028915	2.399325
  10	9.0000e-04	7.0394	19.798984	0.000302	3.023032	1.024231	2.388403
  11	1.0000e-03	7.8383	22.657057	0.000362	3.617500	1.225642	2.858073
  12	1.1000e-03	8.6163	24.663170	0.000254	2.539163	0.860292	2.006113
  13	1.2000e-03	9.4313	26.956910	0.000290	2.903217	0.983636	2.293740
  14	1.3000e-03	10.2462	29.152348	0.000278	2.778793	0.941481	2.195437
  15	1.4000e-03	11.0211	31.136615	0.000251	2.511513	0.850924	1.984267
  16	1.5000e-03	11.8537	33.470405	0.000295	2.953908	1.000811	2.333790
  17	1.6000e-03	12.6638	35.451031	0.000251	2.506905	0.849362	1.980627
  18	1.7000e-03	13.4980	37.533602	0.000264	2.635936	0.893079	2.082571
  19	1.8000e-03	14.2311	39.364953	0.000232	2.317965	0.785348	1.831351
  20	1.9000e-03	15.0509	41.032466	0.000211	2.110592	0.715088	1.667513
  21	2.0000e-03	15.8707	43.260671	0.000282	2.820268	0.955533	2.228205
  22	2.1000e-03	16.6567	44.946388	0.000213	2.133634	0.722895	1.685717
  23	2.2000e-03	17.4621	46.592056	0.000208	2.082943	0.705720	1.645668
  24	2.3000e-03	18.2626	48.150343	0.000197	1.972344	0.668248	1.558287
  25	2.4000e-03	19.0487	49.861546	0.000217	2.165892	0.733824	1.711203
  26	2.5000e-03	19.8508	51.842173	0.000251	2.506905	0.849362	1.980627
  27	2.6000e-03	19.5957	52.570344	-0.000092	-0.921656	-0.312266	0.728172
  28	2.7000e-03	18.3219	49.828778	0.000347	3.470035	1.175680	-2.741566
  29	2.8000e-03	17.7605	47.647905	0.000276	2.760360	0.935235	-2.180874
  30	2.9000e-03	17.0161	47.094494	0.000070	0.700459	0.237322	-0.553410
  31	3.0000e-03	16.1241	45.408777	0.000213	2.133634	0.722895	-1.685717
  32	3.1000e-03	15.3862	43.737624	0.000212	2.115201	0.716649	-1.671154
  33	3.2000e-03	14.5937	41.990012	0.000221	2.211975	0.749437	-1.747612
  34	3.3000e-03	13.7852	40.256964	0.000219	2.193541	0.743192	-1.733048
  35	3.4000e-03	12.9606	38.451098	0.000229	2.285707	0.774419	-1.805865
  36	3.5000e-03	12.1970	36.874607	0.000200	1.995385	0.676055	-1.576491
  37	3.6000e-03	11.4013	34.901262	0.000250	2.497688	0.846240	-1.973345
  38	3.7000e-03	10.5751	32.916994	0.000251	2.511513	0.850924	-1.984267
  39	3.8000e-03	9.8003	30.881755	0.000258	2.576029	0.872782	-2.035239
  40	3.9000e-03	9.0399	28.959382	0.000243	2.433172	0.824381	-1.922373
  41	4.0000e-03	8.2217	27.138953	0.000230	2.304140	0.780664	-1.820429
  42	4.1000e-03	7.4132	24.881621	0.000286	2.857134	0.968023	-2.257332
  43	4.2000e-03	6.5677	22.576959	0.000292	2.917042	0.988320	-2.304663
  44	4.3000e-03	5.8314	20.214042	0.000299	2.990774	1.013302	-2.362917
  45	4.4000e-03	5.0405	18.084140	0.000270	2.695844	0.913377	-2.129902
  46	4.5000e-03	4.2063	15.768555	0.000293	2.930866	0.993004	-2.315585
  47	4.6000e-03	3.4218	13.016066	0.000348	3.483860	1.180364	-2.752488
  48	4.7000e-03	2.6502	10.533001	0.000314	3.142847	1.064825	-2.483065
  49	4.8000e-03	1.8352	7.711337	0.000357	3.571417	1.210029	-2.821665
  50	4.9000e-03	1.0492	5.017102	0.000341	3.410128	1.155382	-2.694235
  51	5.0000e-03	0.2118	1.958781	0.000387	3.870956	1.311515	-3.058320
  52	5.1000e-03	-0.5166	-1.186920	0.000398	3.981554	1.348987	-3.145701
  53	5.2000e-03	-1.3347	-4.095965	0.000368	3.682016	1.247501	-2.909045
  54	5.3000e-03	-2.1080	-7.263511	0.000401	4.009204	1.358355	-3.167546
  55	5.4000e-03	-2.9438	-10.238092	0.000376	3.764965	1.275605	-2.974581
  56	5.5000e-03	-3.7860	-13.369229	0.000396	3.963121	1.342742	-3.131138
  57	5.6000e-03	-4.5560	-15.961520	0.000328	3.281096	1.111665	-2.592291
  58	5.7000e-03	-5.3533	-18.324437	0.000299	2.990774	1.013302	-2.362917
  59	5.8000e-03	-6.1635	-20.807502	0.000314	3.142847	1.064825	-2.483065
  60	5.9000e-03	-7.0121	-22.868227	0.000261	2.608287	0.883711	-2.060725
  61	6.0000e-03	-7.7853	-25.354933	0.000315	3.147456	1.066387	-2.486706
  62	6.1000e-03	-8.5570	-27.251820	0.000240	2.400914	0.813452	-1.896887
  63	6.2000e-03	-9.4088	-29.454539	0.000279	2.788010	0.944603	-2.202719
  64	6.3000e-03	-10.1949	-31.340503	0.000239	2.387089	0.808768	-1.885964
  65	6.4000e-03	-11.0082	-33.044424	0.000216	2.156675	0.730701	-1.703921
  66	6.5000e-03	-11.7959	-35.050537	0.000254	2.539163	0.860292	-2.006113
  67	6.6000e-03	-12.6125	-36.998396	0.000247	2.465430	0.835310	-1.947859
  68	6.7000e-03	-13.4611	-38.760571	0.000223	2.230408	0.755683	-1.762175
  69	6.8000e-03	-14.2023	-40.504542	0.000221	2.207366	0.747876	-1.743971
  70	6.9000e-03	-14.9996	-41.877145	0.000174	1.737322	0.588621	-1.372603
  71	7.0000e-03	-15.8177	-43.744905	0.000236	2.364048	0.800961	-1.867760
  72	7.1000e-03	-16.6343	-45.419700	0.000212	2.119809	0.718211	-1.674795
  73	7.2000e-03	-17.4284	-47.047163	0.000206	2.059901	0.697913	-1.627463
  74	7.3000e-03	-18.2032	-48.565401	0.000192	1.921653	0.651074	-1.518238
  75	7.4000e-03	-18.9909	-50.061793	0.000189	1.894003	0.641706	-1.496393
  76	7.5000e-03	-19.7898	-51.838532	0.000225	2.248841	0.761928	-1.776739
  77	7.6000e-03	-19.4609	-52.570344	-0.000093	-0.926264	-0.313827	-0.731812
  78	7.7000e-03	-18.3155	-49.854264	0.000344	3.437777	1.164750	2.716080
  79	7.8000e-03	-17.6915	-48.539915	0.000166	1.663589	0.563639	1.314350
  80	7.9000e-03	-16.9166	-47.622419	0.000116	1.161287	0.393455	0.917496
  81	8.0000e-03	-16.0889	-46.166076	0.000184	1.843312	0.624531	1.456343
  82	8.1000e-03	-15.3188	-44.411182	0.000222	2.221191	0.752560	1.754893
  83	8.2000e-03	-14.5215	-42.936635	0.000187	1.866354	0.632338	1.474547
  84	8.3000e-03	-13.7226	-41.418397	0.000192	1.921653	0.651074	1.518238
  85	8.4000e-03	-12.8627	-39.841906	0.000200	1.995385	0.676055	1.576491
  86	8.5000e-03	-12.1296	-38.054245	0.000226	2.262666	0.766612	1.787661
  87	8.6000e-03	-11.3371	-36.514162	0.000195	1.949303	0.660442	1.540083
  88	8.7000e-03	-10.5350	-34.642761	0.000237	2.368656	0.802522	1.871401
  89	8.8000e-03	-9.7200	-32.927917	0.000217	2.170500	0.735385	1.714844
  90	8.9000e-03	-8.9484	-31.213073	0.000217	2.170500	0.735385	1.714844
  91	9.0000e-03	-8.1174	-29.381722	0.000232	2.317965	0.785348	1.831351
  92	9.1000e-03	-7.3474	-27.342841	0.000258	2.580637	0.874343	2.038880
  93	9.2000e-03	-6.5068	-25.289398	0.000260	2.599070	0.880589	2.053444
  94	9.3000e-03	-5.7672	-23.421638	0.000236	2.364048	0.800961	1.867760
  95	9.4000e-03	-4.9587	-21.411884	0.000254	2.543771	0.861853	2.009753
  96	9.5000e-03	-4.1469	-19.150911	0.000286	2.861742	0.969584	2.260973
  97	9.6000e-03	-3.3705	-16.715178	0.000308	3.082940	1.044528	2.435734
  98	9.7000e-03	-2.5668	-14.501536	0.000280	2.801835	0.949287	2.213641
  99	9.8000e-03	-1.7775	-12.142260	0.000299	2.986166	1.011740	2.359276
 100	9.9000e-03	-0.9834	-9.411617	0.000346	3.456210	1.170996	2.730643
 101	1.0000e-02	-0.2086	-6.557185	0.000346	3.456210	1.170996	2.854432

Center data before PMax,+/-Pr and +/-Vc Calc.

PMax (uC/cm2):	5.18e+01
Pr (uC/cm2):	1.04e+00
-Pr (uC/cm2):	-6.56e+00
PLoss (uC/cm2):	-4.04e+00
-Vc:	-2.42e-01
C (Max-Eff) (nF):	2.61e-01
K (Eff):	8.85e+02
Vert. (+/-Pr) Shift (uC/cm2):	-2.76e+00
Offset (uC/cm2):	2.60e+00

A (Loop Area - uC/cm2·Volts):	8.35e-02



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

